# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1ake	1	d1	0.010000000	0.010000000	0.011610000	0.016209224	0.020293941	0.808560720	0.813688156	0.814270000	0.813314586	0.812513497
1ake	2	d1	0.010000000	0.010000000	0.014560000	0.020161230	0.024955009	0.806881559	0.811904048	0.811960000	0.813554556	0.814169166
1ake	3	d1	0.010000000	0.010000000	0.012570000	0.017461567	0.023521296	0.812758621	0.815397301	0.815250000	0.814821897	0.815578884
1ake	4	d1	0.010000000	0.010899550	0.017260000	0.023723285	0.028980204	0.813628186	0.813538231	0.812960000	0.812654668	0.812663467
1ake	5	d1	0.010000000	0.013718141	0.019140000	0.024923135	0.029940012	0.811739130	0.812233883	0.812520000	0.812414698	0.812315537
1ake	6	d1	0.010000000	0.017931034	0.024010000	0.030509936	0.034493101	0.815877061	0.815307346	0.814470000	0.814139483	0.814703059
1ake	7	d1	0.010000000	0.011259370	0.018050000	0.023985752	0.029190162	0.812548726	0.810284858	0.811380000	0.811349831	0.813029394
1ake	8	d1	0.010000000	0.013658171	0.020590000	0.027945257	0.032501500	0.810809595	0.810194903	0.811180000	0.810389951	0.809214157
1ake	9	d1	0.010000000	0.010000000	0.016070000	0.020243720	0.024139172	0.819655172	0.814137931	0.813710000	0.814731909	0.814001200
1ake	10	d1	0.010000000	0.010000000	0.014810000	0.018608924	0.023599280	0.816656672	0.816761619	0.815520000	0.814566929	0.809988002
1ake	11	d1	0.010000000	0.010000000	0.010190000	0.015144357	0.018116377	0.811739130	0.812923538	0.812150000	0.811942257	0.812117576
1ake	12	d1	0.010000000	0.010000000	0.010370000	0.016051744	0.021001800	0.812128936	0.813748126	0.816990000	0.815361830	0.814607079
1ake	13	d1	0.010000000	0.011724138	0.018320000	0.025808024	0.030647870	0.812818591	0.813238381	0.813620000	0.813727034	0.812813437
1ake	14	d1	0.010000000	0.010000000	0.012100000	0.016824147	0.023287343	0.812938531	0.815232384	0.814860000	0.812114736	0.811265747
1ake	15	d1	0.010000000	0.010000000	0.016400000	0.023775778	0.029022196	0.815997001	0.816776612	0.814810000	0.813112111	0.812579484
1ake	16	d1	0.010779610	0.020389805	0.023590000	0.025193101	0.029466107	0.814947526	0.817901049	0.815820000	0.814161980	0.813125375
1ake	17	d1	0.010000000	0.010449775	0.016960000	0.021938508	0.027228554	0.815907046	0.814332834	0.814820000	0.814656918	0.815164967
1ake	18	d1	0.010000000	0.010029985	0.016680000	0.020521185	0.025308938	0.810359820	0.812983508	0.813960000	0.814386952	0.814475105
1ake	19	d1	0.010000000	0.010000000	0.013280000	0.017859018	0.024085183	0.812308846	0.812608696	0.811480000	0.811777278	0.812231554
1ake	20	d1	0.010000000	0.010764618	0.017170000	0.022148481	0.026124775	0.813988006	0.812623688	0.813690000	0.814071991	0.814103179
1ake	21	d1	0.010000000	0.010000000	0.015570000	0.020108736	0.025554889	0.812998501	0.808020990	0.809580000	0.810134983	0.813851230
1ake	22	d1	0.010000000	0.010000000	0.013640000	0.020543682	0.026022795	0.808290855	0.809910045	0.812100000	0.811777278	0.812621476
1ake	23	d1	0.010000000	0.010000000	0.010000000	0.014536933	0.018788242	0.809850075	0.814332834	0.813690000	0.813389576	0.813071386
1ake	24	d1	0.010000000	0.010000000	0.016180000	0.024203225	0.029790042	0.812068966	0.814362819	0.813290000	0.813809524	0.813125375
1ake	25	d1	0.010000000	0.010209895	0.016800000	0.020101237	0.024157169	0.812038981	0.813598201	0.814910000	0.813892013	0.814913017
1ake	26	d1	0.010000000	0.010164918	0.018890000	0.028845144	0.039622076	0.812968516	0.814857571	0.813970000	0.813089614	0.813857229
