# pdbid	traj	last100	last200	last300	last400	last500
1b9l	1	-0.757038711	0.171989925	0.023950955	0.062430889	0.056829706
1b9l	2	-1.117392721	-1.511908766	-0.653544785	-0.492010491	-0.708801267
1b9l	3	-0.163252736	-0.204209726	0.187804105	0.183395493	0.113765013
1b9l	4	0.063154408	-0.176041597	0.140405085	0.127349805	-0.037152364
1b9l	5	0.673082676	0.360597949	0.261868360	-0.061184509	0.126671470
1b9l	6	0.351998943	0.081112576	0.005305100	0.249118855	0.146504392
1b9l	7	0.252201034	0.498734829	0.599079200	0.733946678	0.600911854
1b9l	8	0.817521754	0.864304196	0.632557615	0.517507178	0.500942878
1b9l	9	0.398933366	0.584956175	0.123636802	-0.180325360	0.099443061
1b9l	10	0.684137474	0.183177098	0.391580417	0.215386430	0.209218740
1b9l	11	-1.335437391	-0.577077462	-0.403275610	-0.457810658	-0.442274210
1b9l	12	0.785956109	0.437911256	0.502350145	0.484028926	0.207927599
1b9l	13	0.223885832	-0.458557090	-0.922502745	-0.537449664	-0.396407338
1b9l	14	0.563243726	0.940770116	0.512213875	0.496246230	0.501598224
1b9l	15	-0.252252121	-0.847611815	-0.557234112	-0.504746909	-0.385136964
1b9l	16	0.093964768	0.270501174	0.049415877	-0.268938785	-0.196615242
1b9l	17	-0.356536274	-0.000084128	0.051835640	-0.038167338	0.103809793
1b9l	18	0.186116784	0.479873881	0.200887870	-0.014943176	0.081080576
1b9l	19	-0.417072796	-1.067223225	-0.913681355	-0.297819501	-0.213746399
1b9l	20	0.680839505	0.188279936	-0.289118710	-0.254273810	-0.157961593
1b9l	21	-1.261215067	-0.022702546	-0.618419533	-0.495483736	-0.415169190
1b9l	22	-1.625191492	-0.283659430	0.150832390	0.113740499	0.356509073
1b9l	23	-0.588151169	-0.147518140	-0.155069260	-0.627849391	-0.691934183
1b9l	24	-0.104803103	-0.392764619	-0.146832623	-0.325507934	-0.371052314
1b9l	25	-0.933742001	-0.114758568	-0.524414407	-0.672979481	-0.402117498
1b9l	26	0.321608058	0.718763637	0.615282435	0.424616164	0.544420376
1b9l	27	-0.265711207	-0.457162861	-0.389748497	-0.443191018	-0.477593597
1b9l	28	0.183091034	-0.376641215	-0.098678008	0.381743146	0.567549381
1b9l	29	0.588440352	0.362354121	0.443476307	0.823517034	0.878049453
1b9l	30	-1.334698036	-0.359693135	-0.363418345	-0.003718015	-0.151829444
1b9l	31	-0.027432466	0.329878151	0.586453685	0.280420004	0.227840760
1b9l	32	-0.731685465	-1.017370214	-0.772784065	-0.800095750	-0.555059228
1b9l	33	1.494509550	0.713446400	0.361505852	0.485519676	0.436351053
1b9l	34	-1.504501717	-0.107235729	-0.201121017	-0.050009698	-0.197634494
1b9l	35	0.747241454	-0.064315654	-0.513332043	-0.628033776	-0.135018622
1b9l	36	0.224026192	-0.033617503	-0.219543723	-0.308221168	-0.306079648
1b9l	37	0.239494978	0.201633018	0.168666570	0.181303433	0.035720169
1b9l	38	0.075822091	0.047917330	-0.643743725	-0.434433285	-0.345275578
1b9l	39	0.263237864	0.449005501	0.522129867	0.549649046	0.266729987
1b9l	40	0.595693861	0.121039846	0.254294330	0.346990274	0.679633768
1b9l	41	0.472722519	-0.297419621	-0.324162978	-0.447367677	-0.331438785
1b9l	42	-0.425508051	0.204224076	0.310254450	0.085629533	0.048909901
1b9l	43	-0.427156837	0.329684203	0.463619807	0.596362297	0.636257497
1b9l	44	0.484925225	0.815122996	0.688743990	0.561348013	0.454183906
1b9l	45	0.002001012	0.021685654	0.457086657	0.428195521	0.038851185
1b9l	46	0.774772024	0.347534286	0.628906443	0.563571588	0.336751572
1b9l	47	-1.137481627	0.175986652	-0.204298800	-0.313697375	-0.254805446
1b9l	48	0.530618913	-0.002342943	-0.035222530	-0.211545501	-0.170273559
1b9l	49	0.426216709	0.203987124	-0.035000818	-0.142782747	-0.133517764
1b9l	50	-0.871236844	-0.565008763	-0.307373387	-0.117076879	-0.296670814
