# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1dfu	1	d1	0.010000000	0.012743628	0.016490000	0.022305962	0.024667067	0.792338831	0.791319340	0.792350000	0.792287214	0.792705459
1dfu	2	d1	0.010000000	0.017016492	0.034650000	0.063798275	0.088668266	0.931409295	0.930884558	0.932190000	0.933202100	0.933407319
1dfu	3	d1	0.010000000	0.013763118	0.018730000	0.023520810	0.025674865	0.932398801	0.931889055	0.931830000	0.931364829	0.932669466
1dfu	4	d1	0.010000000	0.017976012	0.029850000	0.058713911	0.086598680	0.789790105	0.792218891	0.791740000	0.791679790	0.791397720
1dfu	5	d1	0.010000000	0.010000000	0.013270000	0.036546682	0.065716857	0.679265367	0.680944528	0.679950000	0.680678665	0.679544091
1dfu	6	d1	0.010000000	0.016911544	0.031590000	0.058346457	0.074535093	0.924752624	0.930254873	0.930740000	0.931012373	0.931805639
1dfu	7	d1	0.010000000	0.013043478	0.017340000	0.025958005	0.048470306	0.703643178	0.702533733	0.702610000	0.702395951	0.702303539
1dfu	8	d1	0.010000000	0.021004498	0.047850000	0.086235471	0.119700060	0.709130435	0.705877061	0.704050000	0.703595801	0.703101380
1dfu	9	d1	0.010000000	0.010000000	0.016480000	0.023580802	0.055770846	0.794017991	0.794287856	0.793830000	0.794109486	0.794019196
1dfu	10	d1	0.010000000	0.013058471	0.018700000	0.022230971	0.025200960	0.935007496	0.933253373	0.934080000	0.933209599	0.933635273
1dfu	11	d1	0.010000000	0.011679160	0.016240000	0.026250469	0.047576485	0.926041979	0.930569715	0.930900000	0.931544807	0.932141572
1dfu	12	d1	0.010000000	0.013298351	0.019560000	0.025028121	0.036436713	0.935217391	0.932698651	0.934040000	0.933187102	0.933257349
1dfu	13	d1	0.010000000	0.010000000	0.013520000	0.019898763	0.026580684	0.932578711	0.935412294	0.933860000	0.932992126	0.932795441
1dfu	14	d1	0.010000000	0.019250375	0.024820000	0.041496063	0.067714457	0.702473763	0.705667166	0.704450000	0.704128234	0.704901020
1dfu	15	d1	0.010000000	0.014707646	0.020530000	0.035924259	0.065002999	0.941334333	0.934962519	0.934650000	0.933622047	0.933233353
1dfu	16	d1	0.010000000	0.010000000	0.010810000	0.015609299	0.027474505	0.930089955	0.931679160	0.931350000	0.933029621	0.932753449
1dfu	17	d1	0.010000000	0.019640180	0.025450000	0.029925009	0.048446311	0.791469265	0.795262369	0.794200000	0.792279715	0.792159568
1dfu	18	d1	0.010000000	0.011529235	0.021490000	0.051477315	0.085128974	0.935877061	0.934002999	0.933330000	0.931589801	0.932525495
1dfu	19	d1	0.010000000	0.010000000	0.013970000	0.018458943	0.028734253	0.794497751	0.791559220	0.792100000	0.793464567	0.794439112
1dfu	20	d1	0.010000000	0.016266867	0.020830000	0.025200600	0.026352729	0.932878561	0.933343328	0.932930000	0.931874766	0.932171566
1dfu	21	d1	0.010000000	0.012878561	0.021340000	0.042403450	0.065722855	0.930629685	0.934767616	0.933980000	0.933434571	0.932441512
1dfu	22	d1	0.010000000	0.010000000	0.015070000	0.021961005	0.026112777	0.933028486	0.931259370	0.933780000	0.932714661	0.933053389
1dfu	23	d1	0.010000000	0.010000000	0.014690000	0.022200975	0.043767247	0.934287856	0.932218891	0.933300000	0.933599550	0.933851230
1dfu	24	d1	0.010000000	0.013553223	0.018000000	0.023550806	0.025782843	0.930839580	0.929205397	0.929720000	0.930104987	0.929550090
1dfu	25	d1	0.010000000	0.014347826	0.019300000	0.024195726	0.026130774	0.930779610	0.928080960	0.929300000	0.930622422	0.931067786
