# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1em8	1	4.353398043	2.027313715	1.007788226	0.629384608	0.454524961	1.966650827	0.607714313	0.305938683	0.052702906	-0.062901604
1em8	2	3.811690863	1.653320545	3.846714527	2.777179981	2.024507172	-0.640921292	-0.543865873	0.850760671	0.464547042	0.147572658
1em8	3	22.067878935	11.073059660	9.728447257	7.173670676	5.586738321	1.120285665	0.057956730	-0.171647895	-0.329182358	-0.411891541
1em8	4	6.103049821	2.678648774	1.485127048	1.044207164	0.735752780	-0.870939708	-0.577689674	-0.649155923	-0.684278607	-0.666077518
1em8	5	3.414639019	1.394190137	0.905811142	0.500530068	0.278980573	-0.608299348	-0.437569946	-0.372386849	-0.269427523	-0.300524153
1em8	6	4.949881036	2.074126257	1.118447358	0.763877686	0.489570499	-0.492445551	-0.722735332	-0.835875629	-0.781234555	-0.787963299
1em8	7	7.122712115	3.381217808	2.324979096	1.641428853	1.186259118	-0.852088250	-0.720242314	-0.166094552	-0.300595508	-0.297431893
1em8	8	4.487069201	1.834271188	1.038550333	0.601085491	1.148579613	-0.907941861	-0.626935823	-0.688946372	-0.578383196	-0.599626459
1em8	9	9.223826197	4.569057426	2.800005370	1.856529729	2.668773489	-0.642900463	-0.641869434	-0.556524992	-0.574364862	-0.608482263
1em8	10	4.261188505	2.937248822	2.223404753	1.735982911	1.276217295	-0.941581011	-0.786021608	-0.606491586	-0.593103927	-0.563169888
1em8	11	5.565851192	3.575174938	2.173262984	1.503042966	1.051814939	-0.673535159	-0.664900453	-0.673304955	-0.690906571	-0.690561260
1em8	12	4.526412255	1.990120699	1.079248428	0.649734748	0.406689631	-0.469861727	0.965094730	0.583797931	0.613627273	0.423289971
1em8	13	4.657971736	2.158638341	1.356631116	0.862340510	0.533977826	-0.707074570	-0.701136872	-0.705529944	-0.719222438	-0.702697767
1em8	14	5.400360646	3.884786329	2.411522937	1.533128401	1.032991187	-0.814672967	-0.352795149	-0.468049084	-0.529948637	0.074136812
1em8	15	3.386838938	1.522483691	0.710712614	0.314296806	0.244621553	-0.298354926	2.001069414	1.050385194	0.670750258	0.369329627
1em8	16	3.683405432	1.790273210	1.156323857	0.776878525	0.524026067	-1.165824972	-0.913817419	-0.751983745	-0.657735508	-0.623036469
1em8	17	114.608295343	63.524708245	42.074017310	31.526826461	25.164757458	-0.541163884	1.972516853	1.111048887	0.670487986	0.357149513
1em8	18	7.246594977	3.468709616	2.145879261	1.507917835	2.351349313	-0.387530278	-0.610384665	-0.574479578	-0.613458824	-0.516433301
