# pdbid	traj	last100	last200	last300	last400	last500
1fjj	1	0.946221424	-0.787521305	0.072547055	-0.417019721	-0.212214410
1fjj	2	-1.590973396	-0.961297297	-1.184426450	-0.937352008	-0.746174419
1fjj	3	0.148757541	-1.290010454	-1.052204238	-1.086671573	-0.861176832
1fjj	4	-0.408125510	-0.661610757	-0.827111468	-0.447666318	-0.247871683
1fjj	5	0.099797136	-0.453237927	-0.297408543	-0.837644398	-0.597766883
1fjj	6	-0.330156717	0.208608601	0.137172415	-0.661049310	-0.707858118
1fjj	7	0.137606072	0.460402797	1.044998620	0.808045681	0.742960298
1fjj	8	0.469548553	-0.205883348	0.036888102	-0.446005247	-0.009862089
1fjj	9	2.242736207	0.942890776	0.724842152	0.434249803	0.581185961
1fjj	10	-0.176479805	-0.093354589	-0.492805793	-0.672739663	-0.696278722
1fjj	11	-1.951845292	-3.635443018	-2.893109710	-2.326220118	-1.715611362
1fjj	12	0.364851424	-0.842081927	-0.433343428	0.088844745	-0.113256324
1fjj	13	0.957417181	0.928407135	0.635686857	0.311671558	0.096661996
1fjj	14	0.658902324	-0.808652182	-1.512804355	-1.819271969	-1.609996619
1fjj	15	0.015119303	0.933959989	-0.054491825	0.323357120	0.254435265
1fjj	16	-0.365795082	-0.354073525	-0.393256240	-0.155183817	-0.069587254
1fjj	17	1.082166334	-0.542384994	0.016075350	0.108871301	0.074369225
1fjj	18	1.779352549	2.006949528	1.492245160	1.441497051	0.912800564
1fjj	19	-1.027417646	0.168487533	-0.402911995	-0.379703391	-0.044173889
1fjj	20	-0.421499183	0.627545879	0.097062330	-0.157414081	0.260686900
1fjj	21	2.532302316	1.521146003	0.494523772	0.354016655	0.042735631
1fjj	22	1.282648801	0.325605666	-0.502457085	-0.851572718	-1.087609331
1fjj	23	-0.811312496	0.045950037	-0.486848155	-0.638192201	-0.055771291
1fjj	24	0.375989408	-0.045413333	-0.262488828	-0.600873406	-0.805469571
1fjj	25	-0.717778366	-0.635969546	-0.756541773	-0.855473669	-1.024766246
1fjj	26	-1.782562826	-0.549074361	-0.613891435	-0.424821637	-0.150250613
1fjj	27	-0.169790015	0.796913858	0.179528237	-0.228728067	0.014652761
1fjj	28	-0.374711319	0.021406798	-0.233520530	-0.508387477	-0.877227629
1fjj	29	0.589855367	-0.078842058	0.706258480	0.411949430	0.903868475
1fjj	30	-0.572957804	-1.284438256	-0.830059908	0.045939558	0.370796930
1fjj	31	0.556440915	0.544015992	0.338523005	0.093284256	-0.001835305
1fjj	32	1.353908688	0.523945951	0.177306240	0.071564055	0.171107899
1fjj	33	-1.223434445	-0.603625343	-0.703006368	-0.552367756	-0.379778079
1fjj	34	-0.312332684	-0.121203611	0.431369157	-0.544051310	-0.428388521
1fjj	35	0.863813928	1.541217184	1.545738905	1.433693650	0.976075607
1fjj	36	-0.236637946	1.014183015	1.102228722	1.170181905	0.643575227
1fjj	37	0.518511027	-1.137405613	-0.212001708	0.046472261	-0.412358871
1fjj	38	1.242542826	1.294988586	1.036115445	0.745676481	0.008431564
1fjj	39	0.231176754	-0.014243067	-0.359071988	-0.562985952	-0.635207731
1fjj	40	-0.323497594	0.383532587	-0.462339298	-0.385826014	-0.692255029
1fjj	41	0.547513471	1.561275793	1.409793830	1.024775283	0.684577486
1fjj	42	1.142291882	1.020871481	0.493028777	0.447604603	0.383712101
1fjj	43	-2.473137939	-0.932374019	-0.580479498	-0.900598142	-1.104997938
1fjj	44	0.516311882	-0.631509861	-0.995749045	-0.608114228	-0.118167761
1fjj	45	0.950704318	1.062091624	1.542010337	0.919469657	0.240629204
1fjj	46	-1.484067324	0.063762613	-0.156259568	0.542873821	0.415810298
1fjj	47	2.423162654	1.294970356	0.452171157	-0.807011704	-0.834446336
1fjj	48	2.222641844	-0.543513708	-0.580456440	-0.628717597	-0.537138502
1fjj	49	0.707928118	0.283276790	0.324403930	0.382424359	0.370786918
1fjj	50	0.810374400	0.926163821	0.637909465	0.380206999	0.114507477
