# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1fui	1	d1	0.010000000	0.010000000	0.010000000	0.010802400	0.010929814	0.268020990	0.274137931	0.274500000	0.275024372	0.275644871
1fui	2	d1	0.010000000	0.010000000	0.011250000	0.015894263	0.026718656	0.920854573	0.922293853	0.922150000	0.922448444	0.923695261
1fui	3	d1	0.010000000	0.010000000	0.010000000	0.010659918	0.017948410	0.278845577	0.279400300	0.274760000	0.273277090	0.273431314
1fui	4	d1	0.010000000	0.010000000	0.010740000	0.015001875	0.026436713	0.288650675	0.283853073	0.286620000	0.285808024	0.284217157
1fui	5	d1	0.010000000	0.010000000	0.019050000	0.031807274	0.042771446	0.267901049	0.268095952	0.270200000	0.270982377	0.270575885
1fui	6	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010449910	0.921214393	0.921514243	0.920910000	0.921173603	0.920791842
1fui	7	d1	0.010000000	0.010000000	0.010000000	0.013344582	0.027360528	0.276326837	0.274107946	0.274870000	0.274686914	0.273359328
1fui	8	d1	0.010000000	0.010000000	0.019610000	0.036254218	0.046706659	0.926311844	0.926716642	0.924500000	0.923325834	0.921979604
1fui	9	d1	0.010000000	0.010000000	0.010000000	0.010479940	0.011049790	0.272488756	0.273463268	0.270810000	0.272684664	0.272135573
1fui	10	d1	0.010000000	0.010000000	0.010000000	0.013472066	0.023689262	0.924572714	0.925352324	0.924710000	0.924593176	0.923503299
1fui	11	d1	0.010000000	0.010000000	0.010000000	0.015099363	0.029064187	0.921994003	0.919700150	0.922440000	0.924060742	0.923461308
1fui	12	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.012705459	0.921334333	0.921994003	0.923210000	0.922103487	0.921889622
1fui	13	d1	0.010000000	0.010000000	0.010000000	0.015391826	0.028974205	0.267661169	0.266686657	0.266060000	0.265838020	0.267546491
1fui	14	d1	0.010000000	0.010000000	0.010270000	0.013329584	0.025122975	0.920794603	0.921304348	0.919950000	0.920813648	0.922165567
1fui	15	d1	0.010000000	0.010000000	0.010000000	0.012302212	0.016256749	0.270719640	0.276026987	0.275580000	0.276479190	0.278638272
1fui	16	d1	0.010000000	0.015007496	0.025810000	0.037266592	0.048860228	0.263613193	0.264527736	0.263300000	0.263978253	0.265134973
1fui	17	d1	0.010000000	0.010389805	0.022500000	0.036021747	0.047018596	0.280314843	0.278215892	0.278220000	0.276261717	0.277066587
1fui	18	d1	0.010000000	0.010000000	0.012840000	0.022530934	0.034301140	0.927211394	0.924827586	0.923690000	0.924225722	0.923107379
1fui	19	d1	0.010000000	0.010000000	0.010000000	0.010989876	0.014313137	0.925502249	0.921064468	0.921360000	0.921241095	0.920245951
1fui	20	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.016094781	0.263763118	0.266986507	0.273970000	0.273307087	0.273377325
1fui	21	d1	0.010000000	0.010000000	0.010000000	0.013292088	0.024193161	0.286191904	0.285922039	0.283830000	0.283085864	0.281505699
1fui	22	d1	0.010000000	0.010000000	0.010800000	0.023678290	0.037516497	0.264632684	0.266761619	0.268350000	0.267172853	0.268086383
1fui	23	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.011355729	0.272908546	0.272653673	0.271070000	0.272864642	0.273467307
1fui	24	d1	0.010000000	0.010000000	0.015470000	0.023865767	0.037312537	0.273088456	0.282278861	0.277690000	0.276224222	0.277390522
1fui	25	d1	0.010000000	0.011334333	0.023130000	0.038856393	0.049928014	0.924572714	0.920824588	0.921140000	0.921143607	0.921055789
1fui	26	d1	0.010000000	0.010000000	0.010000000	0.010764904	0.015488902	0.273958021	0.269895052	0.269340000	0.270014998	0.289262148
1fui	27	d1	0.010000000	0.010000000	0.010000000	0.011109861	0.020413917	0.919565217	0.923613193	0.921230000	0.921961005	0.921241752
1fui	28	d1	0.010000000	0.010000000	0.010060000	0.015031871	0.018392322	0.925022489	0.923643178	0.924840000	0.924578178	0.923767247
1fui	29	d1	0.010000000	0.010000000	0.010440000	0.012017248	0.021115777	0.269970015	0.268275862	0.269310000	0.267697788	0.268176365
1fui	30	d1	0.010000000	0.010000000	0.011500000	0.013892013	0.023527295	0.922023988	0.919985007	0.919240000	0.917919010	0.919544091
1fui	31	d1	0.010000000	0.010689655	0.013650000	0.021601050	0.034385123	0.276236882	0.276791604	0.277370000	0.276171729	0.275812837
1fui	32	d1	0.010000000	0.010000000	0.010480000	0.015774278	0.027876425	0.276896552	0.276176912	0.274860000	0.275594301	0.276526695
1fui	33	d1	0.010000000	0.010000000	0.010850000	0.015586802	0.026010798	0.292398801	0.284902549	0.279540000	0.279043870	0.278788242
1fui	34	d1	0.010000000	0.010000000	0.012220000	0.021248594	0.034811038	0.924002999	0.925982009	0.924650000	0.923760780	0.922813437
1fui	35	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.011751650	0.218875562	0.218935532	0.218060000	0.219501312	0.220359928
1fui	36	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010407918	0.268440780	0.274437781	0.290650000	0.295264342	0.290923815
1fui	37	d1	0.010000000	0.010000000	0.010000000	0.010142482	0.016904619	0.224662669	0.225967016	0.225910000	0.225170604	0.224451110
1fui	38	d1	0.010000000	0.011664168	0.021390000	0.037386577	0.048374325	0.918155922	0.921289355	0.920370000	0.879148856	0.760803839
1fui	39	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.015500900	0.221184408	0.220614693	0.222130000	0.222478440	0.223479304
1fui	40	d1	0.010000000	0.010000000	0.010000000	0.012707162	0.020803839	0.280104948	0.281964018	0.299060000	0.289182602	0.275074985
1fui	41	d1	0.010000000	0.010000000	0.010000000	0.014664417	0.028266347	0.923853073	0.923103448	0.923110000	0.923895763	0.924991002
1fui	42	d1	0.010000000	0.010000000	0.010000000	0.011732283	0.023887223	0.916926537	0.921604198	0.921050000	0.921683540	0.920695861
1fui	43	d1	0.010000000	0.010000000	0.013010000	0.027690289	0.039700060	0.221484258	0.228230885	0.230120000	0.228012748	0.228710258
1fui	44	d1	0.010000000	0.010000000	0.011120000	0.021503562	0.032189562	0.921364318	0.923598201	0.923620000	0.921946007	0.921529694
1fui	45	d1	0.010000000	0.010000000	0.010000000	0.013179603	0.015506899	0.262893553	0.265742129	0.267210000	0.267900262	0.268386323
1fui	46	d1	0.010000000	0.010000000	0.010430000	0.013772028	0.026238752	0.283013493	0.275742129	0.271710000	0.272827147	0.272765447
1fui	47	d1	0.010000000	0.010000000	0.010000000	0.011634796	0.019298140	0.266761619	0.273343328	0.272480000	0.273584552	0.272087582
1fui	48	d1	0.010000000	0.010000000	0.012570000	0.015841770	0.021529694	0.278965517	0.275457271	0.273730000	0.275511811	0.275302939
1fui	49	d1	0.010000000	0.010000000	0.010210000	0.018766404	0.031805639	0.920704648	0.920749625	0.919110000	0.920753656	0.920095981
1fui	50	d1	0.010000000	0.010000000	0.010000000	0.013007124	0.018542292	0.228140930	0.228680660	0.227220000	0.226362955	0.225794841
# pdbid	traj	d2	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1fui	1	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.929490255	0.930089955	0.931970000	0.930022497	0.929442112
1fui	2	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.938785607	0.939325337	0.935780000	0.936786652	0.936346731
1fui	3	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.665562219	0.666806597	0.667270000	0.667645294	0.667564487
1fui	4	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.945472264	0.937631184	0.938310000	0.938353956	0.937096581
1fui	5	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.950959520	0.952953523	0.952370000	0.952947132	0.952801440
1fui	6	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.926461769	0.931619190	0.935560000	0.934731909	0.933719256
1fui	7	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.953448276	0.951904048	0.952200000	0.951424822	0.951145771
1fui	8	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.943163418	0.944497751	0.940910000	0.939831271	0.939484103
1fui	9	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.952218891	0.953298351	0.952550000	0.951012373	0.950977804
1fui	10	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.934107946	0.931004498	0.928790000	0.929310086	0.929454109
1fui	11	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.926371814	0.930119940	0.930530000	0.930539933	0.931769646
1fui	12	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.921544228	0.927991004	0.931030000	0.930817398	0.927816437
1fui	13	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.952488756	0.952353823	0.952520000	0.952219723	0.951775645
1fui	14	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.951229385	0.950809595	0.950760000	0.951004874	0.951037792
1fui	15	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.945532234	0.938140930	0.936010000	0.936966629	0.938974205
1fui	16	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.935097451	0.930554723	0.934220000	0.931477315	0.934379124
1fui	17	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.953508246	0.953778111	0.954910000	0.953667042	0.953167367
1fui	18	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.953928036	0.951889055	0.951680000	0.951259843	0.951007798
1fui	19	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.955637181	0.954542729	0.953290000	0.953307087	0.953227355
1fui	20	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.669400300	0.669700150	0.669760000	0.669827522	0.669862028
1fui	21	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.953388306	0.954272864	0.954040000	0.953952006	0.953617277
1fui	22	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.938875562	0.935307346	0.936870000	0.937154106	0.933053389
1fui	23	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.941154423	0.941484258	0.937480000	0.936801650	0.937000600
1fui	24	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.943373313	0.944662669	0.943330000	0.940536183	0.940035993
1fui	25	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.949850075	0.950569715	0.950650000	0.951514811	0.951433713
1fui	26	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.951529235	0.952563718	0.952630000	0.951964754	0.951721656
1fui	27	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.950059970	0.950044978	0.950440000	0.950937383	0.951151770
1fui	28	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.935037481	0.934107946	0.933210000	0.935984252	0.935260948
1fui	29	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.951079460	0.950809595	0.950700000	0.951019873	0.950911818
1fui	30	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.942083958	0.934767616	0.935470000	0.935549306	0.937150570
1fui	31	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.929820090	0.931469265	0.930290000	0.928252718	0.929376125
1fui	32	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.955547226	0.954392804	0.953470000	0.952617173	0.952501500
1fui	33	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.925292354	0.929085457	0.933270000	0.931289839	0.931451710
1fui	34	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.952068966	0.951919040	0.953040000	0.952654668	0.952339532
1fui	35	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.550000000	0.550000000	0.550200000	0.550149981	0.550119976
1fui	36	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.957196402	0.956371814	0.954050000	0.953074616	0.952549490
1fui	37	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.550000000	0.550000000	0.550180000	0.550134983	0.550107978
1fui	38	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.924362819	0.931424288	0.934890000	0.936104237	0.934913017
1fui	39	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.550779610	0.550389805	0.550260000	0.550194976	0.550155969
1fui	40	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.649760120	0.657226387	0.657680000	0.637574053	0.620725855
1fui	41	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.938785607	0.927331334	0.930190000	0.930532433	0.933803239
1fui	42	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.946371814	0.937016492	0.932590000	0.933727034	0.930485903
1fui	43	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.550000000	0.550000000	0.550000000	0.550000000	0.550000000
