# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1gqe	1	d1	0.010000000	0.018665667	0.033660000	0.049137608	0.061313737	0.970539730	0.970269865	0.970860000	0.970652418	0.970527894
1gqe	2	d1	0.010000000	0.024437781	0.041960000	0.060056243	0.075632873	0.970000000	0.970000000	0.970490000	0.970367454	0.970293941
1gqe	3	d1	0.010000000	0.014452774	0.024030000	0.041526059	0.056766647	0.970000000	0.970000000	0.970000000	0.970000000	0.970000000
1gqe	4	d1	0.013028486	0.031049475	0.046890000	0.062365954	0.075872825	0.970479760	0.970239880	0.970160000	0.970119985	0.970551890
1gqe	5	d1	0.012938531	0.033853073	0.052040000	0.065875516	0.081619676	0.970000000	0.970000000	0.970260000	0.970194976	0.970155969
1gqe	6	d1	0.010000000	0.016326837	0.026710000	0.035286839	0.042285543	0.970000000	0.970164918	0.970140000	0.970104987	0.970209958
1gqe	7	d1	0.010000000	0.013598201	0.022850000	0.031117360	0.046376725	0.970569715	0.971274363	0.970850000	0.970704912	0.970875825
1gqe	8	d1	0.010000000	0.020659670	0.030450000	0.043273341	0.055572885	0.970179910	0.970089955	0.970060000	0.970044994	0.970161968
1gqe	9	d1	0.010000000	0.010000000	0.014730000	0.030644919	0.049796041	0.970119940	0.970059970	0.970170000	0.970487439	0.970389922
1gqe	10	d1	0.010000000	0.013283358	0.024260000	0.042928384	0.060011998	0.970000000	0.970164918	0.970110000	0.970232471	0.970203959
1gqe	11	d1	0.010000000	0.017301349	0.026530000	0.037394076	0.049214157	0.971499250	0.970869565	0.970580000	0.970434946	0.970365927
1gqe	12	d1	0.010149925	0.028065967	0.038460000	0.048275216	0.062873425	0.970000000	0.970089955	0.970640000	0.970494938	0.970395921
1gqe	13	d1	0.010000000	0.012083958	0.024460000	0.034866892	0.049220156	0.970000000	0.970344828	0.970320000	0.970239970	0.970191962
1gqe	14	d1	0.010000000	0.010000000	0.018840000	0.030997375	0.047870426	0.970029985	0.970194903	0.970720000	0.970892388	0.970713857
1gqe	15	d1	0.010000000	0.013568216	0.021120000	0.035181852	0.055038992	0.970000000	0.970000000	0.970000000	0.970000000	0.970509898
1gqe	16	d1	0.010000000	0.016266867	0.026240000	0.040116235	0.058380324	0.970000000	0.970404798	0.970450000	0.970517435	0.970413917
1gqe	17	d1	0.010000000	0.015412294	0.028770000	0.047495313	0.066262747	0.971379310	0.970689655	0.970460000	0.970464942	0.970653869
1gqe	18	d1	0.010000000	0.025052474	0.047450000	0.063115861	0.079514097	0.970000000	0.970000000	0.970510000	0.970382452	0.970305939
1gqe	19	d1	0.010000000	0.018545727	0.032110000	0.051859768	0.068566287	0.970000000	0.970000000	0.970280000	0.970209974	0.970509898
1gqe	20	d1	0.010000000	0.014497751	0.025250000	0.033892013	0.045854829	0.970000000	0.970000000	0.970000000	0.970209974	0.970167966
1gqe	21	d1	0.010000000	0.010000000	0.016200000	0.029692538	0.047486503	0.970029985	0.970014993	0.969750000	0.969812523	0.969994001
1gqe	22	d1	0.010000000	0.019295352	0.030980000	0.045718035	0.060599880	0.970269865	0.970494753	0.970330000	0.970802400	0.970641872
1gqe	23	d1	0.010419790	0.022788606	0.035950000	0.054401950	0.072447510	0.970269865	0.970554723	0.970670000	0.970509936	0.970485903
1gqe	24	d1	0.010000000	0.021859070	0.031720000	0.048320210	0.065818836	0.971619190	0.970809595	0.970540000	0.970344957	0.970275945
1gqe	25	d1	0.010000000	0.021199400	0.029760000	0.042140982	0.055716857	0.970089955	0.970254873	0.970180000	0.970674916	0.970539892
1gqe	26	d1	0.019805097	0.044647676	0.071880000	0.090824897	0.105236953	0.970000000	0.970119940	0.970080000	0.970059993	0.970047990
1gqe	27	d1	0.010000000	0.019310345	0.036480000	0.054889389	0.069226155	0.970000000	0.970000000	0.970180000	0.970134983	0.970179964
1gqe	28	d1	0.010000000	0.012983508	0.030510000	0.048852643	0.066112777	0.970239880	0.970779610	0.970520000	0.970389951	0.970311938
1gqe	29	d1	0.010000000	0.015757121	0.024240000	0.034836895	0.047144571	0.970689655	0.970344828	0.970230000	0.970172478	0.970167966
1gqe	30	d1	0.010000000	0.010044978	0.020350000	0.039838770	0.058758248	0.970000000	0.970000000	0.970300000	0.970224972	0.970197960
1gqe	31	d1	0.010000000	0.010000000	0.020340000	0.030532433	0.039136173	0.969940030	0.969970015	0.969980000	0.970097488	0.970203959
1gqe	32	d1	0.010000000	0.010000000	0.017420000	0.025530559	0.036622675	0.970779610	0.970389805	0.970260000	0.970299963	0.970239952
1gqe	33	d1	0.010000000	0.011169415	0.017690000	0.026347957	0.041511698	0.970000000	0.970494753	0.970340000	0.970254968	0.970401920
1gqe	34	d1	0.010000000	0.019190405	0.028180000	0.039958755	0.053785243	0.971259370	0.970659670	0.970780000	0.970584927	0.970467906
1gqe	35	d1	0.010239880	0.027391304	0.047590000	0.066407949	0.080083983	0.970000000	0.970000000	0.970160000	0.970427447	0.970347930
1gqe	36	d1	0.010000000	0.010000000	0.012960000	0.020341207	0.032885423	0.970000000	0.970014993	0.969110000	0.969272591	0.969496101
1gqe	37	d1	0.010000000	0.015082459	0.031060000	0.048777653	0.062207558	0.970029985	0.970014993	0.970010000	0.970097488	0.970077984
1gqe	38	d1	0.010000000	0.010104948	0.016680000	0.024660667	0.034037193	0.970119940	0.970059970	0.970040000	0.970104987	0.970083983
1gqe	39	d1	0.010000000	0.010000000	0.019850000	0.030254968	0.043155369	0.970269865	0.970134933	0.970090000	0.970067492	0.970053989
1gqe	40	d1	0.010000000	0.015382309	0.028340000	0.042590926	0.062825435	0.970000000	0.970000000	0.970000000	0.970614923	0.970491902
1gqe	41	d1	0.010000000	0.010000000	0.011660000	0.018556430	0.028980204	0.971079460	0.970554723	0.970370000	0.970277465	0.970221956
1gqe	42	d1	0.010000000	0.022533733	0.032420000	0.041818523	0.056742651	0.970000000	0.970000000	0.970010000	0.970007499	0.970005999
1gqe	43	d1	0.010000000	0.026176912	0.039350000	0.059441320	0.076010798	0.970569715	0.970284858	0.970190000	0.970194976	0.970155969
1gqe	44	d1	0.010000000	0.019790105	0.034960000	0.056681665	0.074385123	0.970000000	0.970089955	0.969740000	0.969775028	0.970155969
1gqe	45	d1	0.010000000	0.011784108	0.022610000	0.029535058	0.039760048	0.970809595	0.970404798	0.970380000	0.970547432	0.970455909
1gqe	46	d1	0.010000000	0.011664168	0.028560000	0.047457818	0.064469106	0.970000000	0.970659670	0.970620000	0.970464942	0.970437912
1gqe	47	d1	0.010000000	0.013868066	0.031280000	0.052692163	0.072285543	0.970000000	0.970000000	0.970000000	0.970000000	0.970000000
1gqe	48	d1	0.010000000	0.015832084	0.031400000	0.046970379	0.066394721	0.970899550	0.970449775	0.970400000	0.970299963	0.970239952
1gqe	49	d1	0.010000000	0.029745127	0.043150000	0.053554556	0.066862627	0.970000000	0.970000000	0.970050000	0.970037495	0.970065987
1gqe	50	d1	0.010000000	0.010629685	0.027960000	0.047487814	0.064379124	0.970000000	0.970000000	0.970230000	0.970884889	0.970707858
# pdbid	traj	d2	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1gqe	1	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.885742129	0.890419790	0.887880000	0.886505437	0.882717457
1gqe	2	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.890659670	0.886401799	0.885090000	0.884473191	0.884313137
1gqe	3	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.876356822	0.876401799	0.880920000	0.882178478	0.881751650
1gqe	4	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.882293853	0.885292354	0.883610000	0.881863517	0.880107978
1gqe	5	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.873448276	0.875277361	0.877360000	0.879028871	0.878722256
1gqe	6	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.873148426	0.874542729	0.874160000	0.875706787	0.877630474
1gqe	7	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.864632684	0.869325337	0.876440000	0.876854143	0.876982603
1gqe	8	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.880284858	0.880014993	0.882010000	0.882995876	0.883107379
1gqe	9	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.883913043	0.883703148	0.879950000	0.879921260	0.881643671
1gqe	10	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.886851574	0.877586207	0.877230000	0.875264342	0.876874625
1gqe	11	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.881844078	0.884902549	0.883110000	0.880318710	0.877012597
1gqe	12	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.875637181	0.875097451	0.873940000	0.874881890	0.876028794
1gqe	13	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.889220390	0.883013493	0.881340000	0.881863517	0.881607678
