# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1h75	1	-0.858438556	-0.486637896	-0.254231801	-0.288078110	-0.182872607	0.197547107	0.141020867	0.117225885	0.075556087	0.086832263
1h75	2	-0.049730053	0.087019207	0.099277781	0.075389282	0.078241485	0.284039899	0.163066411	0.068786749	0.096286746	0.034834697
1h75	3	18.481974663	9.940924019	6.644748336	5.034462346	4.129857557	-0.829482399	-0.412757016	-0.184398719	-0.232433324	-0.204803093
1h75	4	0.460768708	0.167248689	0.207169117	0.034422232	0.018024428	1.127974964	0.542813724	0.495274673	0.487461895	0.418403455
1h75	5	0.943860021	0.666815821	0.392207575	0.322263980	0.278695930	-0.148143474	0.006750522	0.076512416	0.046585681	0.084781624
1h75	6	24.972801677	12.509046319	8.381050522	6.251494816	4.977420000	0.414104253	0.205721970	0.204130283	0.123010302	0.092231190
1h75	7	1.894973735	1.086640075	0.741633105	0.685190829	0.526660078	0.066472196	-0.009279602	-0.022426942	0.005069090	0.031255815
1h75	8	0.527898067	0.200366668	0.258836801	0.169099282	0.106719914	-0.094785947	-0.071331010	-0.096583888	-0.136749594	-0.035018142
1h75	9	0.460606001	0.207364178	0.228716122	0.189146823	0.103555917	-0.039602768	-0.237914835	-0.168219767	-0.179269566	-0.105022072
1h75	10	1.603865727	0.922091949	0.621933055	0.401854276	0.337079836	-0.368310141	-0.267863460	-0.214820726	-0.147115712	-0.138320224
1h75	11	2.603181191	1.299795799	0.976175418	0.831345466	0.701598440	0.189895383	0.052417555	0.039842470	0.093558913	-0.019501665
1h75	12	1.131565883	0.546976307	0.485545049	0.441077783	0.367227718	0.289005983	0.230896651	0.089303103	0.148089124	0.144353138
1h75	13	0.991187196	0.357591919	0.312266251	0.311337727	0.212390940	-0.184969833	-0.164020356	-0.065390836	0.042943164	0.033459015
1h75	14	2.637587574	1.210782493	0.864033541	0.731396659	0.607055319	0.472519360	0.481488023	0.273420648	0.163122563	0.098103903
1h75	15	0.782480445	0.300416452	0.149361940	0.108915955	0.126950165	-0.033366159	0.044566947	0.029569797	-0.240524361	-0.154716679
1h75	16	1.236200206	0.504782998	0.297721876	0.093255191	-0.385898883	-0.299510114	0.116595478	0.127510615	-0.403192132	-0.381614426
1h75	17	9.358184900	4.954009434	3.212130361	2.459918451	1.967612231	-0.352204476	0.118959522	0.102489424	0.019344630	-0.044691924
1h75	18	1.870679981	0.975363381	0.686189783	0.535934874	0.407453354	-0.221901823	0.102120763	-0.011866592	-0.127472623	-0.105963580
1h75	19	6.169621732	3.166956529	1.959411411	1.365230313	1.075087110	0.797836787	-0.770475079	-0.488179640	-0.290632331	-0.278000458
1h75	20	1.187672153	0.870955300	0.619719260	0.538693963	0.529018053	0.089290555	0.146028550	0.083722178	0.009109051	-0.004669850
1h75	21	0.494033525	0.304759937	0.068998643	0.036195789	-0.048937993	0.374434650	0.303364845	0.189234802	0.129701082	0.075392929
1h75	22	15.282442735	7.854989215	5.236145164	3.911246382	3.117573455	-0.058570777	-0.029716027	-0.078020571	-0.122359488	-0.115673307
1h75	23	1.260758840	0.651344580	0.430819618	0.340664896	0.274180671	-0.386110283	-0.467188389	-0.356182557	-0.265596829	-0.294146930
1h75	24	1.201311189	0.431645606	0.226679562	0.112066743	0.093006025	-0.111138212	-0.063075596	-0.081745377	-0.054807670	-0.069374520
1h75	25	0.487461785	0.445342180	0.450304071	0.249503452	0.226202861	0.043234412	-0.095502966	-0.066223986	-0.118337175	-0.078941377
1h75	26	8.104273423	3.637333423	2.468484396	1.947824144	1.599488676	0.120040260	0.116348567	0.006737372	0.135125651	-0.130562096
1h75	27	0.342276016	0.307795206	0.186294803	0.154301048	0.132763679	0.171972428	0.241132946	0.209138080	0.174428579	0.096220709
1h75	28	4.481181703	2.158554206	1.444533870	1.093680463	0.821666922	0.126998776	-0.005069203	-0.029748514	-0.070301126	-0.027643609
1h75	29	1.237155569	0.749002282	0.570799632	0.435486319	0.330065891	-0.281556066	-0.074028596	-0.036871555	0.026903440	0.117459257
1h75	30	0.231454947	0.162542813	-0.011797765	-0.430311810	-0.417183622	0.375430836	0.289198144	0.191527053	0.130815012	0.109010271
1h75	31	0.621131549	0.092673344	0.075328979	0.049146110	0.026402794	0.060560847	0.261009428	0.327812603	0.170794149	0.105074043
1h75	32	0.484572570	0.090802823	0.156330241	0.057891766	0.133351171	0.572539546	0.252434911	-0.010749970	-0.013503869	0.006834061
1h75	33	-1.969570692	-0.904665303	-0.573823914	-0.381293871	-0.269464443	0.077411201	-0.174382901	-0.057460118	0.042651006	0.019186672
1h75	34	0.851611556	0.414373505	0.258228501	0.214923907	0.296112174	-0.076576476	0.033495158	0.001432430	0.029706644	0.041851072
1h75	35	-0.067326493	-0.066749756	-0.079982963	-0.010764937	0.006587241	-0.317226516	0.052114715	0.133973627	0.157888756	0.161263072
1h75	36	0.054141322	0.073562806	0.042199600	0.065075419	0.025120287	0.080479403	0.171215746	0.147431880	0.095327129	0.134354584
1h75	37	-0.109079297	-0.048508578	0.097978858	0.083425062	0.082569997	-0.028297065	0.143774904	0.132111345	0.060042428	0.017264116
