# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1ksf	1	d1	0.017706147	0.026326837	0.037630000	0.050029996	0.056514697	0.844602699	0.824332834	0.862990000	0.884810649	0.897348530
1ksf	2	d1	0.010000000	0.021244378	0.035040000	0.044165729	0.052249550	0.946611694	0.942428786	0.943880000	0.939066367	0.941847630
1ksf	3	d1	0.010000000	0.018530735	0.023530000	0.033022122	0.042015597	0.947001499	0.944707646	0.941920000	0.943025872	0.927444511
1ksf	4	d1	0.017406297	0.023703148	0.029330000	0.038781402	0.048050390	0.950599700	0.947421289	0.942150000	0.939741282	0.918572286
1ksf	5	d1	0.020884558	0.025442279	0.028840000	0.038953881	0.047408518	0.889880060	0.866596702	0.871770000	0.880543682	0.895002999
1ksf	6	d1	0.010000000	0.014017991	0.019340000	0.025013123	0.032321536	0.934527736	0.924557721	0.934370000	0.922223472	0.902849430
1ksf	7	d1	0.010000000	0.010000000	0.015690000	0.021346082	0.031079784	0.860224888	0.885367316	0.907140000	0.908365204	0.913815237
1ksf	8	d1	0.010000000	0.019955022	0.025290000	0.037461567	0.047468506	0.955367316	0.945472264	0.942260000	0.944825647	0.939568086
1ksf	9	d1	0.010869565	0.020434783	0.033650000	0.044458193	0.055650870	0.950149925	0.949985007	0.949580000	0.950644919	0.950515897
1ksf	10	d1	0.010000000	0.019205397	0.022820000	0.032392201	0.039922016	0.948200900	0.948410795	0.920300000	0.924713161	0.928788242
1ksf	11	d1	0.011409295	0.020704648	0.032580000	0.041938508	0.051043791	0.947631184	0.948545727	0.940900000	0.945470566	0.943845231
1ksf	12	d1	0.022323838	0.030824588	0.044020000	0.055886764	0.062441512	0.949400300	0.953373313	0.952980000	0.953052118	0.948812238
1ksf	13	d1	0.010000000	0.027241379	0.041020000	0.048267717	0.055464907	0.939235382	0.941139430	0.915940000	0.924330709	0.927996401
1ksf	14	d1	0.014857571	0.022428786	0.024950000	0.026212973	0.031811638	0.841214393	0.896626687	0.915190000	0.924900637	0.930167966
1ksf	15	d1	0.010000000	0.017316342	0.032790000	0.043985752	0.052891422	0.944812594	0.902023988	0.884390000	0.900288714	0.907234553
1ksf	16	d1	0.011169415	0.020584708	0.025570000	0.032962130	0.041043791	0.959565217	0.953103448	0.932750000	0.928042745	0.927678464
1ksf	17	d1	0.010000000	0.019700150	0.027580000	0.038076490	0.046586683	0.944302849	0.946656672	0.948660000	0.947825272	0.948866227
1ksf	18	d1	0.010000000	0.012368816	0.018240000	0.024015748	0.032687463	0.955637181	0.951964018	0.931400000	0.934191976	0.937864427
1ksf	19	d1	0.014407796	0.022263868	0.034290000	0.045035621	0.054355129	0.935757121	0.940794603	0.943890000	0.936614173	0.934559088
1ksf	20	d1	0.012518741	0.021274363	0.034470000	0.044255718	0.052849430	0.932578711	0.942008996	0.942850000	0.944998125	0.944451110
1ksf	21	d1	0.012278861	0.023628186	0.034520000	0.043010874	0.048410318	0.939175412	0.921634183	0.883050000	0.889362580	0.895680864
1ksf	22	d1	0.010000000	0.018050975	0.032090000	0.041571054	0.049136173	0.924872564	0.936611694	0.938430000	0.940881140	0.924019196
1ksf	23	d1	0.021214393	0.034662669	0.049350000	0.062598425	0.077900420	0.950029985	0.951289355	0.953830000	0.955279340	0.953725255
1ksf	24	d1	0.010000000	0.017481259	0.026910000	0.037184102	0.046244751	0.952728636	0.952818591	0.953130000	0.945823022	0.940623875
1ksf	25	d1	0.012848576	0.021424288	0.030350000	0.038301462	0.047306539	0.878515742	0.905427286	0.921460000	0.894094488	0.877918416
1ksf	26	d1	0.013958021	0.023013493	0.034930000	0.042658418	0.050899820	0.955247376	0.952638681	0.952420000	0.952864642	0.953155369
1ksf	27	d1	0.010000000	0.013913043	0.025800000	0.035136858	0.042309538	0.952158921	0.952533733	0.951780000	0.952617173	0.945014997
1ksf	28	d1	0.012758621	0.021379310	0.025370000	0.035781777	0.045290942	0.947601199	0.934602699	0.938570000	0.941998500	0.941487702
1ksf	29	d1	0.010000000	0.014947526	0.019960000	0.027022872	0.031031794	0.949520240	0.946086957	0.949110000	0.950014998	0.949232154
1ksf	30	d1	0.010000000	0.018920540	0.032500000	0.041878515	0.048158368	0.842383808	0.862188906	0.891030000	0.897221597	0.907180564
1ksf	31	d1	0.010000000	0.019250375	0.029640000	0.039906262	0.048866227	0.927511244	0.911379310	0.922580000	0.930367454	0.929964007
1ksf	32	d1	0.015847076	0.027826087	0.041870000	0.051889764	0.061085783	0.951199400	0.951274363	0.949630000	0.942028496	0.941499700
1ksf	33	d1	0.022023988	0.028890555	0.039570000	0.048627672	0.057012597	0.950479760	0.943748126	0.943890000	0.944795651	0.946214757
1ksf	34	d1	0.015727136	0.025637181	0.036960000	0.045223097	0.052831434	0.946191904	0.948500750	0.947490000	0.943243345	0.932321536
1ksf	35	d1	0.023043478	0.040389805	0.050250000	0.056726659	0.063563287	0.935727136	0.933373313	0.942030000	0.934889389	0.925932813
1ksf	36	d1	0.011919040	0.020389805	0.023590000	0.032144732	0.040593881	0.949640180	0.933013493	0.931570000	0.933389576	0.935830834
1ksf	37	d1	0.010000000	0.019160420	0.030760000	0.042898388	0.052687463	0.942473763	0.936086957	0.900270000	0.907157855	0.912087582
1ksf	38	d1	0.011919040	0.023118441	0.033710000	0.043235846	0.051865627	0.957106447	0.952188906	0.944070000	0.936831646	0.935920816
1ksf	39	d1	0.010000000	0.010000000	0.018670000	0.031507312	0.042165567	0.872818591	0.912128936	0.923980000	0.930224972	0.929556089
1ksf	40	d1	0.019355322	0.026326837	0.038870000	0.052122235	0.064247151	0.962533733	0.953763118	0.948670000	0.948005249	0.948890222
1ksf	41	d1	0.016326837	0.027736132	0.035960000	0.045065617	0.052333533	0.958395802	0.936506747	0.932690000	0.926857893	0.930125975
1ksf	42	d1	0.016926537	0.027946027	0.038880000	0.048515186	0.055668866	0.901844078	0.927946027	0.935910000	0.939763780	0.942099580
1ksf	43	d1	0.010000000	0.017991004	0.024610000	0.035901762	0.043461308	0.921004498	0.900944528	0.867920000	0.861676040	0.852135573
1ksf	44	d1	0.021394303	0.034812594	0.048200000	0.056876640	0.064121176	0.950689655	0.948905547	0.946350000	0.948455193	0.950713857
1ksf	45	d1	0.010000000	0.017886057	0.023390000	0.031402325	0.039112178	0.948740630	0.947751124	0.940680000	0.937124109	0.936112777
1ksf	46	d1	0.017646177	0.032803598	0.042980000	0.050509936	0.057276545	0.948260870	0.946416792	0.948470000	0.949880015	0.950257948
1ksf	47	d1	0.010000000	0.015637181	0.024030000	0.035114361	0.047084583	0.951049475	0.945367316	0.946300000	0.941721035	0.943113377
1ksf	48	d1	0.010000000	0.016776612	0.021180000	0.023385827	0.028338332	0.945652174	0.941124438	0.933380000	0.934169479	0.937126575
1ksf	49	d1	0.017646177	0.037811094	0.049480000	0.058248969	0.068380324	0.936596702	0.940704648	0.922580000	0.895016873	0.901343731
1ksf	50	d1	0.017466267	0.028365817	0.037700000	0.045778028	0.054505099	0.934317841	0.941079460	0.941600000	0.940476190	0.943437313
# pdbid	traj	d2	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1ksf	1	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.931949025	0.930974513	0.930650000	0.930487439	0.930389922
1ksf	2	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930000000	0.930000000	0.930000000	0.930000000
1ksf	3	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.808470765	0.808860570	0.808830000	0.809047619	0.808674265
1ksf	4	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930000000	0.930000000	0.930000000	0.930167966
1ksf	5	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930000000	0.930000000	0.930000000	0.930000000
1ksf	6	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930000000	0.930090000	0.930067492	0.930053989
1ksf	7	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930000000	0.930000000	0.930000000	0.930000000
1ksf	8	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.929940030	0.929810000	0.929880015	0.929904019
1ksf	9	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930269865	0.930180000	0.930622422	0.930497900
1ksf	10	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930014993	0.930160000	0.930119985	0.930095981
1ksf	11	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930000000	0.930200000	0.930367454	0.930353929
1ksf	12	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930000000	0.930000000	0.930000000	0.930089982
1ksf	13	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930000000	0.930000000	0.930000000	0.930005999
1ksf	14	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930104948	0.930430000	0.930322460	0.930479904
1ksf	15	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930929535	0.930464768	0.930310000	0.929587552	0.929670066
1ksf	16	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930000000	0.930000000	0.930000000	0.930000000
1ksf	17	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930089955	0.930209895	0.930140000	0.930104987	0.930083983
1ksf	18	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930104948	0.930070000	0.930052493	0.930059988
1ksf	19	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.810000000	0.808890555	0.811950000	0.811492313	0.813227355
1ksf	20	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.931049475	0.930524738	0.930350000	0.930374953	0.930377924
1ksf	21	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.811259370	0.810644678	0.811410000	0.812362205	0.811889622
1ksf	22	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930029985	0.930014993	0.930010000	0.930007499	0.930005999
1ksf	23	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.805592204	0.807526237	0.808230000	0.808455193	0.808764247
1ksf	24	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930689655	0.930674663	0.930450000	0.930337458	0.930269946
1ksf	25	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930000000	0.930150000	0.930434946	0.930521896
1ksf	26	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.929865067	0.929270000	0.929452568	0.929562088
1ksf	27	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.931439280	0.930884558	0.930590000	0.929760030	0.929808038
1ksf	28	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.931589205	0.930794603	0.930530000	0.930397450	0.930317936
1ksf	29	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.929310345	0.929655172	0.929770000	0.929827522	0.929862028
1ksf	30	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930000000	0.930170000	0.930127484	0.930101980
1ksf	31	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930000000	0.930000000	0.930000000	0.930000000
1ksf	32	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.812758621	0.811259370	0.810690000	0.809992501	0.809466107
1ksf	33	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.928950525	0.929475262	0.929650000	0.929835021	0.929868026
1ksf	34	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930000000	0.930000000	0.930000000	0.930000000
1ksf	35	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930329835	0.930164918	0.930680000	0.930802400	0.930977804
1ksf	36	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930000000	0.930000000	0.930000000	0.930000000
1ksf	37	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.928650675	0.929865067	0.929910000	0.929932508	0.929946011
1ksf	38	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930000000	0.930000000	0.930014998	0.929958008
1ksf	39	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930000000	0.930000000	0.929167604	0.929334133
1ksf	40	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930959520	0.930479760	0.930550000	0.930412448	0.930329934
1ksf	41	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.810569715	0.810239880	0.810370000	0.810292463	0.810233953
1ksf	42	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930000000	0.930000000	0.930000000	0.930000000
1ksf	43	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930059970	0.930029985	0.930020000	0.930029996	0.930023995
1ksf	44	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.929580210	0.929720000	0.929790026	0.929880024
1ksf	45	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930000000	0.930000000	0.930000000	0.929292142
1ksf	46	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930644678	0.930430000	0.930329959	0.930263947
1ksf	47	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930000000	0.930260000	0.930194976	0.930173965
1ksf	48	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930299850	0.930200000	0.930187477	0.930149970
1ksf	49	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930254873	0.930170000	0.930127484	0.930101980
1ksf	50	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930000000	0.930000000	0.929925009	0.929940012
# pdbid	traj	d3	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1ksf	1	d3	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.924602699	0.923913043	0.925510000	0.925470566	0.925428914
