# pdbid	traj	last100	last200	last300	last400	last500
1mzg	1	0.883976597	0.409861057	0.206051995	0.442201524	0.261696954
1mzg	2	-0.677890217	-1.734922531	-1.319761477	-0.666814841	-0.573052397
1mzg	3	0.933396297	-0.138234867	0.336747542	0.290430456	0.496167659
1mzg	4	-1.459769640	-0.579737072	-0.568587040	-0.175822955	-0.124279156
1mzg	5	0.058323966	0.076812193	-0.288803848	-0.153465622	-0.278052614
1mzg	6	0.817385652	1.212008466	1.002286045	0.659162503	0.532724035
1mzg	7	0.644256079	0.021634601	-0.185386222	0.305661305	0.225539607
1mzg	8	0.551045337	0.584942182	0.725035665	0.558779693	0.518637462
1mzg	9	-0.305038493	-0.103979115	-0.071195253	-0.274779758	0.077847569
1mzg	10	1.660102196	0.365125879	0.108340457	0.178613043	0.577624600
1mzg	11	-0.807251147	-0.602600221	-0.444889095	-0.025010613	0.038256739
1mzg	12	0.885847631	0.317544259	0.129915530	0.149601775	-0.096865938
1mzg	13	0.724140172	-0.126813918	-0.316717485	-0.139177027	-0.509478749
1mzg	14	0.431182054	0.625837495	0.553725790	0.386531817	0.116670391
1mzg	15	-0.078619093	0.227157702	0.143255383	0.242386884	0.125816379
1mzg	16	2.569475870	1.320486299	0.855735510	0.628238832	0.400642271
1mzg	17	1.058953411	-0.884251335	-0.800159498	-0.765297831	-0.453532857
1mzg	18	-0.647425885	-0.718648991	-0.765247083	-0.530727182	-0.391469874
1mzg	19	-0.759700787	-0.717736670	-0.620622763	-0.400390604	-0.286815260
1mzg	20	-0.335452429	-0.403707342	-0.437259012	0.015433232	-0.260551773
1mzg	21	-0.010144558	0.641096029	0.433204820	-0.105871777	-0.142917639
1mzg	22	-0.217520217	0.367980060	-0.118139545	0.163399561	0.082029939
1mzg	23	-0.740660225	-0.119191732	-0.470875450	-0.069239648	0.043598172
1mzg	24	-0.375415735	-0.184870191	-0.556545128	-0.431309927	-0.664408088
1mzg	25	-0.588467654	-1.074538849	-0.725295818	-0.442722627	-0.435253586
1mzg	26	-0.238430097	-0.429408046	-0.359858665	-0.571655261	-1.166850256
1mzg	27	1.131253981	0.710515692	0.808124092	0.532590840	0.471426006
1mzg	28	1.112224303	0.433631605	0.824007373	0.749079543	0.584864419
1mzg	29	0.537722204	1.232935073	0.924247098	0.658212025	0.748173723
1mzg	30	-1.617616402	-0.692970979	-0.834408348	-0.433203772	-0.932372221
1mzg	31	-0.554207429	0.097759370	-0.107337845	-0.175336909	-0.064505523
1mzg	32	0.840220495	1.249109678	1.020679615	1.111615090	0.619505710
1mzg	33	0.598619550	-0.568325512	-0.375076853	-0.490295799	-0.746240865
1mzg	34	-0.552348996	-1.250599374	-0.745615535	-0.711080885	-0.688778230
1mzg	35	0.701348006	0.072077529	0.183867052	-0.542155592	-0.224382671
1mzg	36	-0.826306214	-0.092562985	0.032222315	0.281866914	0.361427974
1mzg	37	-0.676000345	-0.671099783	-0.309103568	0.062539805	-0.002850393
1mzg	38	-2.770485945	-1.824370836	-1.369893197	-0.824296783	-0.668213564
1mzg	39	-1.377949633	-0.923251924	-0.425837348	-0.359464492	-0.424220822
1mzg	40	-1.796483891	-0.516953135	-0.338288843	-0.065442400	-0.013890987
1mzg	41	0.246666739	0.557347548	0.056965480	0.193373095	0.209931522
1mzg	42	-0.438188951	-0.822380427	-0.213934385	-0.465555030	-0.408611864
1mzg	43	-1.050772399	-0.701559078	-0.822376577	-0.049751234	0.194314906
1mzg	44	0.655660885	0.684844061	0.545480122	0.674852205	0.651474044
1mzg	45	1.163598786	1.144446337	1.140592402	1.159192276	1.238812008
1mzg	46	-0.504773478	-0.491257717	-0.606019102	-0.003593579	-0.155864929
1mzg	47	1.302436672	0.710527503	0.208592227	-0.087812405	-0.054619267
1mzg	48	-0.871906529	-0.569262325	-0.673883028	-0.456499931	-0.348071785
1mzg	49	-0.535198471	0.436507285	0.027154537	-0.031180823	-0.187456738
1mzg	50	0.199144753	-0.012614049	-0.687206053	-0.558323125	-0.397184821
