# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1naq	1	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.017546491	0.840854573	0.844422789	0.840930000	0.845973003	0.845866827
1naq	2	d1	0.010000000	0.010000000	0.014690000	0.028477690	0.034469106	0.851409295	0.852308846	0.846080000	0.843693288	0.842729454
1naq	3	d1	0.010000000	0.010000000	0.010000000	0.017394076	0.025044991	0.860044978	0.860569715	0.857880000	0.853082115	0.850431914
1naq	4	d1	0.010000000	0.010000000	0.010000000	0.015114361	0.025218956	0.839325337	0.842248876	0.842390000	0.845125609	0.847432513
1naq	5	d1	0.010000000	0.010000000	0.010000000	0.012174728	0.021193761	0.840404798	0.844632684	0.845120000	0.843535808	0.845194961
1naq	6	d1	0.010000000	0.010000000	0.010000000	0.012624672	0.022171566	0.852278861	0.853043478	0.850310000	0.851477315	0.851301740
1naq	7	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.013257349	0.639985007	0.632263868	0.633860000	0.635759280	0.636496701
1naq	8	d1	0.010000000	0.010000000	0.010000000	0.013322085	0.022357528	0.845052474	0.850494753	0.844950000	0.844158230	0.846076785
1naq	9	d1	0.010000000	0.010000000	0.010000000	0.010749906	0.019592082	0.841994003	0.845247376	0.843580000	0.844540682	0.847306539
1naq	10	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.847751124	0.837316342	0.843970000	0.846542932	0.844163167
1naq	11	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.778455772	0.795277361	0.797370000	0.798271466	0.797978404
1naq	12	d1	0.010000000	0.010000000	0.021310000	0.032242220	0.038392322	0.846431784	0.840929535	0.844460000	0.842913386	0.845530894
1naq	13	d1	0.010000000	0.010000000	0.010940000	0.021556055	0.030653869	0.844962519	0.842803598	0.843090000	0.842860892	0.843479304
1naq	14	d1	0.010000000	0.010000000	0.010000000	0.010502437	0.020305939	0.841964018	0.846206897	0.845010000	0.842853393	0.842783443
1naq	15	d1	0.010000000	0.010000000	0.019300000	0.027525309	0.034583083	0.835757121	0.841979010	0.845920000	0.846430446	0.846082783
1naq	16	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.011031794	0.840284858	0.838770615	0.841160000	0.844210724	0.845740852
1naq	17	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.012459508	0.844512744	0.848995502	0.847120000	0.848222722	0.846712657
1naq	18	d1	0.010000000	0.010000000	0.014320000	0.026992876	0.035596881	0.656536732	0.655547226	0.656440000	0.655721785	0.656898620
1naq	19	d1	0.010000000	0.010000000	0.010000000	0.018721410	0.026172765	0.844422789	0.846806597	0.848490000	0.848732658	0.846964607
1naq	20	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010719856	0.645232384	0.655067466	0.658780000	0.657806524	0.653095381
1naq	21	d1	0.010000000	0.010000000	0.010000000	0.012332208	0.022615477	0.848260870	0.849085457	0.849540000	0.849617548	0.849802040
1naq	22	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.845772114	0.839475262	0.841930000	0.840678665	0.843305339
1naq	23	d1	0.010000000	0.010000000	0.010000000	0.016141732	0.026406719	0.839325337	0.836221889	0.842840000	0.841818523	0.843467307
1naq	24	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.840014993	0.840659670	0.846650000	0.846587927	0.848638272
1naq	25	d1	0.010000000	0.010000000	0.010000000	0.016194226	0.025404919	0.657436282	0.658575712	0.654060000	0.646407949	0.642615477
1naq	26	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.011217756	0.837586207	0.843223388	0.843230000	0.847427822	0.847054589
