# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1oro	1	31.602211808	15.688601843	10.327214840	7.751233139	6.218271916	0.225578536	0.147789626	0.058483858	0.108097141	0.055264191
1oro	2	140.959847221	70.637302783	47.040066856	35.264180219	28.357450963	-0.189764122	0.103911629	0.098015853	0.154574674	0.186729302
1oro	3	158.341341708	157.579470936	157.104660736	156.292392503	155.786692042	0.357184926	0.042004170	-0.124903194	0.011576002	-0.004472554
1oro	4	85.087589636	42.428761176	28.464155003	21.365735084	17.137324228	-0.150274825	-0.003377359	-0.125453470	-0.119942013	-0.161502542
1oro	5	157.420705826	144.305277769	96.165523591	72.107517480	57.636699943	-0.106602467	-0.041755143	-0.037326330	-0.072180089	0.148017224
1oro	6	95.419478007	47.707061369	32.160610327	24.250983539	19.347241857	-0.215341622	0.190676786	0.147649332	0.191271756	0.052673106
1oro	7	158.605446321	126.593484020	84.495104954	63.476541073	50.921175580	1.110603998	1.347909800	1.497946812	1.202858402	1.039004586
1oro	8	76.018075044	67.206504265	63.977182147	62.219773523	61.463186116	1.187883571	0.601404201	0.460911708	0.341458154	0.422077386
1oro	9	110.662106936	55.862436536	37.769843771	28.613792102	23.063489618	-0.585195100	-0.200044987	0.057524421	0.003211441	-0.000020736
1oro	10	148.861350752	153.132435777	111.450112006	83.691737241	66.944694072	0.420905627	0.281374727	0.158064885	0.125613670	0.165811678
1oro	11	42.716699075	21.335772917	14.181574557	10.624979135	8.517382403	-0.149934055	0.156435677	0.116117444	0.298941423	0.221310509
1oro	12	157.878401523	133.200896966	88.805569661	66.518536506	53.132250218	-0.193392146	-0.217255243	-0.164956822	-0.114576005	-0.057132751
1oro	13	58.975560510	38.191247091	27.753105206	20.801078738	16.663749664	0.162298829	0.091985790	-0.059161961	0.020511772	0.015309678
1oro	14	69.811312586	34.946543829	23.251361151	17.506646449	13.902225333	0.498298000	0.180036592	0.007873910	-0.051685181	-0.061202381
1oro	15	80.214838378	40.795477844	27.430155774	20.621626281	16.567903378	0.227038187	0.880326188	0.915916276	0.857395640	0.736821101
1oro	16	150.233420344	82.618213612	55.097214176	41.267387057	33.049734530	-0.095416026	-0.240415404	-0.230542090	-0.237573905	-0.292087922
1oro	17	154.961594432	94.533896408	63.059020733	47.195949831	37.702774265	0.197080778	-0.122701698	0.139654823	0.248131288	0.160192860
1oro	18	118.842602466	59.534734306	39.840736449	30.173894865	24.145907758	0.000514611	-0.047756810	-0.048442958	-0.128396272	-0.143013740
1oro	19	0.875502605	0.546021168	0.531369443	0.323985754	0.226632920	-0.033330132	-0.248707884	-0.112857815	0.031193567	0.011524861
1oro	20	98.755715402	49.301902234	32.865691090	24.634989280	19.715111091	0.397994715	0.099036004	0.000674838	-0.125456165	-0.140708793
1oro	21	150.505857546	110.159733112	73.541144429	55.076192541	44.000928776	-0.357384702	-0.392363975	-0.305871037	-0.249662004	-0.248507354
1oro	22	150.324205088	97.232668043	65.417480600	49.253295277	39.748808851	0.609127353	0.907305272	0.678042985	0.622172919	0.650546615
1oro	23	22.773301649	11.256478393	7.499824929	5.680337897	4.476084065	0.101724322	0.005239153	-0.077446326	-0.113134388	-0.144574151
1oro	24	50.783065941	25.422785366	16.974546427	12.676123723	10.134995180	0.922409596	0.374051242	0.075475263	0.019864157	-0.024166880
1oro	25	151.787560688	152.631417094	106.360283710	79.827600800	63.865635172	0.080327167	0.346449745	0.469006480	0.402378573	0.233332416
1oro	26	31.813197250	15.823739683	10.459488173	7.893923530	6.343707465	-0.032392407	0.236633706	0.015492618	0.101000476	0.118140738
1oro	27	30.282289935	15.197595045	10.993331189	9.605965492	9.454160189	-0.283280904	-0.297561259	-0.261814523	-0.113910324	-0.111645629
1oro	28	154.832060665	131.512399697	87.658720765	65.733911746	52.616195509	0.006059832	-0.152331929	-0.074315824	-0.036487437	0.010888949
1oro	29	44.683711583	23.584705923	16.495484680	12.936586349	10.826200418	0.278081112	-0.041102718	-0.015478563	0.061335722	-0.008502398
1oro	30	142.631241450	104.155975345	69.405716919	52.003709746	41.583154599	-0.308165078	-0.206701396	-0.237242964	-0.073504008	-0.055777889
1oro	31	40.160433799	20.441892774	13.637629586	10.192149460	8.155296099	0.047267807	0.085816416	0.066837164	0.060026487	0.071668505
1oro	32	108.396150894	54.336950786	36.717335875	27.605474527	22.009782163	0.105243954	-0.008055057	-0.053458310	-0.077008814	-0.081477977
1oro	33	159.340050470	155.880750316	134.814992614	101.064569599	80.803316469	-0.069102204	-0.102323520	0.006792673	-0.027661256	-0.049213370
1oro	34	150.311657408	114.985544706	77.043161957	57.780553495	46.214323206	-0.510704572	-0.345127578	-0.267658797	-0.131653538	-0.143469984
1oro	35	81.471186458	70.044616394	65.705622964	63.825675178	62.474294468	-0.447571284	-0.033897841	0.019292492	-0.006945070	-0.018612128
1oro	36	32.463720332	17.572537014	13.023592625	9.717918451	7.742867418	0.349747330	0.106277341	0.364690448	0.214314760	0.130137290
1oro	37	114.237258923	57.020097103	37.810374198	28.380840848	22.688365907	-0.178814734	0.048534778	0.300410318	0.168963186	0.092369871
1oro	38	1.278277080	0.588767783	0.376679742	0.462097310	0.379324656	0.201482770	-0.036085426	-0.160782235	-0.108192572	-0.121843876
1oro	39	149.888615636	148.758554621	105.847320840	79.266448120	63.392608261	0.198063369	0.318433285	0.182923403	0.263960734	0.153922908
1oro	40	132.258857041	66.314285730	44.276165061	33.109997181	26.553899652	0.512463896	0.037874946	0.080870225	0.131457686	0.122566859
1oro	41	162.192257810	141.127876084	93.983231231	70.502974057	56.385054583	-0.298249445	-0.152152582	-0.109560881	-0.136309920	-0.177380001
1oro	42	45.388000091	23.757111706	15.766658108	11.693284433	9.396700564	0.263112841	0.153456465	-0.056719600	0.087421822	0.077673547
1oro	43	50.211943114	25.179167839	16.869404610	12.736439215	10.166700738	-0.412377504	0.070056102	0.130303317	0.112674771	0.053251920
1oro	44	83.278982741	41.638139780	27.714232654	20.715791906	16.692810403	-0.014565461	-0.056054369	-0.126579463	-0.091463976	-0.102039568
1oro	45	59.418780802	29.865872803	19.960035776	14.956980705	11.995717240	-0.435583088	-0.026533207	-0.025137556	-0.015774300	-0.064378860
1oro	46	136.680624314	78.686867778	53.221051347	39.935538106	32.067938580	0.508913030	0.422847510	0.551879624	0.372893662	0.388815493
1oro	47	142.806392719	76.593596565	51.127766029	38.432044206	30.743065817	0.560483400	0.453227350	0.332862900	0.403886089	0.359449463
1oro	48	62.961463305	31.738700043	21.005816803	15.723025953	12.544466005	0.486669172	0.300765209	0.231652574	0.076085357	0.055867836
1oro	49	152.211007411	79.621290476	53.272593117	40.120427023	32.127348063	0.223586305	0.172755657	0.119478131	0.004280031	-0.071603220
1oro	50	131.862304375	65.877946008	43.729056190	32.813200705	26.317828097	0.256313718	0.249615180	0.177228879	0.210590308	0.128569370
