# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1pmo	1	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.904152924	0.900749625	0.900920000	0.899366329	0.899748050
1pmo	2	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.905022489	0.902443778	0.899240000	0.898788901	0.899574085
1pmo	3	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.011949610	0.815517241	0.818530735	0.818330000	0.818998875	0.819544091
1pmo	4	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.904962519	0.903088456	0.901810000	0.901046119	0.900581884
1pmo	5	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.899295352	0.898680660	0.898800000	0.899681290	0.899790042
1pmo	6	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.850119940	0.852548726	0.853010000	0.853757030	0.853203359
1pmo	7	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.896266867	0.898725637	0.900010000	0.898241470	0.898404319
1pmo	8	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.898365817	0.895697151	0.895670000	0.896771654	0.897048590
1pmo	9	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.899835082	0.899760120	0.899500000	0.898788901	0.899688062
1pmo	10	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.896896552	0.901514243	0.900790000	0.900513686	0.899814037
1pmo	11	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.900794603	0.898155922	0.899660000	0.899748781	0.899934013
1pmo	12	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.902713643	0.902518741	0.902990000	0.903228346	0.901835633
1pmo	13	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.896206897	0.897046477	0.899450000	0.898091489	0.897102579
1pmo	14	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.873178411	0.872953523	0.873190000	0.873179603	0.873287343
1pmo	15	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.011961608	0.816956522	0.817811094	0.818170000	0.816876640	0.816220756
1pmo	16	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.801664168	0.805637181	0.805180000	0.805193101	0.805584883
1pmo	17	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.903103448	0.904272864	0.901910000	0.901668541	0.900191962
1pmo	18	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.898695652	0.900419790	0.900810000	0.899396325	0.899742052
1pmo	19	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.899895052	0.902173913	0.899500000	0.896951631	0.897888422
1pmo	20	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.899205397	0.900449775	0.900500000	0.899936258	0.899706059
1pmo	21	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.899505247	0.899490255	0.898920000	0.898263967	0.898374325
1pmo	22	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.896686657	0.895577211	0.894280000	0.895099363	0.895722855
1pmo	23	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.873658171	0.872413793	0.873600000	0.872819648	0.873497301
1pmo	24	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010167966	0.904932534	0.899445277	0.898380000	0.898496438	0.898824235
1pmo	25	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.896326837	0.899865067	0.900540000	0.900836145	0.899100180
1pmo	26	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.906341829	0.903613193	0.901030000	0.900701162	0.900449910
1pmo	27	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010275945	0.898635682	0.897451274	0.898690000	0.898068991	0.899406119
1pmo	28	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010647870	0.801094453	0.800494753	0.801550000	0.801203600	0.800455909
1pmo	29	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.900434783	0.900944528	0.900650000	0.899388826	0.898542292
1pmo	30	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.894437781	0.895607196	0.896670000	0.899846269	0.899568086
1pmo	31	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.818665667	0.817256372	0.816740000	0.818166479	0.819268146
1pmo	32	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.905832084	0.902368816	0.901700000	0.901203600	0.900905819
1pmo	33	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010533893	0.902353823	0.902143928	0.902540000	0.902493438	0.901805639
1pmo	34	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.897766117	0.901589205	0.900980000	0.900858643	0.899946011
1pmo	35	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.896146927	0.895802099	0.898330000	0.899651294	0.901013797
1pmo	36	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.905652174	0.902113943	0.899410000	0.899126359	0.900233953
1pmo	37	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.903403298	0.899430285	0.899330000	0.899156355	0.899610078
1pmo	38	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.903703148	0.904557721	0.903700000	0.902193476	0.902645471
1pmo	39	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.888560720	0.893808096	0.896710000	0.895571804	0.896244751
1pmo	40	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.901634183	0.901589205	0.901990000	0.901638545	0.901877624
1pmo	41	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.896626687	0.897751124	0.899670000	0.899163855	0.898146371
1pmo	42	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.906971514	0.903568216	0.903460000	0.901736033	0.900929814
1pmo	43	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.902833583	0.904557721	0.903950000	0.903723285	0.903149370
1pmo	44	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.897286357	0.897151424	0.896780000	0.897776528	0.897360528
1pmo	45	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.901724138	0.898605697	0.899660000	0.899636295	0.899910018
1pmo	46	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.897406297	0.897196402	0.899890000	0.900078740	0.899784043
1pmo	47	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.896026987	0.900959520	0.902870000	0.903295838	0.902183563
1pmo	48	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.902953523	0.901349325	0.899900000	0.899351331	0.899064187
1pmo	49	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.902983508	0.899520240	0.899030000	0.899628796	0.900131974
1pmo	50	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.900734633	0.899250375	0.899470000	0.901053618	0.901931614
