# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1psu	1	d1	0.010000000	0.010000000	0.011460000	0.016096738	0.019130174	0.887301349	0.888200900	0.888800000	0.889190101	0.889052190
1psu	2	d1	0.010000000	0.012458771	0.018300000	0.023535808	0.028620276	0.890449775	0.890224888	0.890150000	0.889797525	0.889772046
1psu	3	d1	0.012848576	0.021424288	0.024280000	0.027600300	0.032087582	0.890000000	0.889850075	0.889630000	0.889812523	0.889508098
1psu	4	d1	0.010000000	0.015007496	0.020000000	0.026340457	0.031073785	0.890269865	0.889925037	0.889470000	0.889677540	0.889412118
1psu	5	d1	0.010000000	0.010000000	0.010830000	0.015564304	0.018452310	0.890000000	0.889970015	0.889980000	0.890329959	0.890000000
1psu	6	d1	0.010000000	0.016686657	0.021120000	0.024548181	0.030545891	0.890000000	0.889925037	0.889940000	0.890337458	0.890077984
1psu	7	d1	0.010000000	0.011949025	0.017450000	0.020588676	0.022471506	0.890509745	0.890314843	0.889530000	0.889647544	0.889244151
1psu	8	d1	0.010000000	0.010000000	0.011490000	0.016119235	0.019208158	0.888260870	0.887916042	0.887590000	0.888125234	0.888500300
1psu	9	d1	0.010000000	0.014182909	0.019450000	0.022088489	0.024361128	0.888050975	0.889040480	0.889010000	0.889655043	0.889742052
1psu	10	d1	0.010000000	0.010839580	0.016070000	0.019553806	0.021643671	0.889970015	0.889940030	0.890100000	0.890052493	0.890035993
1psu	11	d1	0.017466267	0.023733133	0.025820000	0.026865392	0.030497900	0.889910045	0.889610195	0.889630000	0.889377578	0.889502100
1psu	12	d1	0.010000000	0.010000000	0.012210000	0.016659168	0.019328134	0.887091454	0.888365817	0.889160000	0.889430071	0.889592082
1psu	13	d1	0.010000000	0.010000000	0.016520000	0.019891264	0.024043191	0.890000000	0.890314843	0.888930000	0.889527559	0.889538092
1psu	14	d1	0.010000000	0.015292354	0.020190000	0.024285714	0.029316137	0.890000000	0.890000000	0.889880000	0.889715036	0.889466107
1psu	15	d1	0.010000000	0.016011994	0.020670000	0.026062992	0.032465507	0.886491754	0.888200900	0.888800000	0.889025122	0.889220156
1psu	16	d1	0.010000000	0.010000000	0.013880000	0.017911511	0.020329934	0.890119940	0.889145427	0.889490000	0.889512561	0.889508098
1psu	17	d1	0.010000000	0.011589205	0.017720000	0.020791151	0.022633473	0.888320840	0.889160420	0.889090000	0.889325084	0.889316137
1psu	18	d1	0.010059970	0.017526237	0.021680000	0.026992876	0.031595681	0.887061469	0.888185907	0.888920000	0.889190101	0.888854229
1psu	19	d1	0.013508246	0.021754123	0.024500000	0.025943007	0.029712058	0.890000000	0.890809595	0.890320000	0.890509936	0.890323935
1psu	20	d1	0.010000000	0.010000000	0.015100000	0.018826397	0.021061788	0.883643178	0.884632684	0.886290000	0.887217848	0.887774445
1psu	21	d1	0.010000000	0.012323838	0.018210000	0.021158605	0.022927415	0.890000000	0.889940030	0.889960000	0.889940007	0.890000000
1psu	22	d1	0.010000000	0.010000000	0.016260000	0.019696288	0.026274745	0.890000000	0.889655172	0.889770000	0.889085114	0.889268146
1psu	23	d1	0.010000000	0.010000000	0.012010000	0.016509186	0.019208158	0.887421289	0.888560720	0.888120000	0.888492688	0.888794241
1psu	24	d1	0.010000000	0.010000000	0.010980000	0.015736783	0.018590282	0.890000000	0.889160420	0.889410000	0.889497563	0.889598080
1psu	25	d1	0.010000000	0.010000000	0.011940000	0.017506562	0.022951410	0.888380810	0.887631184	0.888350000	0.888597675	0.888878224
1psu	26	d1	0.010000000	0.010000000	0.012560000	0.016921635	0.019538092	0.891769115	0.889550225	0.890050000	0.890389951	0.890233953
1psu	27	d1	0.010000000	0.010000000	0.010750000	0.015564304	0.019418116	0.889370315	0.888725637	0.888990000	0.889242595	0.889796041
1psu	28	d1	0.010000000	0.016851574	0.021230000	0.024938133	0.035188962	0.889280360	0.888935532	0.889290000	0.889092613	0.889298140
1psu	29	d1	0.010000000	0.010000000	0.015210000	0.018908886	0.024433113	0.891019490	0.890149925	0.890000000	0.890000000	0.889652070
1psu	30	d1	0.010000000	0.010000000	0.010470000	0.015354331	0.018284343	0.889850075	0.889925037	0.889700000	0.890134983	0.890065987
1psu	31	d1	0.012728636	0.021019490	0.027280000	0.042815898	0.051187762	0.890000000	0.889550225	0.889340000	0.889505062	0.889760048
1psu	32	d1	0.010000000	0.010000000	0.010000000	0.014274466	0.017420516	0.890000000	0.890044978	0.889800000	0.889715036	0.889772046
1psu	33	d1	0.010000000	0.018245877	0.022780000	0.027825272	0.032051590	0.890000000	0.889445277	0.889680000	0.889257593	0.889454109
1psu	34	d1	0.010000000	0.012758621	0.018500000	0.021376078	0.025242951	0.890000000	0.889775112	0.889850000	0.889827522	0.890185963
1psu	35	d1	0.010000000	0.012533733	0.018350000	0.021263592	0.023011398	0.886791604	0.888410795	0.887780000	0.888057743	0.888458308
1psu	36	d1	0.010000000	0.010000000	0.011820000	0.016366704	0.019094181	0.889100450	0.889445277	0.889630000	0.889610049	0.889688062
1psu	37	d1	0.010000000	0.010000000	0.014830000	0.018623922	0.021841632	0.889130435	0.889505247	0.889670000	0.889145107	0.888956209
1psu	38	d1	0.010000000	0.010000000	0.010410000	0.015309336	0.018248350	0.889850075	0.890029985	0.889590000	0.889167604	0.889334133
1psu	39	d1	0.010000000	0.019415292	0.022940000	0.027397825	0.030413917	0.890149925	0.890089955	0.889630000	0.889677540	0.889742052
1psu	40	d1	0.010000000	0.017541229	0.021690000	0.024630671	0.029586083	0.890689655	0.890329835	0.890220000	0.890104987	0.889952010
1psu	41	d1	0.010000000	0.016176912	0.020780000	0.023085864	0.025548890	0.890000000	0.890659670	0.890340000	0.890254968	0.890287942
1psu	42	d1	0.010000000	0.014722639	0.019810000	0.022620922	0.032177564	0.890000000	0.889970015	0.889880000	0.889910011	0.889916017
1psu	43	d1	0.010000000	0.019445277	0.022960000	0.024743157	0.026904619	0.890029985	0.889940030	0.889960000	0.889970004	0.889832034
1psu	44	d1	0.010000000	0.010000000	0.012190000	0.016644169	0.020293941	0.890869565	0.890434783	0.890570000	0.890389951	0.890179964
1psu	45	d1	0.010000000	0.010000000	0.015390000	0.019658793	0.025248950	0.889940030	0.889865067	0.890110000	0.889977503	0.889352130
1psu	46	d1	0.014587706	0.022293853	0.024860000	0.026145482	0.028776245	0.889610195	0.889805097	0.889710000	0.889715036	0.889772046
1psu	47	d1	0.010000000	0.016491754	0.020990000	0.023243345	0.026886623	0.890179910	0.889685157	0.889670000	0.890224972	0.890179964
1psu	48	d1	0.010000000	0.011244378	0.017490000	0.020618673	0.024391122	0.890059970	0.890089955	0.890060000	0.890772403	0.890839832
1psu	49	d1	0.010000000	0.010000000	0.014790000	0.018593926	0.021571686	0.889550225	0.889715142	0.889810000	0.889857518	0.889754049
1psu	50	d1	0.010000000	0.013193403	0.018790000	0.023010874	0.028272346	0.887091454	0.888545727	0.888560000	0.888920135	0.889136173
