# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1q5x	1	13.441207724	6.676223561	4.243691101	3.310434187	2.889901095	-0.199421934	-0.098108498	-0.084419906	-0.108694870	-0.433828232
1q5x	2	5.660707227	4.398136247	4.483329039	4.763096227	4.754427431	-0.994540111	-0.614943797	-0.614238869	-0.416143515	-0.186051466
1q5x	3	26.526588722	13.388589466	9.479242547	7.115826742	5.495459495	0.510951626	0.077624640	0.179686581	0.628723739	0.211101898
1q5x	4	10.705293892	5.153197013	2.967047269	2.605567113	1.923668948	-0.889783772	-0.433605417	-0.180663254	-0.162253450	0.221847092
1q5x	5	7.046690602	3.537723258	2.433148454	1.723103247	1.153622583	-0.323781308	-0.483093833	-0.298089700	-0.231035569	-0.022319522
1q5x	6	12.348468065	6.364565045	4.390512818	3.464702992	2.712707391	-0.339039761	-0.357141245	-0.199510170	-0.034340232	0.010030043
1q5x	7	36.939018601	17.784288132	12.086310347	8.895718994	7.107186613	0.144318310	0.352168310	-0.025438280	0.061255366	0.123720070
1q5x	8	1.828727441	1.301728921	0.905591180	0.572239762	0.408337936	-0.163021005	-0.180161303	-0.406344691	-0.446937293	-0.344157160
1q5x	9	28.221538695	14.245408330	9.685918778	7.084316279	5.953818150	-1.289224478	-1.025293506	-0.944987241	-0.924937474	-0.571674280
1q5x	10	11.419994095	6.034092551	3.812656435	2.651143915	2.220561344	-0.163566949	-0.628151189	-0.523863342	-0.214944141	-0.246051104
1q5x	11	16.375681527	7.832463572	5.140796227	3.761358044	3.239128490	-0.792404873	-0.043736447	0.025320221	-0.110484819	0.078629888
1q5x	12	32.790584158	19.186135793	12.208175147	9.167208104	7.103572323	-0.520607446	-0.049657917	-0.167718343	-0.119649988	-0.309775919
1q5x	13	2.375702349	1.111660993	0.296357273	0.290637817	0.073047590	0.720119407	-0.072101669	0.206361349	-0.123261581	-0.184854188
1q5x	14	28.087518932	16.854041444	12.902869749	10.513126471	9.992974759	0.384789398	0.504877818	0.355998877	0.047762241	0.012482704
1q5x	15	32.633721817	16.306038018	10.820915186	8.134759164	6.497885407	0.143811683	0.403223886	0.564364077	0.348709377	0.508074502
1q5x	16	13.663357578	7.132336483	4.246350385	3.202227493	2.399655348	-0.052437033	0.326409990	0.027685709	0.196167630	0.159048997
1q5x	17	19.158379404	9.191030472	6.030676406	4.529245053	3.284405829	-1.236885261	-0.428803000	-0.132636795	-0.257010311	-0.019665574
1q5x	18	39.766369329	36.190932538	25.575300534	20.012857426	16.853190679	-0.401843936	-0.006625999	-0.196009368	-0.131761358	0.028498787
1q5x	19	6.718063498	3.023992095	2.114139996	1.576615348	1.188248434	1.064977940	0.473211680	0.298752131	0.159198367	0.243539084
1q5x	20	10.037021334	6.425597156	6.398930245	5.990283277	5.768187273	0.860737974	0.558876424	0.403148203	0.321821943	0.374633166
1q5x	21	2.666502435	1.462118232	0.599459279	0.292439854	0.069557048	-0.139578523	0.195197180	0.088102783	0.191531104	0.117515945
1q5x	22	109.580613701	109.123423856	107.159879692	97.751733469	92.116528883	3.169937920	2.328046639	2.668739372	2.839172398	2.800855864
1q5x	23	37.606838977	19.014987369	12.527715709	9.094041973	6.953936113	1.320551189	0.782711193	0.574365921	0.266243947	0.576973072
1q5x	24	25.524404430	12.430868284	8.046250015	5.853481322	4.837208266	-0.137809357	0.288280776	-0.052383221	0.241531662	0.402639166
