# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1rqj	1	31.898125798	15.939534230	10.826054535	8.155113670	6.485308678	-0.295093571	-0.153639888	0.046976739	0.066287991	-0.023526745
1rqj	2	20.890661142	10.368614039	6.939309663	5.170537564	4.154531068	-0.621298102	-0.263406551	-0.262665353	-0.142008790	-0.274691014
1rqj	3	5.241330837	2.370813853	1.913240607	1.338831741	1.188010340	-0.228108315	-0.312026639	0.015582896	0.012510264	0.010478634
1rqj	4	56.322775737	28.011651064	18.530771936	13.949610157	11.297078224	-0.710400825	-0.554960634	-0.459408422	-0.339431978	-0.217078358
1rqj	5	14.676832455	7.276115856	4.998368683	3.805307491	2.908955488	0.062508007	0.430287161	0.124661330	0.242577075	0.293916074
1rqj	6	94.549886385	54.547685582	36.239694115	27.222259993	21.846510664	0.260215560	0.448564950	0.358454616	0.276067847	0.234181070
1rqj	7	55.731354641	27.897484676	18.860196903	14.207840563	11.476673164	-0.171761958	0.247751749	-0.188728321	0.055586166	0.203429766
1rqj	8	123.980655229	102.950077194	74.589456886	55.973744539	44.819633184	-0.487037463	-0.059907012	-0.123574716	-0.105650062	-0.145071166
1rqj	9	5.850633669	2.605644586	1.862455487	1.491317530	1.143855827	0.312724981	-0.019063217	0.020826729	0.025582464	-0.148685966
1rqj	10	114.976868420	98.959289954	67.427041142	50.647170851	40.568532824	0.279639207	0.113575570	0.366524092	0.285991515	0.248996879
1rqj	11	99.158782072	50.054424666	33.724684966	25.587296417	20.788742081	0.121684248	0.395229598	0.156000577	0.165185949	-0.014626208
1rqj	12	10.203678581	4.740902362	3.077381292	2.449186267	2.061210313	-0.396249013	0.031918057	-0.069825815	-0.124315250	-0.057000828
1rqj	13	18.532258710	9.152494055	6.341680575	4.704491104	3.661611001	-0.017908066	0.284591786	0.163875026	0.019259249	0.043651363
1rqj	14	17.244955212	8.097027148	5.483131066	4.000053826	3.304778634	0.518734873	-0.072600763	0.011659921	-0.064610419	0.015927143
1rqj	15	17.247081882	8.577872358	5.896990677	4.424532585	3.539663367	0.276071674	-0.121735977	-0.259595310	-0.291917681	-0.213242141
1rqj	16	22.886653253	11.290800511	7.482710210	5.679922988	4.643565815	0.150605292	0.043207938	0.213362112	0.188559231	0.125839766
1rqj	17	40.293529075	20.481643868	13.859335043	10.398672335	8.187103578	-0.437466496	-0.039310888	-0.065399361	0.072910902	0.150977815
1rqj	18	6.139995291	2.775968725	1.992896692	1.535343989	1.330880654	0.482177120	0.222231017	0.171924251	0.161345986	0.123921560
1rqj	19	6.548690969	3.210161411	2.118189943	1.890570251	1.541025409	-0.612483115	-0.423496493	-0.487431521	-0.257192401	-0.205737949
1rqj	20	21.379745042	10.916084946	7.211459527	5.216091934	4.269754780	0.133001511	-0.058062871	-0.094257690	-0.151048599	-0.208098339
1rqj	21	10.450249787	5.524339195	3.693351245	2.882191186	2.137993436	0.594229031	0.384054394	0.260231016	0.210464595	0.090910101
1rqj	22	20.803100693	10.425821383	7.088506811	5.308477533	4.154805475	-0.154014774	0.017547929	0.245901118	0.133085220	0.165004998
1rqj	23	47.489386664	23.983495034	16.052490399	12.130974191	9.713683056	0.028615825	0.232431720	0.391117632	0.182661392	0.245402140
1rqj	24	112.032873582	88.301407636	58.695467277	44.002776047	35.128220246	-0.603411734	-0.388108198	0.087315513	0.225126893	0.141814702
1rqj	25	10.343081025	5.762731975	4.033956643	3.096507489	2.616846580	-0.579294670	-0.295330813	-0.285001295	-0.125231816	-0.205451837
1rqj	26	31.624074466	15.591743080	10.509502014	7.733983063	6.009245620	0.155165181	-0.038773053	0.369300528	0.170786636	0.258805310
1rqj	27	0.342947146	0.110467452	-0.146424441	-0.185135024	-0.194082750	0.553751262	0.532744987	0.389226712	0.231404152	0.104713142
1rqj	28	32.273044131	16.212990702	10.659086896	7.944709674	6.466936706	-0.509349904	-0.654346329	-0.510679006	-0.381388833	-0.323878309
1rqj	29	11.233039688	5.542621120	3.674317272	2.854674668	2.349037672	-0.189139268	-0.058385855	-0.002054241	-0.040986922	-0.078878708
1rqj	30	22.996692831	11.785534402	7.649164343	5.814324219	4.601642663	0.455060408	0.275777142	0.351633293	0.150752830	0.198019557
1rqj	31	20.568425176	9.831954601	6.440505465	5.011298042	4.042685402	-0.798331233	-0.068170428	-0.031634360	-0.148966673	-0.190203820
1rqj	32	30.636406411	15.438638527	10.392257419	7.688405086	6.014068597	0.376999775	0.546847444	0.085490613	0.081638911	0.032127163
1rqj	33	6.019509813	2.753336934	1.777307804	1.440426578	1.193393395	0.004270413	0.222016727	0.061970074	0.184134823	0.088278738
1rqj	34	110.783208130	56.167544131	37.540685108	28.284228627	22.644136218	-0.015567799	0.111945784	-0.098536088	-0.224485700	-0.141877499
1rqj	35	12.037013963	5.805053102	3.949727823	2.845653689	2.183592733	1.520021137	1.048617937	0.978514126	0.752193338	0.589137456
1rqj	36	25.054693632	12.721992065	8.684558524	6.393962551	5.127053905	-0.258360019	-0.359089186	-0.214479815	-0.028952557	0.155643793
1rqj	37	9.126207332	4.120284244	2.724475909	2.068588617	1.546151261	-0.263847845	0.068911505	0.012821365	-0.034309035	-0.098258964
1rqj	38	69.587592658	34.704206454	23.241582812	17.382872080	13.954881076	0.465870852	-0.175469892	-0.108961173	-0.247743387	-0.210277044
1rqj	39	53.281529240	26.507112384	17.621162288	13.445246449	10.748739511	-0.674310949	-0.038898513	-0.085411328	0.001063482	-0.018200381
1rqj	40	109.377140778	55.067488728	36.876119220	27.923022282	22.578206767	-0.354085385	-0.248965698	-0.115556236	-0.127635840	-0.201591223
1rqj	41	4.066386708	1.980428844	1.264171474	1.080890661	0.824912328	0.128355266	-0.006355181	0.169783411	0.272512371	0.082404384
1rqj	42	42.256073946	21.381931424	14.086310142	10.688412904	8.417325346	-0.056915411	0.001522816	-0.013246315	0.010889988	-0.025813133
1rqj	43	36.912326505	18.373775756	12.198170890	9.280611905	7.316246867	0.272407202	0.788969551	0.815563504	0.571902255	0.594617948
1rqj	44	153.246233533	79.436120747	52.980062702	39.689012455	31.680015018	0.230834291	0.249388657	0.594158517	0.395560882	0.183481918
1rqj	45	55.238191002	27.558339236	18.786296791	14.234147847	11.274402086	-0.109777211	-0.094205289	-0.170610381	-0.171581987	-0.011389043
1rqj	46	29.166185855	14.692161890	9.678422770	7.118848958	5.957845145	-0.169247332	-0.118800131	-0.285956200	-0.061446631	0.018625667
1rqj	47	7.940026231	4.336706855	2.970137273	2.223224082	1.781604954	-0.254455676	-0.422891713	-0.344150007	-0.281066824	-0.178778153
