# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1sg5	1	0.414603685	0.418092766	0.378604011	0.244317221	0.205381044	-0.664272359	-0.534197049	-0.392299314	-0.091012080	-0.029977232
1sg5	2	0.535505864	0.268112364	0.525758734	0.482327343	0.395623072	0.069789795	-0.106386502	0.090398357	-0.079394525	-0.066597839
1sg5	3	-0.339616975	-0.119785055	-0.047209568	-0.012445589	-0.044234623	-0.437744448	0.016677043	0.005556863	0.115024025	-0.087542448
1sg5	4	0.272405426	0.289079290	-0.016665840	-0.101618531	-0.064712376	-0.680920602	-0.921721593	-0.439552136	-0.470110773	-0.139231892
1sg5	5	-0.361534751	-0.191799395	0.188651714	0.208559106	0.074962413	0.354241322	-0.094025831	0.001353568	-0.068872327	-0.219128983
1sg5	6	0.126946330	0.006509447	-0.335172443	-0.277368998	-0.203808408	0.821681310	0.597832412	0.167630475	0.199038714	0.003203115
1sg5	7	0.398518368	-0.031244079	-0.061585822	0.025676449	-0.149530881	0.980873471	0.716924691	0.477952135	0.564020329	0.319461143
1sg5	8	0.550613093	0.342786246	0.339972139	0.142625261	0.046229525	-0.462849242	-0.105355978	-0.026979174	0.142535048	0.145754454
1sg5	9	0.482656036	0.273989191	0.080522551	-0.058943254	0.223759488	-0.150215964	0.171887232	0.276159096	0.393690449	0.364629186
1sg5	10	0.198816100	0.230820390	0.049004541	0.147501151	0.147928032	0.434112431	0.364616031	0.174183150	0.098495361	0.036049443
1sg5	11	0.512331105	0.342576312	0.568557961	0.343088691	0.194831554	0.223406391	-0.464160356	-0.322540777	-0.136562895	-0.106866650
1sg5	12	0.847467463	0.350602366	0.308406279	0.322667292	0.202461604	-0.522676461	0.265818914	0.107483934	0.030721094	-0.060617451
1sg5	13	-0.001389750	0.167988879	0.208323553	0.269026387	0.420852467	-0.035263353	-0.150688906	-0.017125450	0.007883392	-0.201377216
1sg5	14	0.320722135	0.107546123	-0.105603148	-0.180685370	-0.145007305	-0.063403771	0.049895660	-0.176984513	-0.066439922	0.012698799
1sg5	15	-0.178811563	-0.247686512	-0.455840688	-0.377469432	-0.256211313	0.254720592	-0.385861870	-0.151180750	-0.115233846	-0.145981521
1sg5	16	-0.357422087	-0.530167932	-0.408574297	-0.298860572	-0.288674397	0.291402306	0.110135143	-0.055319386	0.042109140	0.086382481
1sg5	17	-0.785079422	-0.496104539	-0.387772327	-0.307836484	0.039559344	-0.578974415	-0.130389568	0.023473424	-0.044868019	0.034000013
1sg5	18	0.134532073	-0.036072883	0.121713814	-0.096920535	-0.146646178	1.032010078	0.764697564	0.599938067	0.571097038	0.500481720
1sg5	19	0.124801715	0.045242353	-0.187647232	-0.121031715	0.032747251	-0.340972701	-0.300086529	-0.088206143	-0.025398347	0.118498340
1sg5	20	0.430810481	0.272151325	0.198574355	0.245629072	0.318439847	-0.087604332	0.003053672	-0.058497729	-0.101721136	-0.273811856
1sg5	21	2.045771261	0.775646647	0.517099119	0.474402659	0.593157650	-0.514431300	-0.009817859	-0.266878348	-0.337917797	-0.312748866
1sg5	22	0.341667402	-0.108911227	-0.103780059	-0.106978309	-0.212965126	-0.088009003	-0.297018159	-0.420523320	-0.333401964	-0.228794780
1sg5	23	0.500269764	0.416470614	0.246441041	0.299008900	0.312520437	0.805071649	0.350856718	0.067086244	0.048448810	0.020694589
1sg5	24	0.550613080	0.175848097	0.385319810	0.501545053	0.668583583	-0.197202380	-0.156066485	0.131688446	0.011312072	0.307781412
1sg5	25	0.574933144	0.331740597	0.296248970	0.247657292	0.037104612	0.070836842	0.052146884	0.161731114	0.074174377	-0.004547918
1sg5	26	0.165809941	-0.155245021	0.061774314	0.002994356	0.016092307	0.494430985	0.067758178	0.202743083	0.203639488	0.057530043
1sg5	27	0.226044152	0.105133213	0.040765772	0.105547128	0.146976796	0.161029999	0.253948298	0.050552581	0.033710606	0.012330098
1sg5	28	-0.099554758	0.088701729	0.045897841	-0.133997083	-0.166539738	0.187495828	0.396647627	0.144122967	-0.066009834	-0.293026267
1sg5	29	0.281820898	0.039555156	-0.100772011	0.005600086	-0.140134834	0.556551461	0.191472436	-0.062489690	0.141083142	0.286610635
1sg5	30	-0.450903233	-0.506710001	-0.300889748	-0.243633640	0.087327040	0.052376544	0.013560499	0.158598640	0.223277717	0.038429753
1sg5	31	0.782532873	0.713246201	0.422028581	0.264312063	0.143560805	-0.208904858	0.025606118	0.136733368	0.119678369	0.106009472
1sg5	32	0.012999138	0.397376009	0.467758260	0.347479443	0.414774756	0.093514223	-0.058536924	-0.243523107	-0.116095351	-0.070450515
1sg5	33	0.162216254	0.129311051	0.153511043	0.303968537	0.269518035	0.372376783	0.100822822	0.279772268	-0.035049390	-0.179994301
1sg5	34	0.180417020	0.169516940	0.194598356	0.136732115	0.178222669	0.272239358	0.359866527	0.100390880	-0.097221391	-0.041384487
1sg5	35	-0.223708310	-0.385158289	-0.215533552	-0.113979385	-0.073334220	0.509284177	0.260709656	0.417688885	0.277092461	0.153907364
1sg5	36	0.115082208	-0.148436907	0.018894396	0.056491446	-0.062421905	0.077375014	0.184757300	0.079412930	0.032176638	0.156695314
1sg5	37	0.341348308	0.489673464	0.341796993	0.228088548	0.161908645	0.064380170	0.042375074	0.268884670	0.282754129	0.080372839
1sg5	38	0.416591521	0.224856888	0.208668969	0.131435852	0.071610108	0.834826223	0.220585592	0.133635547	0.213498113	0.177083045
1sg5	39	0.009695609	-0.116539474	-0.057709707	-0.236996953	-0.106433976	0.666805449	0.383196178	0.259196773	0.350982670	0.299485656
1sg5	40	0.242291318	-0.124009782	-0.213362564	-0.251298191	-0.290254378	-0.580601718	0.029001719	0.258538855	0.194660330	0.203406720
1sg5	41	0.172066478	0.205573597	0.441408190	0.453907498	0.287546685	-0.010960947	0.091038555	0.404991295	0.572901100	0.336919779
1sg5	42	-0.407837100	-0.012665660	0.119573816	0.144501077	0.153230158	-0.752231722	-0.560533110	-0.414565510	-0.295380808	-0.346910581
1sg5	43	-0.549031313	0.039528534	-0.100524347	-0.259884080	-0.119639312	-0.893144079	-0.547423830	-0.464957667	-0.502813854	-0.405148322
1sg5	44	0.022420469	0.116373847	0.063051119	-0.117014095	-0.162571103	0.691279218	0.105889052	-0.038323803	-0.013068654	0.051019329
1sg5	45	0.744569981	0.533796707	0.494494481	0.359716089	0.413887879	0.821116275	0.860863777	0.680468657	0.590735109	0.434706470
1sg5	46	-0.263144049	0.569306877	0.344738167	0.352777948	0.267567480	0.650534643	0.147667034	0.272147191	0.205075640	0.168701008
1sg5	47	-0.250829165	0.124282801	-0.137033537	-0.097826467	-0.029980883	-0.140130656	0.004394810	0.091675002	0.209046385	0.157271091
1sg5	48	0.203708581	0.266300458	0.181539735	0.106937735	0.005209890	0.523498429	0.727053810	0.447569873	0.380680931	0.095392898
1sg5	49	-0.004018867	-0.222935032	-0.167378327	-0.226442557	-0.152874844	-0.001130358	0.035702347	-0.079304006	0.059335111	0.014014798
1sg5	50	0.600127541	0.101526987	0.423727260	0.293765431	0.192213080	-0.259121518	0.245367643	0.314961506	0.208332533	0.120439010
