# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1woc	1	-0.052059934	-0.468556642	-0.583659829	-0.651226952	-0.639572593	1.257434428	1.124194166	0.696030051	0.653611589	0.631371556
1woc	2	-0.457129877	-0.392153031	0.122720817	0.494271158	0.372732989	-0.348209850	-0.294268718	-0.379375627	-0.505801814	-0.385323301
1woc	3	0.241077981	0.355299382	0.349058635	0.627412770	0.598704144	0.732908242	0.132792784	0.089069343	0.165865141	0.192962925
1woc	4	1.600175867	0.819780558	0.879003572	0.761399916	0.597778619	1.032755217	0.438027649	0.280876464	0.089627627	-0.046009636
1woc	5	1.076186935	0.670869561	0.719878359	0.951429559	0.649267748	-0.709911772	-0.876393524	-0.420045120	-0.270872307	0.023043048
1woc	6	3.941157475	2.510992740	1.479121534	0.925570557	0.529146165	0.202610202	-0.276757592	-0.460951589	-0.428947454	-0.252087738
1woc	7	-0.037117186	-1.271415049	-1.180290396	-1.334215876	-1.463832253	-0.814364819	-0.706062671	-0.534312489	-0.621364344	-0.686994142
1woc	8	4.516350014	4.313170678	4.214299998	4.306523658	4.315201168	0.769029569	0.069150758	-0.268338368	-0.456416074	-0.295343930
1woc	9	2.391944837	0.838403688	0.627987965	0.835820474	0.896751559	1.791312133	1.111393558	0.489873452	0.154945027	-0.004057889
1woc	10	1.452944784	0.737794078	0.784146357	0.467680394	0.237407992	0.319138270	0.757027905	0.289193584	0.184097816	0.009113717
1woc	11	0.735502943	-0.151991439	-0.404778846	-0.513434728	-0.591578055	1.332014773	0.400180331	0.503528484	0.253363290	0.102472418
1woc	12	0.953124001	0.923130734	0.329127018	0.014552592	0.036652758	-0.735358698	-0.247681663	0.244115281	0.404772945	0.249048469
1woc	13	1.337853560	0.348689056	-0.042395511	-0.098000592	-0.252113329	0.430791591	-0.297653349	-0.254891217	-0.422049515	-0.101327687
1woc	14	0.038826705	-0.436095143	-0.714428243	-0.739515458	-0.716474607	-0.700374787	0.008386109	-0.080464034	0.027972515	-0.126356352
1woc	15	-0.096771354	0.648445730	0.634496097	0.490527633	0.410676695	-0.678583104	-0.785602616	-0.805452844	-0.336491761	0.037953889
1woc	16	0.586285442	-0.080921865	-0.114223832	-0.360308303	-0.278668494	-0.656587438	-0.047989568	-0.397373516	-0.548849236	-0.139041346
1woc	17	0.194183411	0.762484305	0.233274282	0.161735851	-0.002189789	0.958429791	1.987865277	1.168389736	0.984696286	0.952319941
1woc	18	3.852905587	1.656467592	0.862826528	0.761822877	0.489679964	0.347352498	-0.003904451	-0.299229830	-0.412863435	-0.346528824
1woc	19	1.625802305	0.227185266	-0.241379421	-0.315759277	-0.044435580	-0.549268376	-0.686087484	-0.232798730	0.001870786	-0.001485009
1woc	20	-1.121906359	-0.544910186	-0.646452888	-0.671411722	-0.658096417	-0.929251638	-0.965392107	-0.794460791	-0.778712973	-0.491235302
1woc	21	-0.345447591	-0.379599147	-0.417775550	-0.488139010	-0.514804521	-0.259037668	-0.328469212	-0.257592937	0.126454881	-0.077853192
1woc	22	6.773140213	6.219640458	4.516524820	3.676028911	3.114577941	-0.193459205	0.334996109	0.423443679	0.424766827	0.144047975
1woc	23	0.806749674	0.021180297	-0.089478749	-0.323667561	-0.447397531	-0.210502486	-0.307115046	-0.403163481	-0.605107633	-0.618696128
1woc	24	6.849694354	6.736169991	7.243764508	7.364149718	7.353332238	0.111833014	0.003583259	-0.182459648	-0.264329698	-0.307197573
1woc	25	-0.541003481	-0.325046767	-0.367758572	-0.454638882	-0.309288173	1.221515509	1.908740988	1.481986307	0.886606242	0.581656026
