# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1xru	1	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930000000	0.930210000	0.930329959	0.930263947
1xru	2	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.826761619	0.826311844	0.827650000	0.825148106	0.825650870
1xru	3	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.826671664	0.828320840	0.826980000	0.826190476	0.824763047
1xru	4	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.933958021	0.932548726	0.932800000	0.932932133	0.932345531
1xru	5	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930329835	0.932428786	0.931620000	0.931904762	0.931661668
1xru	6	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930044978	0.930080000	0.930104987	0.930587882
1xru	7	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930029985	0.930014993	0.930010000	0.930967379	0.931073785
1xru	8	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.932188906	0.932383808	0.932240000	0.932114736	0.931715657
1xru	9	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930719640	0.930449775	0.930300000	0.930224972	0.930491902
1xru	10	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930059970	0.930130000	0.930097488	0.930077984
1xru	11	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.830239880	0.825052474	0.827660000	0.825590551	0.824613077
1xru	12	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930629685	0.930389805	0.930720000	0.930652418	0.930551890
1xru	13	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.932383808	0.931590000	0.931859768	0.931493701
1xru	14	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930389805	0.931049475	0.930760000	0.930914886	0.930731854
1xru	15	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930929535	0.930464768	0.931090000	0.931162355	0.931451710
1xru	16	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.820794603	0.820569715	0.822000000	0.822043495	0.821439712
1xru	17	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930479760	0.930449775	0.930580000	0.930637420	0.930509898
1xru	18	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.825982009	0.831514243	0.829020000	0.828027747	0.827204559
1xru	19	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930179910	0.930100000	0.930389951	0.930311938
1xru	20	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.933838081	0.932368816	0.931990000	0.931492313	0.931481704
1xru	21	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930029985	0.930494753	0.930330000	0.930247469	0.930803839
1xru	22	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.932668666	0.931979010	0.931340000	0.931657293	0.931787642
1xru	23	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.824812594	0.818695652	0.817110000	0.818923885	0.820359928
1xru	24	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930000000	0.929630000	0.929760030	0.929838032
1xru	25	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930929535	0.930464768	0.930870000	0.930652418	0.930863827
1xru	26	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.933148426	0.932143928	0.931840000	0.931589801	0.931271746
1xru	27	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930464768	0.930270000	0.930202475	0.930167966
1xru	28	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.931229385	0.931139430	0.931060000	0.930809899	0.930809838
1xru	29	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.931349325	0.930779610	0.930530000	0.930397450	0.930851830
1xru	30	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.930074963	0.930310000	0.930232471	0.930185963
