# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1yqq	1	d1	0.010000000	0.010000000	0.010000000	0.011237345	0.014013197	0.650089955	0.651139430	0.651650000	0.666317960	0.696040792
1yqq	2	d1	0.010000000	0.010000000	0.015100000	0.018826397	0.021061788	0.814227886	0.814452774	0.818190000	0.817004124	0.816460708
1yqq	3	d1	0.010000000	0.018320840	0.022210000	0.024158230	0.025326935	0.814527736	0.812878561	0.814670000	0.813644544	0.812927415
1yqq	4	d1	0.010000000	0.012833583	0.018550000	0.021413573	0.023131374	0.819385307	0.815547226	0.813800000	0.813329584	0.813677265
1yqq	5	d1	0.010000000	0.010000000	0.013090000	0.017319085	0.019856029	0.808950525	0.808935532	0.808820000	0.810164979	0.812339532
1yqq	6	d1	0.010000000	0.011814093	0.017870000	0.020903637	0.022723455	0.812458771	0.812218891	0.811640000	0.811432321	0.811181764
1yqq	7	d1	0.010000000	0.011544228	0.017690000	0.020768654	0.022615477	0.811349325	0.811004498	0.811210000	0.811559805	0.812759448
1yqq	8	d1	0.010000000	0.010000000	0.011760000	0.015286839	0.018230354	0.815187406	0.817751124	0.818240000	0.816389201	0.815362927
1yqq	9	d1	0.010000000	0.012008996	0.018000000	0.021001125	0.022801440	0.805352324	0.807526237	0.758710000	0.731454818	0.715434913
1yqq	10	d1	0.010000000	0.010000000	0.012980000	0.017236595	0.019790042	0.835817091	0.837751124	0.837350000	0.838398950	0.838050390
1yqq	11	d1	0.010000000	0.010000000	0.010000000	0.011327334	0.015062987	0.863823088	0.862443778	0.861080000	0.860056243	0.860185963
1yqq	12	d1	0.010000000	0.010000000	0.010760000	0.015571804	0.018458308	0.814077961	0.814497751	0.814450000	0.814011999	0.813161368
1yqq	13	d1	0.010000000	0.010000000	0.010000000	0.011297338	0.015038992	0.864842579	0.858440780	0.861300000	0.861398575	0.861721656
1yqq	14	d1	0.010000000	0.010074963	0.015880000	0.019411324	0.021529694	0.812548726	0.757886057	0.721420000	0.703460817	0.693779244
1yqq	15	d1	0.010000000	0.013703148	0.018320000	0.021241095	0.022993401	0.864212894	0.861379310	0.860120000	0.860956130	0.861307738
1yqq	16	d1	0.010000000	0.014077961	0.019380000	0.022035996	0.023629274	0.807151424	0.805292354	0.796280000	0.799336333	0.801469706
1yqq	17	d1	0.010000000	0.014377811	0.018790000	0.021593551	0.023275345	0.810599700	0.812158921	0.811380000	0.811079865	0.811931614
1yqq	18	d1	0.010000000	0.012128936	0.018080000	0.021061117	0.022849430	0.844602699	0.841244378	0.842830000	0.842050994	0.841439712
1yqq	19	d1	0.010000000	0.010000000	0.014740000	0.018556430	0.020845831	0.861934033	0.858830585	0.860410000	0.862268466	0.862327534
1yqq	20	d1	0.010000000	0.010000000	0.014640000	0.018481440	0.020785843	0.814857571	0.814437781	0.812990000	0.813839520	0.787780444
1yqq	21	d1	0.010000000	0.010119940	0.016740000	0.020056243	0.022045591	0.649580210	0.648905547	0.651000000	0.691169854	0.715158968
1yqq	22	d1	0.010000000	0.010000000	0.013700000	0.017776528	0.020221956	0.867241379	0.866476762	0.862660000	0.862448444	0.862003599
1yqq	23	d1	0.010000000	0.010000000	0.012560000	0.016921635	0.019538092	0.818905547	0.773373313	0.786620000	0.792287214	0.796700660
1yqq	24	d1	0.010000000	0.010000000	0.014600000	0.018451444	0.020761848	0.813328336	0.749430285	0.717080000	0.700296213	0.719856029
1yqq	25	d1	0.010000000	0.010000000	0.012450000	0.016239220	0.018992202	0.859535232	0.860089955	0.861090000	0.861728534	0.862357528
1yqq	26	d1	0.010000000	0.010000000	0.016400000	0.019801275	0.021841632	0.863133433	0.862158921	0.863000000	0.863700787	0.863215357
1yqq	27	d1	0.010000000	0.014902549	0.019930000	0.022448444	0.023959208	0.810029985	0.808575712	0.808150000	0.808545182	0.808464307
1yqq	28	d1	0.010000000	0.010000000	0.014440000	0.018331459	0.020665867	0.861154423	0.862233883	0.863010000	0.863393326	0.864349130
1yqq	29	d1	0.010000000	0.010000000	0.010000000	0.014139483	0.017312537	0.812368816	0.810524738	0.808960000	0.812234721	0.810665867
1yqq	30	d1	0.010000000	0.010000000	0.014880000	0.018661417	0.020929814	0.821004498	0.820434783	0.821410000	0.819801275	0.819190162
1yqq	31	d1	0.010000000	0.010000000	0.014140000	0.018106487	0.020485903	0.813718141	0.813358321	0.813140000	0.812212223	0.812573485
1yqq	32	d1	0.010000000	0.010000000	0.016330000	0.019748781	0.021799640	0.649820090	0.697586207	0.735020000	0.754754406	0.766352729
1yqq	33	d1	0.010000000	0.012743628	0.018420000	0.021316085	0.023053389	0.814587706	0.816476762	0.817860000	0.801353581	0.771829634
1yqq	34	d1	0.010000000	0.015817091	0.020540000	0.022905887	0.024325135	0.813628186	0.814242879	0.814170000	0.815556805	0.816400720
1yqq	35	d1	0.010000000	0.010000000	0.015360000	0.019021372	0.021217756	0.811709145	0.812398801	0.811720000	0.811882265	0.811901620
1yqq	36	d1	0.010000000	0.010000000	0.016410000	0.019808774	0.021847630	0.810209895	0.814002999	0.814960000	0.814469441	0.814793041
1yqq	37	d1	0.010000000	0.010000000	0.013820000	0.017866517	0.020293941	0.863253373	0.861274363	0.862410000	0.861203600	0.861589682
1yqq	38	d1	0.010000000	0.010000000	0.010000000	0.013622047	0.016898620	0.864182909	0.862353823	0.863380000	0.862913386	0.862567487
1yqq	39	d1	0.010000000	0.010000000	0.011630000	0.016224222	0.018980204	0.814197901	0.812248876	0.811120000	0.812227222	0.815062987
1yqq	40	d1	0.010000000	0.010000000	0.013220000	0.017416573	0.019934013	0.818725637	0.818530735	0.815160000	0.814919385	0.815350930
1yqq	41	d1	0.010000000	0.010000000	0.014300000	0.018226472	0.020581884	0.865262369	0.864617691	0.864060000	0.862613423	0.863179364
1yqq	42	d1	0.010000000	0.017511244	0.021660000	0.023745782	0.024997001	0.815037481	0.813718141	0.812690000	0.813044619	0.811913617
1yqq	43	d1	0.010000000	0.019535232	0.023020000	0.024765654	0.025812837	0.863493253	0.860899550	0.860100000	0.861068616	0.861343731
1yqq	44	d1	0.010000000	0.016206897	0.020800000	0.023100862	0.024481104	0.858485757	0.862203898	0.863560000	0.864188226	0.863413317
1yqq	45	d1	0.010000000	0.010000000	0.014990000	0.018743907	0.020995801	0.817946027	0.814452774	0.812700000	0.812159730	0.812219556
1yqq	46	d1	0.010000000	0.010509745	0.015160000	0.018871391	0.021097780	0.813928036	0.816101949	0.814080000	0.813922010	0.813767247
1yqq	47	d1	0.010000000	0.010000000	0.013700000	0.017776528	0.020221956	0.831259370	0.839190405	0.841470000	0.841443570	0.841463707
1yqq	48	d1	0.010000000	0.010000000	0.015970000	0.019478815	0.021583683	0.862953523	0.863703148	0.863850000	0.864263217	0.863665267
1yqq	49	d1	0.010000000	0.010000000	0.012700000	0.017026622	0.019622076	0.817166417	0.813178411	0.812420000	0.813757030	0.813311338
1yqq	50	d1	0.010000000	0.012698651	0.018460000	0.021346082	0.023077385	0.815997001	0.815187406	0.813960000	0.813292088	0.813959208
