# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1zzm	1	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.011367726	0.910209895	0.910104948	0.910730000	0.910787402	0.911151770
1zzm	2	d1	0.010000000	0.010000000	0.010000000	0.013067117	0.016454709	0.912308846	0.911604198	0.911370000	0.911739783	0.912315537
1zzm	3	d1	0.010000000	0.010000000	0.010000000	0.014251969	0.017402519	0.910239880	0.909715142	0.910410000	0.910329959	0.910353929
1zzm	4	d1	0.010000000	0.010000000	0.010000000	0.010644919	0.014517097	0.911799100	0.910884558	0.911550000	0.911537308	0.911811638
1zzm	5	d1	0.010000000	0.010000000	0.010000000	0.010044994	0.013101380	0.909820090	0.910599700	0.911450000	0.911087364	0.910677864
1zzm	6	d1	0.010000000	0.010000000	0.010460000	0.015346832	0.018278344	0.909850075	0.909445277	0.910180000	0.910547432	0.910467906
1zzm	7	d1	0.010000000	0.010000000	0.010000000	0.011327334	0.014625075	0.910000000	0.907781109	0.908530000	0.908627672	0.908902220
1zzm	8	d1	0.010000000	0.010000000	0.010000000	0.010164979	0.014133173	0.910899550	0.910509745	0.910310000	0.910232471	0.910305939
1zzm	9	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.011463707	0.907961019	0.908980510	0.909860000	0.910397450	0.909916017
1zzm	10	d1	0.010000000	0.010000000	0.010000000	0.011207349	0.014637073	0.912848576	0.911424288	0.911320000	0.911747282	0.911397720
1zzm	11	d1	0.010000000	0.010000000	0.010000000	0.010344957	0.014277145	0.909280360	0.909130435	0.909420000	0.910127484	0.910209958
1zzm	12	d1	0.010000000	0.010000000	0.010000000	0.011207349	0.014967007	0.910359820	0.910434783	0.910390000	0.910344957	0.910281944
1zzm	13	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.011493701	0.910509745	0.910194903	0.912350000	0.912167229	0.911829634
1zzm	14	d1	0.010000000	0.010000000	0.010000000	0.010472441	0.014379124	0.910000000	0.913118441	0.911180000	0.910899888	0.910617876
1zzm	15	d1	0.010000000	0.010000000	0.010000000	0.013112111	0.015608878	0.910119940	0.909580210	0.910030000	0.910022497	0.909952010
1zzm	16	d1	0.010000000	0.010000000	0.011610000	0.016209224	0.018044391	0.910209895	0.911304348	0.911260000	0.911229846	0.911247750
1zzm	17	d1	0.010000000	0.010000000	0.010000000	0.013719535	0.016220756	0.908590705	0.911994003	0.912650000	0.911964754	0.911835633
1zzm	18	d1	0.010000000	0.010000000	0.010000000	0.012602175	0.015128974	0.912548726	0.912398801	0.912100000	0.911574803	0.911427714
1zzm	19	d1	0.010000000	0.010000000	0.014300000	0.016846644	0.018506299	0.908710645	0.909145427	0.909650000	0.909737533	0.910125975
1zzm	20	d1	0.010000000	0.010000000	0.010000000	0.010854893	0.014685063	0.911199400	0.911019490	0.911210000	0.910629921	0.910407918
1zzm	21	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010905819	0.910000000	0.909970015	0.908980000	0.909527559	0.909886023
