# pdbid	traj	last100	last200	last300	last400	last500
1zzm	1	-0.364531004	-0.992178080	-0.509802110	-0.514611995	-0.576168256
1zzm	2	0.534607661	0.063652872	-0.087279607	0.069492638	0.014864876
1zzm	3	0.195143606	0.423873356	-0.048501085	-0.088875041	-0.200449483
1zzm	4	1.379519798	-0.247351024	0.224515453	0.207840480	0.239419937
1zzm	5	-0.868462001	-0.464865268	-0.177935227	-0.080169604	-0.134609333
1zzm	6	-0.457478516	-0.894475246	-0.227195860	-0.257565422	-0.244213763
1zzm	7	0.778140667	-0.199873768	0.096368168	-0.015537801	0.091927029
1zzm	8	0.406360142	0.175768845	0.234790860	0.243384267	0.022417221
1zzm	9	-1.009644775	0.276687923	0.450587125	0.597631588	0.471918395
1zzm	10	0.174753426	-0.086266153	-0.380518458	-0.491003628	-0.323180412
1zzm	11	-0.396370510	-0.326442085	-0.118128285	-0.552528886	-0.630574003
1zzm	12	1.474431462	0.416638410	0.407807943	0.105148795	0.341531179
1zzm	13	1.221447954	0.883267094	0.953326068	0.976508628	0.619505656
1zzm	14	-1.048435022	-0.226974297	-0.329115250	-0.176135932	-0.168725520
1zzm	15	-0.563327939	0.016410386	-0.242267655	-0.185961513	-0.214276205
1zzm	16	0.137953141	0.232430476	0.204939682	0.327406115	0.554071671
1zzm	17	-0.448055427	0.016626963	0.163977715	0.266600527	0.166596585
1zzm	18	-0.059857264	0.036027473	0.008176093	0.050455281	-0.151031161
1zzm	19	-0.914263591	-0.519865531	-0.372909075	-0.190952122	-0.233286759
1zzm	20	0.679201597	-0.662524991	-0.257354737	-0.055937925	-0.407493709
1zzm	21	0.551485900	1.059812561	0.619002835	0.412436085	0.445776891
1zzm	22	0.872579093	0.572804394	0.685636098	0.470351620	0.507522490
1zzm	23	-0.311818981	-0.040765692	0.238590278	-0.044005780	-0.040437356
1zzm	24	0.811927856	0.114357282	-0.030930255	0.094338903	0.304650991
1zzm	25	1.208542384	0.734620360	1.045489978	0.227228296	0.117986291
1zzm	26	-0.149813486	0.015654556	0.165147065	0.091226438	0.208081698
1zzm	27	0.586294693	0.306290165	0.025592948	-0.282913052	-0.280110790
1zzm	28	-0.347607129	-0.023859385	-0.118607263	-0.173515628	-0.514199192
1zzm	29	1.375030187	0.797245478	-0.043875957	-0.100324259	-0.342175025
1zzm	30	0.224930997	-0.342090817	-0.027127663	0.227085669	0.298478761
1zzm	31	-0.525056439	0.106149246	0.056594620	-0.245239723	0.029181803
1zzm	32	0.476397571	0.164809456	-0.299277040	-0.100795351	0.055443526
1zzm	33	-0.665232436	0.127019276	0.456539420	0.247846132	0.076901849
1zzm	34	0.293994543	-0.030836592	-0.314545070	-0.385342516	-0.030898631
1zzm	35	0.035546004	-0.278199850	-0.069392482	0.151506438	0.216424860
1zzm	36	-0.204977549	-0.058174023	-0.009213070	0.224612021	0.086263715
1zzm	37	1.718481537	0.438034196	0.675850132	0.271474762	0.225885119
1zzm	38	0.512196747	1.016266130	0.340519522	0.271083956	0.226373487
1zzm	39	0.017672136	0.563079846	0.246702955	0.287624256	0.234136480
1zzm	40	0.689681019	-0.083259213	-0.162355880	-0.460273643	-0.259510514
1zzm	41	-0.109543013	-0.012675246	0.124048068	0.123296742	0.025293510
1zzm	42	-0.002219175	-0.208596603	-0.191561742	-0.106791882	-0.164163858
1zzm	43	0.962977511	0.302534612	-0.059612445	0.067365422	0.041411120
1zzm	44	0.897394723	1.009051294	0.699868755	0.426582690	0.161527440
1zzm	45	0.174744513	0.734116903	0.850722255	0.731009837	0.360240250
1zzm	46	0.145430150	-1.025977102	-0.653010218	-0.410564863	-0.251368008
1zzm	47	-0.513115472	-0.075325962	-0.408192715	-0.233322673	-0.487360501
1zzm	48	-0.210453696	-0.992181792	-1.026626968	-0.616659841	-0.519272401
1zzm	49	0.913308148	0.141197537	0.347980205	0.142810171	0.133391554
1zzm	50	-0.445992249	-0.155861969	0.194663780	0.014039679	-0.020950291
