# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2axd	1	d1	0.010000000	0.041754123	0.059510000	0.073194601	0.076556689	0.300374813	0.287901049	0.292540000	0.293569554	0.291547690
2axd	2	d1	0.010000000	0.010000000	0.024150000	0.046377953	0.060641872	0.270749625	0.278185907	0.277840000	0.277761530	0.278404319
2axd	3	d1	0.010000000	0.046431784	0.065190000	0.085103112	0.088200360	0.286491754	0.284377811	0.278890000	0.282373453	0.276724655
2axd	4	d1	0.010000000	0.020089955	0.043170000	0.063970754	0.071889622	0.283823088	0.281664168	0.286340000	0.290779903	0.287996401
2axd	5	d1	0.010000000	0.010014993	0.023220000	0.047682790	0.058356329	0.302773613	0.290479760	0.285900000	0.285230596	0.287522496
2axd	6	d1	0.010000000	0.010000000	0.022900000	0.042298463	0.059814037	0.295697151	0.290479760	0.291720000	0.291214848	0.294607079
2axd	7	d1	0.010000000	0.038140930	0.059150000	0.074919385	0.082699460	0.305742129	0.291844078	0.287110000	0.284203225	0.279658068
2axd	8	d1	0.010000000	0.039355322	0.058970000	0.072542182	0.091727654	0.283763118	0.287541229	0.284550000	0.282868391	0.285074985
2axd	9	d1	0.010000000	0.010000000	0.027740000	0.051567304	0.062879424	0.280854573	0.292458771	0.289280000	0.291829771	0.288194361
2axd	10	d1	0.010000000	0.034167916	0.055690000	0.085508061	0.118284343	0.282143928	0.293448276	0.296220000	0.288650169	0.288482304
2axd	11	d1	0.010000000	0.010000000	0.022590000	0.047855268	0.064541092	0.290899550	0.287001499	0.278350000	0.281038620	0.283029394
2axd	12	d1	0.010000000	0.010000000	0.032880000	0.049565054	0.063557289	0.281634183	0.276611694	0.285240000	0.284585677	0.282891422
2axd	13	d1	0.010000000	0.031529235	0.054120000	0.069340082	0.084355129	0.280614693	0.282413793	0.285820000	0.283130859	0.284397121
2axd	14	d1	0.010000000	0.014257871	0.038920000	0.062703412	0.069928014	0.280014993	0.295652174	0.288440000	0.282890889	0.280575885
2axd	15	d1	0.010000000	0.012863568	0.038490000	0.063190851	0.070641872	0.256236882	0.276566717	0.281900000	0.282290964	0.279970006
2axd	16	d1	0.010000000	0.019355322	0.042880000	0.057154106	0.067624475	0.299895052	0.295982009	0.290590000	0.288837645	0.287636473
2axd	17	d1	0.010000000	0.010000000	0.010000000	0.021908511	0.043977205	0.274587706	0.275907046	0.280300000	0.282200975	0.279646071
2axd	18	d1	0.010000000	0.021574213	0.047680000	0.069272591	0.074139172	0.282953523	0.275397301	0.280060000	0.283010874	0.281715657
2axd	19	d1	0.010000000	0.010059970	0.031180000	0.053734533	0.073563287	0.287601199	0.297046477	0.293510000	0.287337833	0.284379124
