# pdbid	traj	last100	last200	last300	last400	last500
2fym	1	-0.739023448	0.105545546	-0.533790510	-1.027869023	-0.697197552
2fym	2	1.669808216	-0.345708200	-0.096119527	-0.165812201	-0.365515248
2fym	3	-0.671030742	0.177655272	0.013961790	0.046680270	0.226213663
2fym	4	-0.750042369	-0.688852403	-0.149349265	-0.725531817	-0.897695377
2fym	5	-18.611019790	-18.873278065	-19.021405202	-18.968865004	-19.044025599
2fym	6	0.063461297	0.368827417	0.426769738	0.027703838	-0.032639523
2fym	7	-9.492037211	-7.744722400	-6.861914183	-6.359349162	-5.836457162
2fym	8	0.744093193	0.748522951	0.491423305	0.578511586	0.303390126
2fym	9	-8.143477189	-6.825000352	-6.244872922	-6.307411430	-6.831338406
2fym	10	-0.352288643	-0.053893993	-0.130209058	0.032044198	-0.514378203
2fym	11	0.169894798	0.299618268	0.184609825	-0.407254398	-0.703655161
2fym	12	-0.701415885	-0.957663240	-0.494489405	-1.031672675	-0.970967078
2fym	13	-0.792923621	-0.303822842	-0.510558800	-0.163302758	-0.017569522
2fym	14	-0.952782031	-0.142042977	-0.127294860	0.143765480	0.156097180
2fym	15	0.112533598	0.343995178	-0.470501105	-0.200804063	0.261101102
2fym	16	-18.736178456	-18.857763450	-19.286940943	-19.738492902	-19.990002908
2fym	17	-21.242992624	-20.815567207	-20.822928815	-20.890991888	-20.996425479
2fym	18	-19.374661499	-19.929188879	-20.180543400	-20.353574036	-20.334137902
2fym	19	-1.943068771	-1.541065163	-0.443705813	-0.136452803	0.079537159
2fym	20	-18.880451057	-18.549369831	-18.568621880	-18.643387261	-18.708440954
2fym	21	-19.355452474	-19.077169689	-19.154453115	-19.144212270	-19.057969781
2fym	22	-0.837748733	-0.519108159	0.018481395	0.210181400	0.031483376
2fym	23	-4.864895067	-5.191756423	-5.445651745	-5.479381087	-5.145227995
2fym	24	-0.333375030	-0.768300870	-0.031715548	-0.770044914	-0.720387710
2fym	25	0.395962796	-0.047617522	0.116366300	0.142303976	0.142822644
2fym	26	-18.926294033	-19.258094196	-19.847170940	-20.216350714	-20.302915241
2fym	27	-12.502896837	-9.731454244	-8.308113513	-8.348001400	-7.906961023
2fym	28	1.434511589	0.593998440	0.650294292	0.601700857	0.214127464
2fym	29	-18.512688568	-18.393025362	-18.536684197	-18.676660977	-18.821411359
2fym	30	-27.614658186	-27.589564537	-27.694739245	-27.898553204	-27.569191902
2fym	31	0.633109993	0.778806033	-0.169931410	0.031219299	-0.223189447
2fym	32	0.380853973	0.453140810	-0.162210740	-0.310207752	-0.228426699
2fym	33	0.121869483	-0.472801339	-0.139055632	-0.281707812	0.165483534
2fym	34	0.440521927	-0.926396355	-1.406138392	-1.156947865	-0.731419109
2fym	35	-7.432235855	-7.797137120	-7.346918735	-6.624322465	-6.455561011
2fym	36	-1.235115570	-0.497492726	-1.179096458	-0.181747675	-0.154486657
2fym	37	0.608378666	0.504885819	0.509680722	0.276906819	0.195894401
2fym	38	-18.164691147	-18.531897668	-18.682440730	-18.667702252	-18.830446766
2fym	39	-1.539054813	0.672431260	0.472104820	0.701545598	0.660557209
2fym	40	1.259183208	0.536319411	0.603169312	0.293273995	0.525889162
2fym	41	-19.069319250	-19.092857987	-19.085880520	-19.050495163	-19.068121570
2fym	42	-0.843089783	0.471180754	-0.349824250	-0.089088928	-0.058600100
2fym	43	1.067927309	0.058773656	0.511565075	0.247061290	0.007268089
2fym	44	1.830858966	0.077811864	0.203252225	0.404420941	0.582758188
2fym	45	0.107752571	1.104445399	0.463537127	0.444751348	0.184094065
2fym	46	0.620667504	-0.637573337	0.222734265	0.504035832	0.452815253
2fym	47	-1.905023996	-1.679046618	-0.689243880	-0.106608165	-0.359115347
2fym	48	-1.891668973	-0.681012640	-0.639063605	-0.428629578	-0.388042983
2fym	49	-21.139874948	-20.799424301	-20.776506880	-20.753131582	-20.772243031
2fym	50	-2.250719700	-0.924946160	-0.046103517	-0.136748429	-0.366708073
