# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2gqr	1	d1	0.010000000	0.010000000	0.029700000	0.037581552	0.045170966	0.928290855	0.927526237	0.927200000	0.926932883	0.927546491
2gqr	2	d1	0.010000000	0.015637181	0.019920000	0.027157855	0.039358128	0.929640180	0.925487256	0.924590000	0.925665542	0.925752849
2gqr	3	d1	0.010000000	0.010299850	0.026440000	0.040386202	0.048746251	0.926191904	0.926356822	0.925970000	0.926505437	0.926136773
2gqr	4	d1	0.010000000	0.023598201	0.035910000	0.040378703	0.048722256	0.926431784	0.925427286	0.925300000	0.925028121	0.924037193
2gqr	5	d1	0.010000000	0.014167916	0.025000000	0.039156355	0.050407918	0.927301349	0.927091454	0.927550000	0.927675291	0.928140372
2gqr	6	d1	0.010000000	0.026341829	0.047540000	0.052264717	0.060467906	0.928620690	0.928410795	0.927710000	0.928372703	0.928044391
2gqr	7	d1	0.010000000	0.016101949	0.036040000	0.042770904	0.051445711	0.927541229	0.927331334	0.926470000	0.927352831	0.927786443
2gqr	8	d1	0.010000000	0.020389805	0.038290000	0.048417698	0.060137972	0.929010495	0.928350825	0.928920000	0.928672666	0.928704259
2gqr	9	d1	0.010000000	0.027301349	0.035170000	0.046962880	0.054871026	0.913238381	0.918725637	0.922160000	0.923243345	0.924637073
2gqr	10	d1	0.010000000	0.017586207	0.038720000	0.044773153	0.052915417	0.924902549	0.927721139	0.928490000	0.928417698	0.928818236
2gqr	11	d1	0.010000000	0.017721139	0.037600000	0.043738283	0.047810438	0.927061469	0.927136432	0.927620000	0.927345332	0.927216557
2gqr	12	d1	0.010000000	0.010000000	0.015880000	0.034199475	0.040659868	0.927451274	0.927661169	0.928080000	0.927607799	0.927294541
2gqr	13	d1	0.010000000	0.012308846	0.026090000	0.029572553	0.036304739	0.924932534	0.925472264	0.925730000	0.926797900	0.927018596
2gqr	14	d1	0.010000000	0.012668666	0.028930000	0.039951256	0.048998200	0.930000000	0.929880060	0.929320000	0.928942632	0.928656269
2gqr	15	d1	0.010000000	0.010254873	0.019520000	0.033127109	0.037090582	0.924512744	0.925877061	0.926510000	0.926970379	0.926742651
2gqr	16	d1	0.010000000	0.013058471	0.031470000	0.044375703	0.054883023	0.929130435	0.928905547	0.927940000	0.928230221	0.927552490
2gqr	17	d1	0.010000000	0.015862069	0.036810000	0.044203225	0.052369526	0.927961019	0.928245877	0.928390000	0.927825272	0.928014397
2gqr	18	d1	0.010000000	0.011304348	0.027540000	0.042845894	0.039544091	0.927301349	0.926626687	0.926960000	0.927300337	0.927612478
2gqr	19	d1	0.010000000	0.010000000	0.011480000	0.020116235	0.033449310	0.928590705	0.929550225	0.928510000	0.928372703	0.928572286
2gqr	20	d1	0.010000000	0.024557721	0.045790000	0.055586802	0.065680864	0.922503748	0.925112444	0.926140000	0.925898013	0.926454709
2gqr	21	d1	0.010000000	0.010000000	0.018680000	0.033914511	0.041535693	0.925532234	0.927766117	0.928140000	0.929250094	0.929160168
2gqr	22	d1	0.010000000	0.015487256	0.037960000	0.045875516	0.053569286	0.929790105	0.929895052	0.928890000	0.928725159	0.929130174
2gqr	23	d1	0.010000000	0.011034483	0.026210000	0.041308586	0.049820036	0.929280360	0.928485757	0.928920000	0.928372703	0.928374325
2gqr	24	d1	0.010000000	0.012578711	0.020540000	0.037311586	0.041289742	0.925412294	0.927766117	0.927400000	0.928005249	0.928176365
2gqr	25	d1	0.010000000	0.010000000	0.018330000	0.030082490	0.035698860	0.927271364	0.927961019	0.928180000	0.928222722	0.926472705
2gqr	26	d1	0.010000000	0.010000000	0.012930000	0.030022497	0.035326935	0.930059970	0.928410795	0.928530000	0.928162730	0.927750450
2gqr	27	d1	0.010000000	0.010059970	0.021150000	0.037544057	0.043065387	0.929340330	0.927301349	0.928090000	0.928567679	0.927588482
2gqr	28	d1	0.010000000	0.010000000	0.015450000	0.030674916	0.037048590	0.928890555	0.927931034	0.927200000	0.927142857	0.926958608
2gqr	29	d1	0.010000000	0.018350825	0.041300000	0.039336333	0.046820636	0.927331334	0.927976012	0.925950000	0.925770529	0.925968806
2gqr	30	d1	0.010000000	0.016761619	0.021330000	0.034971879	0.046784643	0.926581709	0.926521739	0.925820000	0.926475441	0.926496701
2gqr	31	d1	0.010000000	0.010000000	0.011900000	0.027450319	0.034553089	0.929520240	0.927586207	0.926650000	0.923678290	0.923455309
2gqr	32	d1	0.010000000	0.015682159	0.036570000	0.042973378	0.056250750	0.928200900	0.928035982	0.928600000	0.928125234	0.927870426
2gqr	33	d1	0.010000000	0.017376312	0.031400000	0.045193101	0.047408518	0.929280360	0.929085457	0.929180000	0.928192726	0.928020396
2gqr	34	d1	0.010000000	0.012548726	0.033970000	0.041496063	0.047492501	0.928020990	0.927316342	0.927720000	0.928650169	0.928836233
2gqr	35	d1	0.010000000	0.015397301	0.031590000	0.041488564	0.053935213	0.919655172	0.924662669	0.926280000	0.927232846	0.928044391
2gqr	36	d1	0.010000000	0.010000000	0.016090000	0.027525309	0.035986803	0.929880060	0.927916042	0.926600000	0.927397825	0.927810438
2gqr	37	d1	0.010000000	0.010000000	0.015680000	0.028785152	0.038236353	0.926011994	0.926056972	0.926920000	0.927690289	0.927342531
2gqr	38	d1	0.010000000	0.010000000	0.018630000	0.035504312	0.038860228	0.923913043	0.926956522	0.926750000	0.926475441	0.927162567
2gqr	39	d1	0.010000000	0.013448276	0.019810000	0.030097488	0.037636473	0.928200900	0.927796102	0.926430000	0.924968129	0.925596881
2gqr	40	d1	0.010000000	0.012908546	0.030220000	0.035166854	0.040383923	0.923433283	0.926551724	0.927480000	0.926602925	0.926580684
2gqr	41	d1	0.010000000	0.010000000	0.016560000	0.027990251	0.034523095	0.927721139	0.928710645	0.929140000	0.928155231	0.927924415
2gqr	42	d1	0.010000000	0.013193403	0.023470000	0.036051744	0.048890222	0.928200900	0.926581709	0.927640000	0.927772778	0.928218356
2gqr	43	d1	0.010000000	0.010000000	0.016910000	0.033569554	0.043737253	0.926941529	0.927616192	0.929060000	0.927615298	0.927744451
2gqr	44	d1	0.010000000	0.010000000	0.010750000	0.021923510	0.034949010	0.922143928	0.925832084	0.926990000	0.927742782	0.927744451
2gqr	45	d1	0.010000000	0.021124438	0.038730000	0.048335208	0.054427115	0.929070465	0.929745127	0.928940000	0.927855268	0.927636473
2gqr	46	d1	0.010000000	0.010000000	0.013800000	0.029677540	0.040065987	0.930000000	0.929325337	0.929290000	0.929280090	0.928914217
2gqr	47	d1	0.010000000	0.021844078	0.037250000	0.045755531	0.052477504	0.927151424	0.928185907	0.928050000	0.927097863	0.927408518
