# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2hgk	1	d1	0.010000000	0.023898051	0.047870000	0.063408324	0.076604679	0.942293853	0.943433283	0.944820000	0.946137983	0.944805039
2hgk	2	d1	0.010000000	0.018620690	0.041600000	0.064495688	0.080977804	0.941394303	0.943253373	0.942620000	0.943768279	0.944229154
2hgk	3	d1	0.013808096	0.034257871	0.064940000	0.081398575	0.094679064	0.953988006	0.951019490	0.952860000	0.953442070	0.953911218
2hgk	4	d1	0.010000000	0.016641679	0.040910000	0.062523435	0.077708458	0.941214393	0.941964018	0.943480000	0.941023622	0.942537493
2hgk	5	d1	0.014467766	0.039190405	0.064950000	0.077491564	0.090317936	0.953388306	0.952428786	0.950600000	0.948222722	0.950485903
2hgk	6	d1	0.026581709	0.048125937	0.072930000	0.091934758	0.103119376	0.955667166	0.955097451	0.953920000	0.953217098	0.952651470
2hgk	7	d1	0.019145427	0.035967016	0.057460000	0.074109486	0.087360528	0.941934033	0.942743628	0.943120000	0.940948631	0.942057588
2hgk	8	d1	0.028920540	0.066731634	0.091160000	0.103535808	0.112315537	0.941034483	0.940494753	0.941860000	0.941953506	0.944421116
2hgk	9	d1	0.026791604	0.042368816	0.062150000	0.076771654	0.089418116	0.938215892	0.938335832	0.938980000	0.938893888	0.939646071
2hgk	10	d1	0.016956522	0.042533733	0.064820000	0.078023997	0.091751650	0.934977511	0.934977511	0.940460000	0.940978628	0.942285543
2hgk	11	d1	0.010000000	0.013448276	0.028440000	0.049347582	0.068584283	0.939895052	0.948680660	0.944680000	0.944713161	0.945068986
2hgk	12	d1	0.027661169	0.048410795	0.073660000	0.085718035	0.097390522	0.934557721	0.938905547	0.940980000	0.940273716	0.942801440
2hgk	13	d1	0.033808096	0.059175412	0.079060000	0.089542557	0.101553689	0.939565217	0.943688156	0.945830000	0.943820772	0.945758848
2hgk	14	d1	0.016836582	0.052533733	0.073890000	0.086865392	0.096712657	0.950209895	0.949310345	0.944500000	0.945763030	0.947396521
2hgk	15	d1	0.022143928	0.049430285	0.077640000	0.093682040	0.100197960	0.954227886	0.950089955	0.947040000	0.949047619	0.947192561
2hgk	16	d1	0.014467766	0.028815592	0.055850000	0.072557180	0.085866827	0.938815592	0.944032984	0.948500000	0.946295463	0.947858428
2hgk	17	d1	0.023463268	0.046221889	0.072640000	0.090817398	0.101625675	0.936356822	0.942893553	0.943110000	0.939936258	0.940599880
2hgk	18	d1	0.010000000	0.018575712	0.043360000	0.063535808	0.079766047	0.943613193	0.944872564	0.942780000	0.941308586	0.941349730
2hgk	19	d1	0.014347826	0.034482759	0.059090000	0.077326584	0.090941812	0.949070465	0.948470765	0.952900000	0.951822272	0.952639472
2hgk	20	d1	0.015697151	0.037181409	0.055750000	0.071402325	0.083455309	0.933718141	0.934152924	0.936840000	0.938668916	0.941241752
2hgk	21	d1	0.021394303	0.053283358	0.071750000	0.087300337	0.098500300	0.951829085	0.953028486	0.952100000	0.951027372	0.948176365
2hgk	22	d1	0.010419790	0.029625187	0.057830000	0.072767154	0.087246551	0.961004498	0.954587706	0.953660000	0.947352831	0.947252549
2hgk	23	d1	0.037286357	0.064167916	0.080690000	0.095534308	0.105746851	0.936956522	0.936176912	0.938740000	0.938323960	0.942177564
2hgk	24	d1	0.028620690	0.066341829	0.084280000	0.095976753	0.104709058	0.932158921	0.938515742	0.937060000	0.939478815	0.939298140
