# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2hna	1	d1	0.010000000	0.010000000	0.014710000	0.030472441	0.041349730	0.922923538	0.919895052	0.919750000	0.919516310	0.919718056
2hna	2	d1	0.010000000	0.012218891	0.028060000	0.042020997	0.048404319	0.910929535	0.914677661	0.917990000	0.916966629	0.916556689
2hna	3	d1	0.010000000	0.010000000	0.017170000	0.032369704	0.042777445	0.914347826	0.917301349	0.917000000	0.916591676	0.917348530
2hna	4	d1	0.010000000	0.010000000	0.021310000	0.036231721	0.046178764	0.911769115	0.914227886	0.912190000	0.914236970	0.915710858
2hna	5	d1	0.010000000	0.010000000	0.021490000	0.036944132	0.044469106	0.917946027	0.920119940	0.918560000	0.918128984	0.919856029
2hna	6	d1	0.010000000	0.010000000	0.016590000	0.031012373	0.044277145	0.920524738	0.917271364	0.915840000	0.915991751	0.916094781
2hna	7	d1	0.010000000	0.018665667	0.037640000	0.050337458	0.056382723	0.915367316	0.918035982	0.920640000	0.919703787	0.918464307
2hna	8	d1	0.010000000	0.010524738	0.031350000	0.050172478	0.054313137	0.491919040	0.497316342	0.499630000	0.499373828	0.497108578
2hna	9	d1	0.010000000	0.011289355	0.029720000	0.043760780	0.049694061	0.913598201	0.914737631	0.915420000	0.914694413	0.915998800
2hna	10	d1	0.010000000	0.010000000	0.017950000	0.032084739	0.044481104	0.922203898	0.921829085	0.909800000	0.912384702	0.913149370
2hna	11	d1	0.010000000	0.010000000	0.010000000	0.018458943	0.030827834	0.914557721	0.914482759	0.917280000	0.915886764	0.915572885
2hna	12	d1	0.010000000	0.010000000	0.012470000	0.024578178	0.035506899	0.887871064	0.900269865	0.904770000	0.906392951	0.907066587
2hna	13	d1	0.010000000	0.010000000	0.019890000	0.033224597	0.041277744	0.915877061	0.915787106	0.916120000	0.916171729	0.916082783
2hna	14	d1	0.010000000	0.026686657	0.045570000	0.052564679	0.058884223	0.499565217	0.497061469	0.498840000	0.498751406	0.495452909
