# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2hnh	1	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.899205397	0.898710645	0.894700000	0.895534308	0.896616677
2hnh	2	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.907661169	0.906701649	0.906630000	0.906790401	0.907054589
2hnh	3	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.889010495	0.887796102	0.886810000	0.885958005	0.885632873
2hnh	4	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.909970015	0.908890555	0.907070000	0.907097863	0.907300540
2hnh	5	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.905862069	0.898575712	0.893920000	0.891814773	0.890605879
2hnh	6	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010269946	0.810179910	0.810629685	0.810350000	0.809880015	0.803347331
2hnh	7	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.774707646	0.771094453	0.776540000	0.777544057	0.778716257
2hnh	8	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.902653673	0.904902549	0.906020000	0.906902887	0.906820636
2hnh	9	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.908290855	0.908605697	0.909070000	0.908012748	0.907888422
2hnh	10	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.904422789	0.905472264	0.905120000	0.905358080	0.905296941
2hnh	11	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.904602699	0.907016492	0.908010000	0.906467942	0.907126575
2hnh	12	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.909490255	0.907856072	0.907490000	0.907787777	0.908140372
2hnh	13	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.907241379	0.900569715	0.900220000	0.901773528	0.902801440
2hnh	14	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.908920540	0.909160420	0.908790000	0.908950131	0.908668266
2hnh	15	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.882593703	0.885322339	0.888040000	0.892519685	0.895920816
2hnh	16	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.905262369	0.906266867	0.907510000	0.908087739	0.908470306
2hnh	17	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.906011994	0.906806597	0.906500000	0.906550431	0.907210558
2hnh	18	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.907301349	0.907406297	0.907110000	0.906797900	0.907438512
2hnh	19	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.910000000	0.908890555	0.908290000	0.906557930	0.907000600
2hnh	20	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.907541229	0.907406297	0.908250000	0.907510311	0.907744451
2hnh	21	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.900164918	0.890749625	0.889440000	0.891627297	0.892801440
2hnh	22	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.909820090	0.909670165	0.908220000	0.907420322	0.907576485
2hnh	23	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.880284858	0.893973013	0.899050000	0.901023622	0.902195561
2hnh	24	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.905622189	0.907796102	0.908490000	0.908237720	0.903845231
2hnh	25	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.906251874	0.907241379	0.907230000	0.907517810	0.908014397
2hnh	26	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.011403719	0.908980510	0.909070465	0.909380000	0.909535058	0.909094181
2hnh	27	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.906311844	0.907181409	0.908000000	0.908072741	0.907654469
2hnh	28	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.894707646	0.895877061	0.894910000	0.891919760	0.890803839
2hnh	29	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.909070465	0.908695652	0.908090000	0.907517810	0.903959208
2hnh	30	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.882263868	0.882488756	0.884540000	0.884878140	0.884703059
2hnh	31	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.904812594	0.905382309	0.906410000	0.905103112	0.905236953
2hnh	32	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.909610195	0.907646177	0.907910000	0.907532808	0.907474505
2hnh	33	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.910000000	0.909100450	0.908700000	0.908425197	0.907144571
2hnh	34	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.907451274	0.906071964	0.906020000	0.906347957	0.906520696
