# pdbid	traj	last100	last200	last300	last400	last500
2id0	1	-4.621428876	-5.509996370	-5.107919450	-4.787202683	-4.649891414
2id0	2	-52.776331357	-52.546454357	-51.993830305	-51.714170592	-51.904305253
2id0	3	-2.510767946	-1.873519580	-2.270541705	-2.922935337	-3.014341624
2id0	4	-5.063693523	-5.221935643	-5.607702827	-6.226382212	-5.586186849
2id0	5	-49.881164280	-49.901146198	-49.801545372	-49.751814477	-49.714235952
2id0	6	-0.298864273	-0.008802055	-0.344027012	-0.094517516	0.254737366
2id0	7	-4.944181754	-4.251833990	-4.539620320	-4.555165780	-4.352946286
2id0	8	-1.437737864	-1.639873918	-1.499887660	-1.166644826	-1.112597789
2id0	9	-51.193756672	-50.554352898	-51.644349887	-51.373145150	-51.537616733
2id0	10	-51.989627324	-52.460924526	-52.597985485	-52.257511346	-50.814332142
2id0	11	-3.522711064	-3.641641669	-3.450653823	-2.715410487	-2.507055565
2id0	12	-2.873601552	-1.296557552	-1.739744240	-1.458103556	-1.267997344
2id0	13	-3.565917706	-3.680317072	-3.431512817	-3.196204331	-3.317269562
2id0	14	-51.725324228	-52.217170679	-51.747919915	-50.415889424	-50.648540394
2id0	15	-52.793494745	-52.707124241	-52.533073452	-53.076416924	-53.089832088
2id0	16	0.611158223	0.610151605	0.424242683	0.033200621	-0.241992788
2id0	17	-51.380240367	-51.586972313	-51.425434025	-51.618373585	-51.781383502
2id0	18	-49.340771627	-49.969074226	-49.594841657	-49.730783909	-49.633350439
2id0	19	-2.370814243	-3.823264023	-3.803958465	-3.760132145	-3.626504267
2id0	20	-1.536427181	-0.909186985	-1.545248217	-1.130381307	-0.986366193
2id0	21	-3.629518996	-3.896331537	-4.617731360	-4.585166639	-4.052892064
2id0	22	-53.425340877	-52.973420559	-51.449034893	-51.537724580	-51.681859930
2id0	23	-3.835180285	-4.545703832	-4.023716735	-4.161210244	-3.746291579
2id0	24	0.114881094	0.878581354	0.479135790	0.587219229	0.195867534
2id0	25	-54.580838958	-53.464709633	-53.355753508	-53.480034955	-53.237485406
2id0	26	-3.430070757	-3.806868500	-4.357185580	-4.146764679	-3.956946738
2id0	27	-3.400929213	-3.237630911	-3.515062575	-3.312684567	-3.376283438
2id0	28	-2.133982969	-3.414637713	-3.941247432	-3.929310917	-3.592703853
2id0	29	-3.363787991	-4.226549145	-4.868088808	-5.800815666	-5.188204189
2id0	30	0.016580952	0.112765677	0.038808300	0.271464636	0.375248592
2id0	31	0.988898823	-1.118800120	-1.902656147	-2.158988219	-2.450748631
2id0	32	2.380377901	0.504330596	0.461607228	0.586698045	0.030147029
2id0	33	-5.487972399	-5.061222763	-4.882148040	-4.724712178	-5.052030405
2id0	34	-52.658153733	-51.206595321	-50.735938930	-50.534186234	-50.275383310
2id0	35	-49.032072916	-49.198622156	-49.133681165	-49.096694595	-49.033295136
2id0	36	1.142867714	0.946509404	1.126166070	0.940957795	0.802816208
2id0	37	0.291823028	0.736639093	0.393170155	0.163400298	0.396350678
2id0	38	-51.765141402	-52.113109299	-51.944896703	-51.344271376	-51.161699231
2id0	39	-1.754836417	-1.470548564	-0.634446428	-0.328819871	-0.054250535
2id0	40	-3.441540742	-4.058102092	-4.204912463	-4.377623691	-4.391213168
2id0	41	-52.372941912	-52.304042013	-52.369275590	-52.373798301	-52.247470996
2id0	42	-52.138314258	-51.441361162	-51.268924303	-51.886731625	-52.235925404
2id0	43	-5.424943358	-5.173039513	-5.388897957	-5.314107478	-5.576542545
2id0	44	-0.509132421	-0.382596892	-0.132935652	0.010710133	-0.897651723
2id0	45	-4.599767099	-4.995180694	-4.126641905	-3.427376785	-3.132001924
2id0	46	1.019049235	0.846614466	-0.066488120	0.001427745	0.094534309
2id0	47	-30.609623163	-29.156003311	-29.439469522	-29.773671406	-29.869535007
2id0	48	-49.990034235	-49.777773266	-49.821082952	-49.977010772	-49.833830376
2id0	49	-1.415853981	0.096003097	-0.487122613	-0.851359329	-0.648020186
2id0	50	-29.811868778	-16.221627990	-12.192175915	-10.570094366	-9.460288754
