# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2jee	1	d1	0.010959520	0.037616192	0.066280000	0.104495688	0.131853629	0.500434783	0.487466267	0.491960000	0.496824147	0.496994601
2jee	2	d1	0.010000000	0.010000000	0.020680000	0.038466442	0.072705459	0.509700150	0.509715142	0.498030000	0.496741657	0.493293341
2jee	3	d1	0.010000000	0.024932534	0.045380000	0.069122610	0.097066587	0.498515742	0.495667166	0.488070000	0.483993251	0.484163167
2jee	4	d1	0.010000000	0.028290855	0.054460000	0.086655418	0.117534493	0.495637181	0.493883058	0.498020000	0.494934383	0.494151170
2jee	5	d1	0.010000000	0.022233883	0.049500000	0.083295838	0.110761848	0.504332834	0.496986507	0.492230000	0.489055118	0.485998800
2jee	6	d1	0.010000000	0.022113943	0.041580000	0.074266967	0.109196161	0.471109445	0.474917541	0.478110000	0.479531309	0.481811638
2jee	7	d1	0.010000000	0.014827586	0.039120000	0.074634421	0.104115177	0.479115442	0.483658171	0.487980000	0.485688039	0.485194961
2jee	8	d1	0.010000000	0.010000000	0.017800000	0.052789651	0.090725855	0.512308846	0.503343328	0.499630000	0.504533183	0.498800240
2jee	9	d1	0.010000000	0.019235382	0.039580000	0.070697413	0.105212957	0.487121439	0.493748126	0.490420000	0.488830146	0.489772046
2jee	10	d1	0.010000000	0.043763118	0.094900000	0.134004499	0.164487103	0.482713643	0.486641679	0.492460000	0.492699663	0.493407319
2jee	11	d1	0.010000000	0.010000000	0.016000000	0.033547057	0.063515297	0.490149925	0.492098951	0.488420000	0.489017623	0.490125975
2jee	12	d1	0.010000000	0.010000000	0.021360000	0.059246344	0.090965807	0.497676162	0.498485757	0.491260000	0.492219723	0.490983803
2jee	13	d1	0.014677661	0.073058471	0.130160000	0.166992876	0.196952609	0.497046477	0.497361319	0.497540000	0.499178853	0.500509898
2jee	14	d1	0.010000000	0.010000000	0.013840000	0.031192351	0.045368926	0.475277361	0.483028486	0.484620000	0.487870266	0.487420516
2jee	15	d1	0.010000000	0.049850075	0.100520000	0.132204724	0.163209358	0.490689655	0.484167916	0.478150000	0.480281215	0.482057588
2jee	16	d1	0.010119940	0.045862069	0.096000000	0.132977128	0.151373725	0.466221889	0.475382309	0.474440000	0.478826397	0.479406119
2jee	17	d1	0.010000000	0.013988006	0.047520000	0.082590926	0.112567487	0.489580210	0.490329835	0.490030000	0.490764904	0.492195561
2jee	18	d1	0.010000000	0.027301349	0.062360000	0.097386577	0.128938212	0.507061469	0.496551724	0.496470000	0.491687289	0.490845831
2jee	19	d1	0.010000000	0.016896552	0.033500000	0.058683915	0.094403119	0.477946027	0.494497751	0.494310000	0.496231721	0.496370726
2jee	20	d1	0.010000000	0.014557721	0.031680000	0.064623172	0.099646071	0.469970015	0.471229385	0.478700000	0.484173228	0.484625075
2jee	21	d1	0.010000000	0.019865067	0.075860000	0.119651294	0.149748050	0.483883058	0.479850075	0.484920000	0.484113236	0.485242951
2jee	22	d1	0.011979010	0.045472264	0.078660000	0.123078365	0.149856029	0.490000000	0.489550225	0.490990000	0.488185227	0.485188962
2jee	23	d1	0.010000000	0.010000000	0.024780000	0.042200975	0.070119976	0.496266867	0.487496252	0.491730000	0.491784777	0.489496101
2jee	24	d1	0.010000000	0.019295352	0.040600000	0.063483315	0.089100180	0.502503748	0.492218891	0.488260000	0.486595426	0.484313137
2jee	25	d1	0.010000000	0.034347826	0.069870000	0.108800150	0.135818836	0.501244378	0.497496252	0.499130000	0.496824147	0.495584883
2jee	26	d1	0.010000000	0.017406297	0.036600000	0.075646794	0.103731254	0.483073463	0.481244378	0.475960000	0.475991751	0.477144571
2jee	27	d1	0.010000000	0.010599700	0.042760000	0.082418448	0.111973605	0.501214393	0.497706147	0.491350000	0.488215223	0.490263947
2jee	28	d1	0.010000000	0.038425787	0.086630000	0.118533933	0.149340132	0.479715142	0.486401799	0.492920000	0.489392576	0.493065387
2jee	29	d1	0.010000000	0.023223388	0.054360000	0.093562055	0.125506899	0.468050975	0.476791604	0.478290000	0.478968879	0.482723455
2jee	30	d1	0.010000000	0.036086957	0.090350000	0.122695913	0.148128374	0.484002999	0.489805097	0.488210000	0.485590551	0.487162567
2jee	31	d1	0.010000000	0.027001499	0.045660000	0.079321335	0.114721056	0.484512744	0.482908546	0.481050000	0.483498313	0.480869826
2jee	32	d1	0.010000000	0.036086957	0.086330000	0.125553056	0.159952010	0.498515742	0.488830585	0.490770000	0.492752156	0.491295741
2jee	33	d1	0.010000000	0.020314843	0.080130000	0.114199475	0.143341332	0.470059970	0.478635682	0.485340000	0.489317585	0.492033593
2jee	34	d1	0.010000000	0.020434783	0.046840000	0.084210724	0.109622076	0.503793103	0.492563718	0.491650000	0.493787027	0.491277744
2jee	35	d1	0.010000000	0.035097451	0.075020000	0.117746532	0.141373725	0.471469265	0.481244378	0.485100000	0.480903637	0.484997001
2jee	36	d1	0.010000000	0.032038981	0.086340000	0.126655418	0.148824235	0.494737631	0.487886057	0.487750000	0.488920135	0.490269946
2jee	37	d1	0.010000000	0.019805097	0.058180000	0.100033746	0.128416317	0.496986507	0.493313343	0.493910000	0.496194226	0.492129574
2jee	38	d1	0.010000000	0.014407796	0.037440000	0.075864267	0.106124775	0.486491754	0.481409295	0.481940000	0.484668166	0.491343731
2jee	39	d1	0.010000000	0.010000000	0.017720000	0.043280840	0.078566287	0.493478261	0.481799100	0.484120000	0.487097863	0.487264547
2jee	40	d1	0.010000000	0.010000000	0.032780000	0.083820772	0.113395321	0.476776612	0.475742129	0.479210000	0.484158230	0.486760648
2jee	41	d1	0.010000000	0.014707646	0.060550000	0.106812898	0.135776845	0.478995502	0.492203898	0.495560000	0.491567304	0.488548290
2jee	42	d1	0.010000000	0.012518741	0.033160000	0.049745032	0.081883623	0.495247376	0.483748126	0.487910000	0.490907387	0.493755249
2jee	43	d1	0.010000000	0.016386807	0.038560000	0.057364079	0.094037193	0.496476762	0.492203898	0.491200000	0.487232846	0.486460708
2jee	44	d1	0.010000000	0.026341829	0.077410000	0.112662167	0.141763647	0.490509745	0.502188906	0.494590000	0.492924634	0.498446311
2jee	45	d1	0.010000000	0.030149925	0.083460000	0.121736033	0.148620276	0.497316342	0.500449775	0.504720000	0.501878515	0.495392921
2jee	46	d1	0.010000000	0.010000000	0.021320000	0.050644919	0.082429514	0.506761619	0.506776612	0.504120000	0.497236595	0.497036593
2jee	47	d1	0.010000000	0.015037481	0.043980000	0.085538058	0.116022795	0.507541229	0.502743628	0.497460000	0.495054368	0.495302939
2jee	48	d1	0.010000000	0.016746627	0.044360000	0.083498313	0.110881824	0.487331334	0.495202399	0.494850000	0.493802025	0.495476905
2jee	49	d1	0.010000000	0.014527736	0.037840000	0.082845894	0.120473905	0.472248876	0.462233883	0.471060000	0.474259468	0.480737852
2jee	50	d1	0.010000000	0.020284858	0.034180000	0.054319460	0.079658068	0.493478261	0.495427286	0.495800000	0.500041245	0.496382723
