# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2jrx	1	-0.439438608	-0.232832747	-0.087626514	-0.084715703	0.000009264	0.516363112	0.248657589	0.111044735	0.247485640	0.251441299
2jrx	2	0.445855059	0.017762741	0.110049287	0.118694807	0.121403730	-0.437093121	0.056298200	-0.156583591	-0.065295709	-0.097169304
2jrx	3	-0.052544287	0.107425467	0.318659028	0.181595252	0.093080253	0.025489823	0.187385332	0.133526068	0.010130193	-0.139913265
2jrx	4	-0.445268463	-0.129472613	0.042467044	0.085566983	0.106093245	-0.138590142	0.056465012	0.002059442	0.043008455	0.012178412
2jrx	5	-0.006139680	0.182542716	-0.060137193	-0.221604859	-0.108264767	0.545945918	0.139820490	-0.012145807	0.026990437	0.071416955
2jrx	6	-0.138394745	0.250189618	0.117598969	0.213145333	0.137137421	0.166048519	0.062666895	-0.065814211	-0.242613074	-0.145923031
2jrx	7	-0.135480409	-0.055237240	0.076557290	0.116227017	0.079737779	-0.345409935	-0.186122729	-0.228187662	-0.083756521	-0.129048329
2jrx	8	0.246003403	0.019395651	0.004250225	0.004876082	0.014264816	0.130784166	0.327107954	0.215888329	0.369770127	0.327144017
2jrx	9	0.173948792	0.231738732	0.110238712	0.028891076	0.055740484	0.239467745	0.330856341	0.277577078	0.111422248	0.036659507
2jrx	10	0.426515958	0.005409509	0.143353762	0.167222676	0.111153354	0.246466073	0.185023895	0.048426279	-0.060604210	-0.128931024
2jrx	11	-0.020153878	-0.228884053	-0.105258998	-0.083110597	-0.100536059	-0.442419200	-0.238797057	-0.371411335	-0.287367500	-0.184432188
2jrx	12	-0.099843011	-0.263822365	-0.200655006	-0.172398963	-0.200782691	-0.038894969	-0.181435145	-0.013004757	-0.140754389	-0.249147238
2jrx	13	-0.253458076	-0.324277456	-0.134153233	-0.150760384	-0.141842219	-0.119734582	-0.184845379	-0.111638509	0.008310736	-0.046827997
2jrx	14	0.621893920	0.400191110	0.332878380	0.265556786	0.375916032	0.038987632	-0.084195820	-0.173604557	-0.161928037	-0.038807647
2jrx	15	-0.083931902	-0.129404795	-0.147152132	0.029818110	-0.025962943	-0.110576171	-0.265214752	-0.286333230	-0.246921681	-0.252345219
2jrx	16	-0.119632293	-0.031374157	0.097194533	0.102783824	0.070587207	0.013970424	0.137217003	0.242083252	0.290031916	0.172741869
2jrx	17	0.243646986	-0.012702964	-0.038891473	-0.074426486	-0.129406627	0.870094950	0.653706890	0.434257125	0.290772240	0.208279933
2jrx	18	0.323603107	0.387037514	0.218695363	0.125389191	0.181636037	0.109968288	0.315260517	0.247448192	0.272917224	0.241982047
2jrx	19	0.647700329	0.332782732	0.018076695	-0.172875946	-0.192974143	-0.386361979	-0.017543546	0.115447759	0.038527247	-0.038836192
2jrx	20	-0.420933676	-0.323837776	-0.168055386	-0.115184161	-0.009905884	-0.135097280	0.148062658	0.287294573	0.125824194	0.114348485
2jrx	21	0.076906101	-0.008742097	-0.095446735	-0.063010340	-0.057279457	0.066789303	0.058152763	-0.043102214	-0.060095111	-0.032464448
2jrx	22	-0.036817016	-0.095381762	0.274277260	0.342093395	0.266291578	0.164140721	-0.007231088	0.017959534	-0.067025880	0.000810920
2jrx	23	-0.116863991	-0.322267868	-0.163686577	-0.058265714	-0.092952195	-0.247988361	-0.207571577	-0.026598037	0.022578552	-0.173861144
2jrx	24	-0.501651098	-0.349021538	-0.210177585	-0.212692621	-0.192676130	0.033386813	-0.020320292	0.147700386	0.111089206	0.002972722
2jrx	25	0.048834775	-0.143097188	-0.100696631	-0.227918012	-0.112877658	0.114272993	0.023372758	-0.088587717	-0.145428998	-0.120823577
2jrx	26	0.352018176	0.252053400	0.190391738	0.088293247	0.013122312	-0.628276543	-0.319023561	-0.188102460	-0.213280692	-0.307879784
2jrx	27	0.369277250	0.273737165	0.097870837	0.080099336	0.057952903	0.262029975	0.414157691	0.238295294	0.255126043	0.214845144
2jrx	28	0.029579607	0.112804902	0.108120793	0.012382527	0.040459752	-0.079325797	-0.058076957	-0.131086995	-0.328088054	-0.227706096
2jrx	29	-0.061469676	-0.110516430	-0.093579481	0.008596256	-0.070028612	0.794131718	0.365428899	0.161333943	0.167053489	0.275154996
2jrx	30	-0.145854833	0.070579396	0.181803287	0.084056810	0.022223204	0.032251803	-0.084882489	-0.074204878	-0.019549214	0.074627767
2jrx	31	-0.311543717	-0.195826924	-0.150023143	-0.136584145	-0.027200613	-0.281758651	-0.145927463	-0.312443770	-0.287080440	-0.226363359
2jrx	32	0.295305796	0.096592534	0.086770303	0.003228434	0.003781089	-0.121442563	-0.034640314	-0.083496937	0.017398243	0.006927251
2jrx	33	-0.461185679	-0.067288284	-0.185987944	0.055609086	-0.009132831	0.043450511	0.045111866	0.004889773	0.044571936	0.086091799
2jrx	34	0.214379424	0.200274937	0.290610450	0.265656600	0.077821729	0.657102452	0.185254441	0.232219570	0.131798358	0.142294020
