# pdbid	traj	last100	last200	last300	last400	last500
2jrx	1	-0.710401282	-0.461455883	-0.399009707	-0.558822013	-0.481226153
2jrx	2	0.904713111	-0.097220735	0.085694685	-0.143484413	-0.234664752
2jrx	3	0.211611229	0.121860236	0.222458770	0.166018410	0.271489201
2jrx	4	-0.016008141	0.006719681	0.103057575	-0.003141785	-0.039281429
2jrx	5	-0.765371012	-0.420552343	-0.079320958	-0.043278605	-0.172842929
2jrx	6	-0.519854093	-0.822216352	-0.391919720	0.021183466	-0.196530966
2jrx	7	-0.185238411	-0.093201057	-0.043192640	-0.087076005	0.071586525
2jrx	8	-0.124490442	-0.563826839	-0.229004463	-0.057890463	-0.104187998
2jrx	9	0.048959925	-0.612791335	-0.619732423	-0.613182773	-0.481410982
2jrx	10	-0.717362654	-0.770267792	-0.343848947	-0.020335324	0.183060685
2jrx	11	0.132727399	0.223649921	0.351969145	0.105651644	0.177328790
2jrx	12	-0.377856034	-0.385302928	-0.557279438	-0.301709687	0.028418083
2jrx	13	-0.563332039	-0.158767323	-0.235028488	-0.402720167	-0.278137843
2jrx	14	-0.340452091	0.134918673	0.120783772	0.125158211	0.040759355
2jrx	15	0.615378883	1.157991346	0.833072102	0.632357373	0.581382221
2jrx	16	0.804043411	0.034438545	-0.195835210	-0.396609569	-0.206415523
2jrx	17	-0.509653613	-0.327981684	-0.372673110	-0.217488665	0.004835325
2jrx	18	-0.058642114	-0.348379363	-0.418557070	-0.375152855	-0.381680450
2jrx	19	0.682648373	-0.108976487	0.002419460	-0.091544874	0.147322998
2jrx	20	0.186694520	-0.396990307	-0.454593985	-0.370435049	-0.308319876
2jrx	21	-0.933021402	-0.387262280	-0.207371120	-0.128383721	-0.076631479
2jrx	22	-0.397499385	-0.105108403	-0.129504103	-0.122709663	-0.088108122
2jrx	23	0.749506529	-0.131297383	-0.412398088	-0.315307544	-0.046743945
2jrx	24	0.695518021	0.241475039	0.245371870	0.427743969	0.584375955
2jrx	25	0.510280030	0.074274042	0.353607607	0.307548166	0.370447467
2jrx	26	1.008023118	0.510505497	0.370388307	0.418225268	0.242496591
2jrx	27	0.029792871	-0.371894511	-0.220759505	-0.218782203	-0.184530327
2jrx	28	0.626971664	0.449128350	0.317065402	0.468795373	0.435873499
2jrx	29	-1.647562946	-0.878332486	-0.105561368	0.039459479	-0.053720036
2jrx	30	-0.306633403	-0.315201129	-0.122630665	-0.212437042	-0.230112230
2jrx	31	0.139450975	-0.032257057	0.123665912	0.063330109	-0.066954794
2jrx	32	0.108950712	0.047713532	-0.070255738	-0.025366980	0.138402710
2jrx	33	-0.920260135	-0.646900367	-0.710061475	-0.728178851	-0.641962965
2jrx	34	0.043477354	0.377449719	0.020104612	0.028981033	-0.100941620
2jrx	35	0.164894183	-0.396881965	-0.304479910	0.038981389	-0.142707131
2jrx	36	-0.736854633	-0.558865448	-0.405048420	-0.284469387	-0.399519738
2jrx	37	1.313112159	0.767541980	0.447853485	0.524009516	0.522789396
2jrx	38	-0.566874108	0.110530086	0.103925995	-0.044187992	-0.129190985
2jrx	39	-0.362454393	0.094624799	-0.011758173	0.134871652	0.169102769
2jrx	40	0.181789160	0.428528785	0.194221667	0.330137936	0.311392736
2jrx	41	0.716366012	0.107091477	-0.008979393	-0.038217994	-0.050371300
2jrx	42	0.162333306	0.112002418	0.371673093	0.330980480	0.214013534
2jrx	43	-1.095744768	-1.006697428	-0.602100045	-0.298511020	-0.177137150
2jrx	44	-0.058577211	0.103472355	0.017811903	-0.162429754	-0.321095583
2jrx	45	0.732373621	0.153782688	0.256205247	0.214088022	0.168570136
2jrx	46	-0.100251769	-0.023867825	0.371201445	0.560198813	0.649643244
2jrx	47	-0.025184213	-0.024481196	-0.166613998	-0.072953121	-0.054281485
2jrx	48	0.766545652	0.365564001	0.099905910	0.382427375	0.291808245
2jrx	49	0.166834783	0.258405099	0.343329945	0.455863354	0.437617243
2jrx	50	-0.077347796	0.006961354	0.050629720	0.181595358	0.283137603
