# pdbid	traj	last100	last200	last300	last400	last500
2pth	1	-0.017351739	0.458429554	0.649305370	-0.014797546	-0.248986073
2pth	2	0.862798133	-0.180207945	-0.208805907	-0.196823849	-0.053586610
2pth	3	-2.667240180	-1.438364282	-0.183083615	-0.115231099	0.017174548
2pth	4	0.864171312	0.631298493	-0.099164388	0.458760742	0.861272028
2pth	5	0.557700570	0.363195407	0.765854363	0.996883410	1.371651816
2pth	6	-0.696837519	-0.882014409	-0.269237890	-0.157337565	-0.279528421
2pth	7	-0.846776192	0.074249123	-0.406196890	-0.553880189	-1.212840813
2pth	8	-1.449285667	-1.740415632	-1.359965928	-1.330116999	-1.366287699
2pth	9	-13.348853366	-32.360142658	-31.202238982	-26.249979184	-23.464960777
2pth	10	1.213624565	1.056540881	0.526634473	0.545163633	0.585459306
2pth	11	-1.485770060	-1.129198249	-0.826768083	-0.448890184	-0.367712740
2pth	12	-0.802443538	-0.484753217	-0.108741262	-0.216675426	-0.031886202
2pth	13	1.930925802	0.742846877	1.061179497	0.915033339	0.810923804
2pth	14	-0.618576702	-0.566963558	-0.525821290	0.073257942	-0.265944677
2pth	15	-1.078915705	-0.219317113	-0.617165200	-0.557832754	-0.659439175
2pth	16	1.363611979	-0.032738575	-0.240519770	0.343291097	0.052386442
2pth	17	1.136711799	-0.266907177	-0.843744077	-0.592729811	-0.536279475
2pth	18	0.797637474	0.397109858	0.246573340	0.213822403	0.171626300
2pth	19	-1.464952804	-1.038579813	-0.989460727	-0.686337182	-0.257094453
2pth	20	2.271261357	0.474741567	0.315730260	-0.649455630	-0.415454185
2pth	21	-0.074830960	0.392513273	-0.459293730	-0.555212698	-0.536270720
2pth	22	-10.929798771	-10.431342107	-11.008789062	-10.822378371	-10.569575788
2pth	23	1.368823868	0.502785216	0.528827100	-0.078063031	0.095702658
2pth	24	2.490330135	1.970404788	1.557366258	0.829570997	0.561203537
2pth	25	3.176223486	1.353356430	0.654506352	-0.363128195	-0.173851089
2pth	26	-0.846784813	-0.012525253	-0.207037607	-0.753178633	-0.963681894
2pth	27	-1.166247781	-0.633460990	-0.574075757	-0.587479179	-0.794318673
2pth	28	0.720711912	0.137497195	-0.478866025	-0.226472985	0.074300474
2pth	29	1.432750592	1.009640855	1.090316110	1.130295692	0.647587566
2pth	30	0.016519408	-0.518666562	0.527972405	0.480617887	0.195647923
2pth	31	0.210803336	1.105518414	0.501439848	0.606175311	0.431254438
2pth	32	-0.675914490	0.284921129	0.162637718	0.109457411	0.394725308
2pth	33	-0.046078726	-0.813525077	-0.619776265	-0.087547426	-0.049134701
2pth	34	0.989350562	0.561482186	0.977642815	0.582357032	0.532488242
2pth	35	-11.347116814	-11.506924818	-11.833799358	-12.040500994	-11.848374110
2pth	36	0.783297309	-0.182110022	-0.421882895	-0.233967525	-0.220290135
2pth	37	0.937188508	-0.320385287	-0.407091757	-0.288112893	-0.207763300
2pth	38	0.265582774	-0.493899820	-0.920275572	-0.474330516	-0.243764803
2pth	39	1.970010847	0.104891024	0.249621963	0.532462238	0.380119105
2pth	40	-0.675952549	0.520391665	0.085219965	0.148591380	0.007241761
2pth	41	1.646593081	0.950250765	0.349201317	0.590837488	0.620176306
2pth	42	1.692252114	0.816549888	1.101618412	1.496539878	1.078368133
2pth	43	-0.177770892	0.352115021	0.530156485	0.862212128	1.087004962
2pth	44	-0.889815952	-0.923116370	-0.837658937	-0.249302715	-0.020421024
2pth	45	0.775468028	-0.026245298	-0.306213223	-0.112333161	-0.363546973
2pth	46	-1.513124018	-0.697408759	0.194380420	0.506690637	0.429164551
2pth	47	-12.643348876	-11.743065148	-11.024441905	-11.292667782	-11.495346211
2pth	48	-0.575486282	-0.405831125	-0.430558047	0.221020568	0.395790126
2pth	49	-0.437302271	0.339714754	0.323972845	0.591481504	0.753776706
2pth	50	0.643748441	-0.012525129	0.865008195	1.038300883	0.483962665
