# pdbid	traj	last100	last200	last300	last400	last500
2qvr	1	-0.362978741	-0.290510570	-0.076766908	-0.063569548	0.101867846
2qvr	2	-0.086231402	-0.120524792	-0.139472695	0.029045017	0.031668958
2qvr	3	0.448684520	0.408421710	0.516282265	0.041615658	0.008166646
2qvr	4	0.524609340	0.218806813	0.213364443	0.083455793	0.232038898
2qvr	5	0.256714453	0.375087068	0.270606410	0.465495690	0.243348061
2qvr	6	0.978350210	1.223956565	0.866630968	0.727000615	0.730052427
2qvr	7	0.228893651	0.217690964	0.245015060	0.213046520	0.136047804
2qvr	8	0.830046597	0.322552617	0.245748330	0.328072098	-0.230192784
2qvr	9	-4.694177849	-2.295317015	-1.867264312	-1.249538787	-1.120917596
2qvr	10	0.183876672	-0.144139738	-0.240601208	0.252234342	0.323537395
2qvr	11	0.730310405	0.047696374	0.034519075	0.122094160	0.088360478
2qvr	12	0.484899085	0.502480094	0.514521115	0.404892717	0.301716814
2qvr	13	0.216978306	-0.350787387	0.003463853	0.202239396	0.266050715
2qvr	14	0.788998741	0.397603251	0.528068347	0.307433770	0.213153891
2qvr	15	0.701171574	-1.786233952	-2.060837695	-1.535543418	-1.208267093
2qvr	16	1.081212121	0.600066228	0.548979060	0.111389985	0.236379523
2qvr	17	0.502096679	0.378836217	0.072328545	-0.116561849	0.066712791
2qvr	18	1.126219453	0.704701530	0.493463832	0.339212165	0.239898571
2qvr	19	0.186976664	0.085218046	0.620205683	0.488450118	0.369370048
2qvr	20	-0.498447759	0.198485317	0.421069700	0.280835621	0.354457527
2qvr	21	0.594773433	0.770039025	0.637123863	-0.330720797	-0.267119532
2qvr	22	0.666299393	0.438448219	0.278998887	0.451359869	0.376082548
2qvr	23	0.568317841	-0.064680420	-0.152878777	0.214702580	0.336690919
2qvr	24	0.292893321	0.047463630	0.096764305	-0.226618438	-0.251299721
2qvr	25	1.006569978	0.594969246	0.408388237	0.000010647	-0.090126523
2qvr	26	0.007296822	0.240628095	-0.112102933	-0.278277520	-0.360188925
2qvr	27	0.114571949	0.274200982	-0.269306973	-0.140851432	-0.214211021
2qvr	28	0.339695457	0.077710904	0.140938085	0.212390506	0.063109549
2qvr	29	0.294221312	0.018101312	0.242647865	0.493319252	0.385894534
2qvr	30	-0.907656364	-0.605566010	-0.400320545	-1.011568337	-0.709046271
2qvr	31	-0.170551439	0.559222763	0.158462230	0.017344153	0.098081932
2qvr	32	0.441187466	0.237985043	0.475518830	0.399270947	0.346325433
2qvr	33	-0.849813043	-0.133123273	-0.486267312	-0.088186007	-0.141783756
2qvr	34	-0.280870150	0.075520176	-0.309769325	-0.321090137	-0.446640561
2qvr	35	0.167961507	0.166892707	-0.130058793	-0.058395831	-0.133843979
2qvr	36	0.401919895	-0.173944773	-0.026555935	-0.033087552	-0.054520832
2qvr	37	-0.297671979	-0.178604664	-0.495839155	-0.421765694	-0.002335446
2qvr	38	-1.694586057	-0.892546517	-0.618006675	-0.689450377	-0.494869643
2qvr	39	-0.632650472	0.146825834	0.579005382	0.479083270	0.321338509
2qvr	40	1.098834828	0.898987499	0.951704415	0.365279505	0.303672106
2qvr	41	-0.584554625	-0.351244788	-1.485011190	-1.104393725	-1.027939361
2qvr	42	0.845935892	0.214830712	0.405898797	0.506678570	0.399397801
2qvr	43	-0.566025675	-0.403108605	-0.137561170	-0.333901097	0.053567783
2qvr	44	1.125329175	0.665401324	0.607847480	0.455345399	0.619831803
2qvr	45	0.066936529	0.301155572	0.353355732	0.137109505	0.095692949
2qvr	46	1.032208388	0.446639186	-0.232059330	-0.156402437	-0.244317606
2qvr	47	0.686621499	0.386372670	0.595354605	0.497084964	0.263235398
2qvr	48	0.684392121	0.238006059	-0.240290825	-0.231898316	-0.017517479
2qvr	49	-1.911735525	-1.093213240	-0.705431017	-0.679842197	-0.421207473
2qvr	50	0.905082781	-0.182105729	-0.263114598	-0.080339286	0.169962433
