# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2v81	1	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010707858	0.175847076	0.174857571	0.173890000	0.173299588	0.174007199
2v81	2	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.930000000	0.929595202	0.928510000	0.928830146	0.928686263
2v81	3	d1	0.010000000	0.010000000	0.010550000	0.012092238	0.014517097	0.172038981	0.174182909	0.175390000	0.174266967	0.175086983
2v81	4	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.176806597	0.177721139	0.177010000	0.176576678	0.176634673
2v81	5	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.177196402	0.176311844	0.175110000	0.175346832	0.175590882
2v81	6	d1	0.010000000	0.010000000	0.010010000	0.013914511	0.017108578	0.174737631	0.173028486	0.172980000	0.174589426	0.176274745
2v81	7	d1	0.010000000	0.010000000	0.010180000	0.012977128	0.016382723	0.174467766	0.174452774	0.173740000	0.174146982	0.175524895
2v81	8	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010215957	0.175607196	0.175337331	0.176560000	0.175556805	0.177042591
2v81	9	d1	0.010000000	0.010000000	0.010900000	0.012932133	0.015944811	0.173748126	0.174692654	0.176760000	0.176059243	0.184985003
2v81	10	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010065987	0.170779610	0.173493253	0.172850000	0.172264717	0.173533293
2v81	11	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.011193761	0.174197901	0.175487256	0.175720000	0.176051744	0.177096581
2v81	12	d1	0.010000000	0.010000000	0.010000000	0.010622422	0.011199760	0.174857571	0.172653673	0.172820000	0.174994376	0.174595081
2v81	13	d1	0.010000000	0.010000000	0.010000000	0.011042370	0.014757049	0.174617691	0.174902549	0.176180000	0.176659168	0.175770846
2v81	14	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.927991004	0.928980510	0.929140000	0.929355081	0.929466107
2v81	15	d1	0.010000000	0.010000000	0.010000000	0.010322460	0.011145771	0.176056972	0.175967016	0.175260000	0.175496813	0.175416917
2v81	16	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010857828	0.175547226	0.174302849	0.174400000	0.174904387	0.174925015
2v81	17	d1	0.010000000	0.010000000	0.010000000	0.011814773	0.014547091	0.929070465	0.929055472	0.929370000	0.929527559	0.929610078
2v81	18	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010221956	0.176026987	0.174017991	0.175290000	0.175376828	0.175770846
2v81	19	d1	0.010000000	0.010000000	0.010000000	0.010329959	0.011235753	0.173688156	0.173673163	0.174410000	0.173697038	0.174565087
2v81	20	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.175217391	0.173853073	0.172900000	0.173082115	0.173581284
2v81	21	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.012087582	0.930000000	0.930000000	0.930000000	0.929955006	0.929874025
2v81	22	d1	0.010000000	0.010000000	0.010000000	0.010037495	0.012819436	0.175127436	0.176791604	0.176350000	0.176239220	0.176280744
2v81	23	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010515897	0.173928036	0.174812594	0.173730000	0.173239595	0.174019196
2v81	24	d1	0.010000000	0.010000000	0.011200000	0.014206974	0.017366527	0.177826087	0.176086957	0.176710000	0.175639295	0.174715057
2v81	25	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010095981	0.173538231	0.173778111	0.175250000	0.174791901	0.174589082
2v81	26	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010107978	0.171709145	0.171409295	0.171110000	0.171424822	0.172963407
2v81	27	d1	0.010000000	0.010000000	0.010920000	0.012527184	0.016022795	0.177526237	0.175847076	0.175520000	0.175406824	0.174673065
2v81	28	d1	0.010000000	0.010000000	0.011430000	0.014506937	0.017606479	0.174797601	0.175577211	0.175980000	0.175939258	0.175722855
2v81	29	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.177616192	0.175442279	0.175970000	0.175586802	0.176562687
2v81	30	d1	0.010000000	0.010000000	0.010000000	0.010509936	0.010665867	0.171289355	0.172518741	0.173210000	0.173509561	0.173167367
2v81	31	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010017996	0.172908546	0.173958021	0.174320000	0.174566929	0.173785243
2v81	32	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.415667166	0.296476762	0.254810000	0.234844394	0.222123575
2v81	33	d1	0.010000000	0.010000000	0.011210000	0.012512186	0.015380924	0.179385307	0.177151424	0.176950000	0.178151481	0.178002400
2v81	34	d1	0.010000000	0.010000000	0.010000000	0.010254968	0.010203959	0.172818591	0.173568216	0.174370000	0.175346832	0.176544691
2v81	35	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.012573485	0.178185907	0.178440780	0.178690000	0.177101612	0.176166767
2v81	36	d1	0.010000000	0.010000000	0.010000000	0.010532433	0.013749250	0.176776612	0.177301349	0.175770000	0.175279340	0.175050990
2v81	37	d1	0.010000000	0.010000000	0.010000000	0.011942257	0.015404919	0.176416792	0.175007496	0.175570000	0.175504312	0.176088782
2v81	38	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.012855429	0.171799100	0.175337331	0.175790000	0.177694038	0.178230354
2v81	39	d1	0.010000000	0.010000000	0.010000000	0.010532433	0.011547690	0.180824588	0.178500750	0.178170000	0.177994001	0.178278344
2v81	40	d1	0.010000000	0.010000000	0.010000000	0.010944882	0.012951410	0.180344828	0.181034483	0.178610000	0.178061492	0.177312537
2v81	41	d1	0.010000000	0.010000000	0.010000000	0.010929884	0.013437313	0.174197901	0.174347826	0.175370000	0.175316835	0.174709058
2v81	42	d1	0.010000000	0.010000000	0.010000000	0.010202475	0.010161968	0.178065967	0.176791604	0.177490000	0.176816648	0.177042591
2v81	43	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010455909	0.173058471	0.173748126	0.174010000	0.173644544	0.175278944
2v81	44	d1	0.010000000	0.010000000	0.010000000	0.010127484	0.011073785	0.175667166	0.176266867	0.174400000	0.175316835	0.175866827
2v81	45	d1	0.010000000	0.010000000	0.010000000	0.010749906	0.011691662	0.930000000	0.925322339	0.926880000	0.927315336	0.927852430
