# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
3bmb	1	d1	0.010000000	0.010000000	0.015100000	0.028522685	0.042741452	0.923193403	0.926326837	0.926620000	0.925238095	0.926190762
3bmb	2	d1	0.010000000	0.010000000	0.015370000	0.028695163	0.040149970	0.925142429	0.927466267	0.927200000	0.926707912	0.927282543
3bmb	3	d1	0.010000000	0.010000000	0.016870000	0.029752531	0.037804439	0.930000000	0.929985007	0.927510000	0.927840270	0.928188362
3bmb	4	d1	0.010000000	0.011424288	0.014150000	0.027510311	0.036190762	0.928980510	0.927436282	0.927980000	0.928455193	0.928296341
3bmb	5	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.018536293	0.929460270	0.928605697	0.926930000	0.926677915	0.927336533
3bmb	6	d1	0.010000000	0.010000000	0.010560000	0.024945632	0.033839232	0.929010495	0.927841079	0.926810000	0.927045369	0.926808638
3bmb	7	d1	0.010000000	0.010000000	0.010090000	0.023850769	0.033089382	0.929910045	0.929250375	0.928460000	0.928740157	0.928764247
3bmb	8	d1	0.010000000	0.010000000	0.016290000	0.029722535	0.038920216	0.929850075	0.929325337	0.928260000	0.927315336	0.926934613
3bmb	9	d1	0.010000000	0.010000000	0.012330000	0.026947882	0.039466107	0.928410795	0.929205397	0.929010000	0.929250094	0.929232154
3bmb	10	d1	0.010000000	0.015952024	0.032260000	0.046422947	0.061151770	0.927271364	0.928455772	0.928580000	0.927015373	0.927612478
3bmb	11	d1	0.010000000	0.014977511	0.033150000	0.042725909	0.055716857	0.921724138	0.925742129	0.923690000	0.925148106	0.925062987
3bmb	12	d1	0.010000000	0.010000000	0.010000000	0.010629921	0.020035993	0.926641679	0.926971514	0.925540000	0.924990626	0.925980804
3bmb	13	d1	0.010000000	0.010000000	0.013720000	0.027525309	0.039646071	0.928740630	0.928290855	0.928250000	0.928687664	0.928470306
3bmb	14	d1	0.010000000	0.010000000	0.010000000	0.016696663	0.026982603	0.926701649	0.926146927	0.926180000	0.926355456	0.926418716
3bmb	15	d1	0.010000000	0.010000000	0.010000000	0.011799775	0.023257349	0.927841079	0.928440780	0.926660000	0.926985377	0.927498500
3bmb	16	d1	0.010000000	0.010000000	0.010690000	0.017349081	0.026154769	0.928380810	0.927226387	0.927560000	0.927810274	0.928038392
3bmb	17	d1	0.010000000	0.010000000	0.010380000	0.016621672	0.027228554	0.927361319	0.927391304	0.928170000	0.928627672	0.928626275
3bmb	18	d1	0.010000000	0.010000000	0.010420000	0.017964004	0.028338332	0.873718141	0.875037481	0.870490000	0.875204349	0.874463107
3bmb	19	d1	0.010000000	0.011274363	0.012430000	0.022748406	0.032207558	0.929040480	0.928920540	0.928650000	0.928035246	0.928380324
3bmb	20	d1	0.010000000	0.010000000	0.010000000	0.023978253	0.033803239	0.921214393	0.923223388	0.923050000	0.924450694	0.924607079
3bmb	21	d1	0.010000000	0.010284858	0.020190000	0.032647169	0.040119976	0.928380810	0.926266867	0.926170000	0.926130484	0.926676665
3bmb	22	d1	0.010000000	0.010000000	0.023160000	0.036861642	0.052321536	0.922053973	0.924227886	0.923980000	0.924690664	0.925674865
3bmb	23	d1	0.010000000	0.010000000	0.011480000	0.025815523	0.035716857	0.929940030	0.929895052	0.929720000	0.929092613	0.928818236
3bmb	24	d1	0.010000000	0.010000000	0.018260000	0.031154856	0.043233353	0.926761619	0.928380810	0.927660000	0.927360330	0.927300540
3bmb	25	d1	0.010000000	0.013388306	0.030340000	0.040408699	0.046838632	0.922833583	0.925307346	0.926450000	0.926467942	0.927174565
3bmb	26	d1	0.010000000	0.010000000	0.012100000	0.024458193	0.037858428	0.927571214	0.925652174	0.924740000	0.925778028	0.925962807
3bmb	27	d1	0.010000000	0.010000000	0.022390000	0.035661792	0.048896221	0.926611694	0.928305847	0.928870000	0.927892763	0.928278344
3bmb	28	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010197960	0.930000000	0.930000000	0.927100000	0.926730409	0.926844631
3bmb	29	d1	0.010000000	0.010000000	0.010000000	0.017581552	0.028068386	0.926341829	0.926806597	0.927690000	0.928140232	0.927990402
3bmb	30	d1	0.010000000	0.010029985	0.020210000	0.032662167	0.040671866	0.914167916	0.921109445	0.923240000	0.924173228	0.924613077
3bmb	31	d1	0.010000000	0.010000000	0.010000000	0.012789651	0.023827235	0.929310345	0.928755622	0.929170000	0.928275216	0.927708458
3bmb	32	d1	0.010000000	0.010000000	0.010000000	0.010539933	0.018692262	0.927631184	0.928815592	0.927900000	0.928425197	0.928740252
3bmb	33	d1	0.010000000	0.010000000	0.010380000	0.020011249	0.029856029	0.927751124	0.927136432	0.928090000	0.927390326	0.927234553
3bmb	34	d1	0.010000000	0.010000000	0.018050000	0.030794901	0.042309538	0.922263868	0.925397301	0.925830000	0.926872891	0.927498500
3bmb	35	d1	0.010000000	0.010000000	0.017490000	0.029160105	0.037276545	0.926731634	0.927751124	0.927510000	0.926482940	0.927156569
3bmb	36	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.011007798	0.915967016	0.918770615	0.922510000	0.924338208	0.925056989
3bmb	37	d1	0.010000000	0.010000000	0.024100000	0.035579303	0.047774445	0.882563718	0.877526237	0.879520000	0.887765279	0.888056389
3bmb	38	d1	0.010000000	0.010000000	0.010000000	0.017859018	0.028290342	0.928350825	0.926551724	0.927240000	0.927457818	0.927456509
3bmb	39	d1	0.010000000	0.010000000	0.010700000	0.017326584	0.027864427	0.926281859	0.927676162	0.928330000	0.927165354	0.925890822
3bmb	40	d1	0.010000000	0.010000000	0.011620000	0.026025497	0.040827834	0.927031484	0.927331334	0.927550000	0.927435321	0.927852430
3bmb	41	d1	0.010000000	0.010000000	0.010430000	0.023288339	0.034745051	0.930000000	0.928245877	0.928590000	0.927810274	0.927882424
3bmb	42	d1	0.010000000	0.010284858	0.023200000	0.037844019	0.052273545	0.925382309	0.925772114	0.927000000	0.926587927	0.926334733
3bmb	43	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.015806839	0.926131934	0.926866567	0.924690000	0.924383202	0.924415117
3bmb	44	d1	0.010000000	0.010000000	0.024860000	0.042410949	0.055308938	0.917826087	0.923403298	0.924110000	0.925493063	0.925536893
3bmb	45	d1	0.010000000	0.010000000	0.022720000	0.034544432	0.042111578	0.930000000	0.928920540	0.929280000	0.929460067	0.929322136
3bmb	46	d1	0.010000000	0.010000000	0.012710000	0.026347957	0.035446911	0.925052474	0.924272864	0.925310000	0.925538058	0.926076785
3bmb	47	d1	0.010000000	0.010000000	0.016280000	0.027720285	0.037372525	0.928170915	0.926986507	0.926420000	0.925980502	0.926214757
3bmb	48	d1	0.010000000	0.010179910	0.010300000	0.023280840	0.038074385	0.927301349	0.925652174	0.926920000	0.925905512	0.926634673
3bmb	49	d1	0.010000000	0.010000000	0.010000000	0.021001125	0.035530894	0.929460270	0.927811094	0.928430000	0.928687664	0.928494301
3bmb	50	d1	0.010000000	0.010000000	0.010000000	0.022958380	0.038968206	0.928530735	0.928410795	0.928920000	0.927375328	0.927606479
