# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
3brq	1	d1	0.023913043	0.035427286	0.050260000	0.077379078	0.107888422	0.304422789	0.311109445	0.313570000	0.314184477	0.317294541
3brq	2	d1	0.010000000	0.017046477	0.037370000	0.065688039	0.100833833	0.307001499	0.297541229	0.299720000	0.302005999	0.303167367
3brq	3	d1	0.060014993	0.111499250	0.155610000	0.192107237	0.212429514	0.304812594	0.307391304	0.309460000	0.309340082	0.306838632
3brq	4	d1	0.016836582	0.028860570	0.054240000	0.073637045	0.101529694	0.303313343	0.310599700	0.306020000	0.313682040	0.310653869
3brq	5	d1	0.035547226	0.066881559	0.118680000	0.163888264	0.193443311	0.303613193	0.309325337	0.308780000	0.308087739	0.306928614
3brq	6	d1	0.025262369	0.033688156	0.049710000	0.065433071	0.093593281	0.304572714	0.308845577	0.307080000	0.305755531	0.307072585
3brq	7	d1	0.026611694	0.045397301	0.069110000	0.103205849	0.138626275	0.313778111	0.313958021	0.311130000	0.312032246	0.310425915
3brq	8	d1	0.015637181	0.033958021	0.060020000	0.086797900	0.113965207	0.292578711	0.296731634	0.305950000	0.304000750	0.303623275
3brq	9	d1	0.023433283	0.032038981	0.045360000	0.068942632	0.102351530	0.312578711	0.310134933	0.304680000	0.306497938	0.305620876
3brq	10	d1	0.010000000	0.019580210	0.032570000	0.046587927	0.077834433	0.293958021	0.299280360	0.298660000	0.300318710	0.301649670
3brq	11	d1	0.018815592	0.033223388	0.057740000	0.085913011	0.116826635	0.306731634	0.305787106	0.306380000	0.304480690	0.306916617
3brq	12	d1	0.012218891	0.024767616	0.047170000	0.064465692	0.094985003	0.306101949	0.304782609	0.303770000	0.302260967	0.304181164
3brq	13	d1	0.023073463	0.047241379	0.077500000	0.106602925	0.139928014	0.317676162	0.318725637	0.317580000	0.314649419	0.313401320
3brq	14	d1	0.018575712	0.050974513	0.081880000	0.116449194	0.143137373	0.291889055	0.301484258	0.304040000	0.298706412	0.299094181
3brq	15	d1	0.018515742	0.033088456	0.051400000	0.082860892	0.123299340	0.296356822	0.297436282	0.297440000	0.300333708	0.302693461
3brq	16	d1	0.010000000	0.026371814	0.065850000	0.103385827	0.128506299	0.312098951	0.307691154	0.309060000	0.305500562	0.304739052
3brq	17	d1	0.039325337	0.068380810	0.111280000	0.145223097	0.173437313	0.309430285	0.312098951	0.313680000	0.311469816	0.313131374
3brq	18	d1	0.012818591	0.029265367	0.049740000	0.067495313	0.086658668	0.302533733	0.300059970	0.301500000	0.304533183	0.308578284
3brq	19	d1	0.017196402	0.041319340	0.077790000	0.119351331	0.154109178	0.300944528	0.310119940	0.306860000	0.307562805	0.309172166
3brq	20	d1	0.010000000	0.026191904	0.044560000	0.068312711	0.098188362	0.304542729	0.314422789	0.314170000	0.313547057	0.309592082
3brq	21	d1	0.026611694	0.060449775	0.108350000	0.145148106	0.176076785	0.298425787	0.303433283	0.304830000	0.305493063	0.305626875
3brq	22	d1	0.018395802	0.040899550	0.063520000	0.086977878	0.109880024	0.308770615	0.305037481	0.305140000	0.305035621	0.304913017
3brq	23	d1	0.030389805	0.052023988	0.078620000	0.121121110	0.157816437	0.309160420	0.307811094	0.307940000	0.307240345	0.309154169
3brq	24	d1	0.031169415	0.034932534	0.040640000	0.050704912	0.078194361	0.319715142	0.316491754	0.310480000	0.305125609	0.306142771
3brq	25	d1	0.013898051	0.030554723	0.057000000	0.085995501	0.118860228	0.293898051	0.288500750	0.294450000	0.297626547	0.297654469
3brq	26	d1	0.038185907	0.043283358	0.064660000	0.091357330	0.122519496	0.319355322	0.312188906	0.310630000	0.310202475	0.309556089
3brq	27	d1	0.023493253	0.040974513	0.066730000	0.098256468	0.130875825	0.305952024	0.304047976	0.303380000	0.306047994	0.303353329
3brq	28	d1	0.020584708	0.059010495	0.102290000	0.138046494	0.169088182	0.316866567	0.310524738	0.311600000	0.312654668	0.312585483
3brq	29	d1	0.016956522	0.024482759	0.044420000	0.081226097	0.121871626	0.313238381	0.308935532	0.307930000	0.307765279	0.307360528
3brq	30	d1	0.030149925	0.033508246	0.047890000	0.066302962	0.084469106	0.308080960	0.309280360	0.303180000	0.306115486	0.310065987
3brq	31	d1	0.027931034	0.038065967	0.049290000	0.066115486	0.083935213	0.311289355	0.312668666	0.307720000	0.306490439	0.308254349
3brq	32	d1	0.027661169	0.047256372	0.078150000	0.110749906	0.140617876	0.305592204	0.309130435	0.305330000	0.306737908	0.306406719
3brq	33	d1	0.027241379	0.049925037	0.074760000	0.110494938	0.140851830	0.310779610	0.305532234	0.303670000	0.305485564	0.305614877
3brq	34	d1	0.022233883	0.033193403	0.056700000	0.080183727	0.113803239	0.303013493	0.299355322	0.306590000	0.307870266	0.308374325
3brq	35	d1	0.010000000	0.015667166	0.028970000	0.046505437	0.078650270	0.315457271	0.314647676	0.310850000	0.312354706	0.312885423
3brq	36	d1	0.030029985	0.034647676	0.053090000	0.071619798	0.093935213	0.325322339	0.317676162	0.315180000	0.313194601	0.311769646
3brq	37	d1	0.031529235	0.042278861	0.064930000	0.092489689	0.121871626	0.309130435	0.323373313	0.321310000	0.317566554	0.314109178
3brq	38	d1	0.027451274	0.033538231	0.040060000	0.055796775	0.081661668	0.296926537	0.300404798	0.306430000	0.306235471	0.306178764
