# pdbid	traj	last100	last200	last300	last400	last500
3iv5	1	-2.849816994	0.118846355	-1.026826097	-1.572540195	-0.962562170
3iv5	2	-2.248809670	-2.707217567	-1.125573233	-1.190865677	-1.632949096
3iv5	3	3.430018883	2.789474327	2.435080928	1.995359109	1.488750463
3iv5	4	-2.133770307	0.059989663	-1.408965990	-0.787442715	-0.285371177
3iv5	5	1.044733666	-1.237241567	-0.193414785	0.251992514	-0.201885142
3iv5	6	-2.437028748	0.954854578	0.664624550	0.990061792	0.899190075
3iv5	7	3.546045757	3.058390836	2.008501125	1.791622893	0.777632937
3iv5	8	-4.234080082	-3.489059081	-2.473383358	-1.778447885	-0.877980769
3iv5	9	-1.318289768	1.468696183	1.037701000	0.958648616	0.283933925
3iv5	10	0.052962661	-1.233515527	-1.856036240	-1.304622192	-1.321777930
3iv5	11	-1.160282481	-0.793169933	0.139898337	0.022171072	-0.479562901
3iv5	12	-2.388999595	-0.840494518	-0.518257120	-0.266460435	-0.994678170
3iv5	13	-0.443502571	0.108204934	0.699788402	0.387605341	0.730430127
3iv5	14	-1.063396672	0.485392096	-0.498383475	-0.385726320	-0.635860952
3iv5	15	0.197252339	1.418376220	0.769653075	0.049649025	0.179676793
3iv5	16	0.290210870	0.170617383	0.605085490	-0.767465495	-0.696232850
3iv5	17	0.112519408	0.843278118	0.394030535	0.557264349	0.215719391
3iv5	18	0.213487804	-0.409134166	-0.086313055	-0.510327951	-0.544232179
3iv5	19	1.640270277	0.806463363	0.567591150	0.469585302	0.290235199
3iv5	20	-0.383532099	-1.213127529	-0.147091460	-0.198850266	0.406757387
3iv5	21	1.878268523	1.798601777	0.238352305	0.150129117	0.397203360
3iv5	22	-1.468377781	-2.071464376	-0.237594682	0.307701940	0.617580760
3iv5	23	0.661583538	-0.910106719	-1.187747532	-1.281064409	-0.842619696
3iv5	24	-2.657959543	-0.201454953	0.636824740	-0.044057957	0.180950907
3iv5	25	1.497506702	1.811205407	1.091527910	0.951264250	-0.070149481
3iv5	26	-0.515375847	-0.193948920	-0.024659170	-0.409847923	0.336024944
3iv5	27	0.528674693	0.059560626	0.362317178	-0.262025996	-0.152401825
3iv5	28	3.717244753	2.024003592	1.272387775	1.771723230	1.010841270
3iv5	29	-3.223233081	-1.907808583	-1.827403960	-1.862931352	-1.146376943
3iv5	30	-1.304778921	0.852860810	-1.140567292	-1.443900834	-1.368852151
3iv5	31	1.546790225	3.838371451	1.844278553	1.721199754	1.238489556
3iv5	32	2.410161732	-1.688562981	-0.916720897	-1.955332778	-1.162872305
3iv5	33	3.461812676	2.810714211	2.646805988	2.402807047	1.710670198
3iv5	34	0.023376057	-1.180804451	0.266643820	0.225017951	0.439704087
3iv5	35	-0.703702631	-0.459318196	-1.971232530	-1.254838324	-0.845386132
3iv5	36	1.373530630	-0.486252625	-0.019760815	0.440339136	0.039674816
3iv5	37	0.459905292	1.078200105	1.065174333	-0.075745101	-0.072092926
3iv5	38	0.586381987	1.464989453	1.093218720	0.848787508	1.154102163
3iv5	39	0.954439205	0.938427717	0.710278053	0.647712090	0.579431845
3iv5	40	0.157910135	-1.477295729	-1.472277555	-1.829036234	-1.296123666
3iv5	41	2.322255810	2.202766584	1.420673247	1.831515748	1.523250696
3iv5	42	2.013867256	1.112200986	1.913533655	1.912149049	1.058113046
3iv5	43	0.779416334	0.321041954	0.602851260	1.320640199	1.013507576
3iv5	44	0.922882826	1.148920952	1.446466073	1.737760221	0.756402778
3iv5	45	-4.757760907	-4.410002538	-4.276230365	-3.725847507	-3.579428601
3iv5	46	-1.045221177	-3.185520877	-2.961119770	-2.058199818	-1.737289058
3iv5	47	-2.295476514	-3.440412651	-3.791045943	-3.157096387	-2.517469193
3iv5	48	1.568172991	2.687860247	2.504938575	1.923328517	1.492845233
3iv5	49	-2.749482631	-0.869115336	-0.403085382	-0.103344863	-0.157046919
3iv5	50	0.155211559	1.213455197	1.197091447	-0.204211811	-0.189972791
