# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
3qou	1	0.439920133	0.283387135	0.119747943	0.115492825	0.069537314	-0.514351939	-0.345777746	-0.262857333	-0.272199104	-0.194115697
3qou	2	-0.221255569	-0.221596212	-0.189469726	-0.081069742	-0.092886731	-0.051050478	-0.083087073	-0.073243325	0.057970331	0.069596556
3qou	3	1.359032455	0.570866808	0.265398276	0.108084082	0.045584156	-0.422291723	-0.124207001	-0.182746646	-0.052207324	-0.027806243
3qou	4	0.044940679	0.042799349	0.068752989	-0.021803050	-0.085416340	-0.390236543	0.362989585	0.151570156	0.045337768	0.091701161
3qou	5	0.184740067	0.060292923	0.053971876	0.008924994	0.031468762	0.491879332	0.216101754	0.122977156	-0.006032299	0.017136284
3qou	6	-0.010347454	-0.124599073	-0.113206687	-0.160457950	-0.174374810	-0.191413369	-0.203967985	-0.124955719	-0.151881515	-0.040429710
3qou	7	0.426897838	0.409864510	0.469325839	0.390075082	0.450823170	0.114480130	0.119290339	-0.053549996	-0.027239695	-0.017373027
3qou	8	-0.002959117	-0.085468336	0.422053460	0.204892208	0.151822510	0.258082526	0.186816665	0.037445163	0.107192808	0.052887600
3qou	9	0.375820782	0.598933450	0.425229868	0.369971205	0.291497020	-0.389161000	-0.334993973	-0.334005878	-0.176927615	-0.030660351
3qou	10	0.855990039	0.290920184	0.081311934	0.063147548	0.058836995	-0.156211722	-0.289857670	-0.029001274	0.038885819	0.340094118
3qou	11	-0.224197691	-0.136540351	-0.143015599	-0.164946259	-0.163059272	-0.606909372	-0.296573708	-0.161002149	-0.185008433	-0.156507816
3qou	12	0.074249025	-0.056024206	0.040728260	0.160915716	0.101179327	-0.154190154	-0.156177293	0.015289846	0.103010854	0.056050488
3qou	13	0.211222976	0.173456387	0.134566929	0.083253172	0.039926419	-0.013432532	-0.038566551	-0.049576819	-0.172629297	-0.082463507
3qou	14	1.486128062	0.688146516	0.378771353	0.402530128	0.646302973	-0.214049701	-0.085341944	-0.030944536	0.404667812	0.312707031
3qou	15	0.120684300	0.044449536	0.167959326	0.072077491	0.054419262	0.026926109	-0.112759974	-0.137327286	-0.185682604	-0.242366885
3qou	16	0.915466334	0.533951265	0.179879949	0.189703562	0.167229128	0.031934185	0.039581933	0.194077227	0.181913976	0.212275118
3qou	17	0.298459541	0.159641309	0.203758025	0.104889487	0.109668722	-0.123200044	0.141729632	0.498676448	0.488793541	0.380618717
