# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
4a2c	1	d1	0.010000000	0.016266867	0.020840000	0.021166104	0.022069586	0.921694153	0.923463268	0.924380000	0.923685789	0.923275345
4a2c	2	d1	0.010000000	0.010000000	0.015470000	0.017656543	0.019478104	0.933628186	0.922908546	0.922820000	0.925530559	0.924589082
4a2c	3	d1	0.010000000	0.014002999	0.017430000	0.017469066	0.019928014	0.854647676	0.859880060	0.862280000	0.861833521	0.861187762
4a2c	4	d1	0.010000000	0.013748126	0.018460000	0.019223847	0.020713857	0.859205397	0.859925037	0.859410000	0.858353956	0.859904019
4a2c	5	d1	0.010000000	0.016326837	0.020880000	0.021458568	0.022111578	0.919985007	0.917451274	0.920640000	0.921001125	0.922225555
4a2c	6	d1	0.010000000	0.018995502	0.022490000	0.022688414	0.023599280	0.926911544	0.925622189	0.924840000	0.926190476	0.926088782
4a2c	7	d1	0.010000000	0.013613193	0.019070000	0.019906262	0.020701860	0.925262369	0.925187406	0.923040000	0.921676040	0.922327534
4a2c	8	d1	0.010000000	0.019115442	0.022740000	0.023040870	0.023929214	0.927601199	0.921934033	0.922830000	0.924435696	0.924949010
4a2c	9	d1	0.010000000	0.014587706	0.019720000	0.020701162	0.021631674	0.935097451	0.932158921	0.927450000	0.925688039	0.926262747
4a2c	10	d1	0.010000000	0.016611694	0.021070000	0.022268466	0.022303539	0.917886057	0.921994003	0.921200000	0.919133858	0.921451710
4a2c	11	d1	0.010000000	0.015217391	0.018930000	0.020798650	0.021367726	0.930119940	0.928290855	0.926110000	0.923348331	0.922609478
4a2c	12	d1	0.010449775	0.020224888	0.023440000	0.023730784	0.024307139	0.929850075	0.922548726	0.922770000	0.923663292	0.923755249
4a2c	13	d1	0.010000000	0.011664168	0.016350000	0.018241470	0.020593881	0.919295352	0.920644678	0.922240000	0.922995876	0.922213557
4a2c	14	d1	0.010000000	0.017106447	0.018770000	0.019591301	0.021625675	0.924002999	0.927286357	0.923710000	0.923588301	0.924337133
4a2c	15	d1	0.010000000	0.015382309	0.018310000	0.020026247	0.019964007	0.926161919	0.923463268	0.923070000	0.924165729	0.924913017
4a2c	16	d1	0.010000000	0.016941529	0.021290000	0.022290964	0.023113377	0.921844078	0.920869565	0.922280000	0.922230971	0.923461308
4a2c	17	d1	0.010000000	0.019760120	0.022390000	0.023955756	0.025164967	0.918185907	0.918575712	0.918030000	0.921586052	0.920779844
4a2c	18	d1	0.010000000	0.014227886	0.019030000	0.018968879	0.019520096	0.864122939	0.867061469	0.864510000	0.862395951	0.861655669
4a2c	19	d1	0.010000000	0.017061469	0.020820000	0.022110986	0.023221356	0.926131934	0.919550225	0.921520000	0.923693288	0.924037193
4a2c	20	d1	0.010000000	0.015922039	0.020610000	0.021308586	0.022729454	0.870269865	0.866431784	0.867560000	0.866295463	0.866424715
4a2c	21	d1	0.010000000	0.013673163	0.018530000	0.020303712	0.021187762	0.834827586	0.758650675	0.766140000	0.789820022	0.803623275
4a2c	22	d1	0.010000000	0.012008996	0.015340000	0.017604049	0.018530294	0.867751124	0.866566717	0.865660000	0.865778028	0.866604679
4a2c	23	d1	0.010000000	0.015097451	0.018880000	0.018856393	0.019202160	0.929760120	0.925727136	0.923530000	0.923580802	0.924391122
4a2c	24	d1	0.010000000	0.010000000	0.016340000	0.019756280	0.020233953	0.927931034	0.924977511	0.920980000	0.922275966	0.922891422
4a2c	25	d1	0.013448276	0.021259370	0.022320000	0.023753281	0.024319136	0.915517241	0.920269865	0.920670000	0.922973378	0.922801440
4a2c	26	d1	0.012878561	0.021439280	0.023510000	0.025133108	0.026106779	0.927091454	0.929235382	0.928500000	0.927322835	0.925806839
4a2c	27	d1	0.010000000	0.014557721	0.019700000	0.020948631	0.021859628	0.712758621	0.710434783	0.709990000	0.709790026	0.710695861
4a2c	28	d1	0.010000000	0.019310345	0.021030000	0.022770904	0.024217157	0.864992504	0.865232384	0.865200000	0.863738283	0.863257349
4a2c	29	d1	0.013028486	0.019265367	0.020180000	0.021533558	0.023227355	0.924242879	0.923463268	0.924900000	0.924645669	0.924883023
4a2c	30	d1	0.010000000	0.015277361	0.020180000	0.020918635	0.020635873	0.915577211	0.921814093	0.924360000	0.924908136	0.924217157
4a2c	31	d1	0.010000000	0.018335832	0.021540000	0.022463442	0.023971206	0.930779610	0.927046477	0.927010000	0.926242970	0.926022795
4a2c	32	d1	0.010000000	0.019715142	0.022560000	0.022403450	0.023653269	0.922083958	0.918200900	0.921550000	0.920836145	0.921103779
4a2c	33	d1	0.010000000	0.016386807	0.019070000	0.020978628	0.022495501	0.917256372	0.915097451	0.915260000	0.917161605	0.916334733
4a2c	34	d1	0.010000000	0.015457271	0.020300000	0.020453693	0.021661668	0.925952024	0.926941529	0.923870000	0.923558305	0.923305339
4a2c	35	d1	0.010000000	0.012668666	0.018440000	0.020693663	0.021829634	0.908320840	0.909850075	0.906950000	0.909205099	0.909574085
4a2c	36	d1	0.010000000	0.016341829	0.020260000	0.021931009	0.023035393	0.924512744	0.925472264	0.924510000	0.924998125	0.923761248
4a2c	37	d1	0.010000000	0.016656672	0.019950000	0.021188601	0.021613677	0.926491754	0.924452774	0.922400000	0.922613423	0.921793641
4a2c	38	d1	0.010000000	0.013808096	0.019130000	0.021826022	0.022903419	0.920344828	0.924062969	0.923840000	0.925298088	0.926928614
4a2c	39	d1	0.010000000	0.014107946	0.014640000	0.018346457	0.020269946	0.866431784	0.870359820	0.870460000	0.870299963	0.868788242
