# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
4dcm	1	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.011037792	0.862023988	0.858230885	0.856080000	0.854656918	0.856424715
4dcm	2	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010053989	0.851949025	0.855292354	0.854730000	0.854649419	0.853737253
4dcm	3	d1	0.010000000	0.010000000	0.010000000	0.010614923	0.014451110	0.855187406	0.852713643	0.853210000	0.853862017	0.855194961
4dcm	4	d1	0.010000000	0.010000000	0.010000000	0.010337458	0.014121176	0.832338831	0.845997001	0.849430000	0.852339708	0.853257349
4dcm	5	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010503899	0.854437781	0.854947526	0.853580000	0.853839520	0.853725255
4dcm	6	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010125975	0.850839580	0.851199400	0.851170000	0.852362205	0.852357528
4dcm	7	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.012561488	0.851679160	0.853538231	0.854100000	0.854026997	0.857096581
4dcm	8	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.011595681	0.874227886	0.863088456	0.862550000	0.859411324	0.858218356
4dcm	9	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.011475705	0.850299850	0.850149925	0.852230000	0.850067492	0.851685663
4dcm	10	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.012987403	0.861094453	0.854692654	0.854500000	0.855061867	0.853983203
4dcm	11	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.011709658	0.867211394	0.861034483	0.859100000	0.858293963	0.859274145
4dcm	12	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010287942	0.851949025	0.860884558	0.858240000	0.854536933	0.856430714
4dcm	13	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.012447510	0.849220390	0.849610195	0.851730000	0.852039745	0.851667666
4dcm	14	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010389922	0.854077961	0.852038981	0.851830000	0.852242220	0.852261548
4dcm	15	d1	0.010000000	0.010000000	0.010000000	0.010524934	0.014403119	0.851079460	0.856041979	0.854610000	0.855136858	0.855992801
4dcm	16	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.012351530	0.855697151	0.848770615	0.850040000	0.850202475	0.851667666
4dcm	17	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.855577211	0.854197901	0.853380000	0.853194601	0.853533293
4dcm	18	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.851049475	0.853658171	0.852810000	0.852407199	0.851937612
4dcm	19	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.854617691	0.854977511	0.853340000	0.852549681	0.851799640
4dcm	20	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010689862	0.851229385	0.851784108	0.855850000	0.854386952	0.854067187
4dcm	21	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.854947526	0.844377811	0.848120000	0.850194976	0.851355729
4dcm	22	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.851919040	0.855037481	0.853650000	0.855706787	0.855194961
4dcm	23	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010179964	0.856716642	0.833748126	0.839700000	0.842463442	0.846310738
4dcm	24	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.012315537	0.857076462	0.856206897	0.854370000	0.857116610	0.852549490
4dcm	25	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.011367726	0.849370315	0.849700150	0.849800000	0.852339708	0.852435513
4dcm	26	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.850000000	0.851214393	0.852610000	0.853344582	0.850005999
4dcm	27	d1	0.010000000	0.010000000	0.010000000	0.013847019	0.016574685	0.850059970	0.840569715	0.847710000	0.850749906	0.854019196
4dcm	28	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.013239352	0.854317841	0.852563718	0.859080000	0.857949006	0.856862627
4dcm	29	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.859955022	0.845547226	0.847800000	0.848567679	0.849556089
4dcm	30	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010305939	0.853298351	0.854467766	0.856220000	0.855489314	0.855182963
4dcm	31	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.855337331	0.857841079	0.855440000	0.854461942	0.855014997
4dcm	32	d1	0.010000000	0.010000000	0.010000000	0.012482190	0.015986803	0.854587706	0.853208396	0.853450000	0.857191601	0.855890822
4dcm	33	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.854497751	0.856026987	0.854930000	0.854424447	0.853785243
4dcm	34	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.013299340	0.853628186	0.856341829	0.856970000	0.854146982	0.852423515
4dcm	35	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.011793641	0.855907046	0.853583208	0.855950000	0.859763780	0.857984403
4dcm	36	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.853088456	0.851274363	0.853270000	0.853659543	0.853593281
4dcm	37	d1	0.010000000	0.010000000	0.010000000	0.011064867	0.014853029	0.861724138	0.856026987	0.854890000	0.854191976	0.854373125
4dcm	38	d1	0.010000000	0.010000000	0.010000000	0.012752156	0.016202759	0.851949025	0.855637181	0.856270000	0.853817023	0.853215357
4dcm	39	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.853388306	0.838920540	0.843630000	0.848890139	0.849934013
4dcm	40	d1	0.010000000	0.010000000	0.011050000	0.015789276	0.018632274	0.851079460	0.855247376	0.854480000	0.853359580	0.852471506
4dcm	41	d1	0.010000000	0.010000000	0.010000000	0.010832396	0.014667067	0.857196402	0.868860570	0.863030000	0.861143607	0.862321536
4dcm	42	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010173965	0.858035982	0.854872564	0.853330000	0.852497188	0.848428314
4dcm	43	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.013473305	0.868350825	0.859445277	0.864950000	0.864128234	0.861847630
4dcm	44	d1	0.010000000	0.010000000	0.010000000	0.011739783	0.015392921	0.850089955	0.854977511	0.855000000	0.856381702	0.856892621
4dcm	45	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.866941529	0.858485757	0.855920000	0.854469441	0.854073185
4dcm	46	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.851499250	0.847751124	0.853950000	0.854671916	0.853545291
4dcm	47	d1	0.010000000	0.010000000	0.010000000	0.012242220	0.015794841	0.854767616	0.856866567	0.855660000	0.855301837	0.854151170
4dcm	48	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010395921	0.850299850	0.850794603	0.851030000	0.853779528	0.855794841
4dcm	49	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010557888	0.853568216	0.853598201	0.852370000	0.852347207	0.849652070
4dcm	50	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.861214393	0.855772114	0.856090000	0.859238845	0.859808038
# pdbid	traj	d2	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
4dcm	1	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.857526237	0.857706147	0.860000000	0.861188601	0.861571686
4dcm	2	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.858425787	0.863133433	0.862230000	0.862545932	0.863731254
4dcm	3	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.856716642	0.861409295	0.863150000	0.862440945	0.861187762
4dcm	4	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.866491754	0.860794603	0.861870000	0.862200975	0.863629274
4dcm	5	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.864902549	0.865082459	0.862330000	0.863400825	0.863443311
4dcm	6	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.857526237	0.855052474	0.856120000	0.857709036	0.859424115
4dcm	7	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.859145427	0.858485757	0.858080000	0.858166479	0.858374325
4dcm	8	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.864152924	0.863793103	0.861830000	0.862523435	0.862465507
4dcm	9	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.857346327	0.858365817	0.857610000	0.858211474	0.858950210
4dcm	10	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.857436282	0.858050975	0.861050000	0.860933633	0.858632274
4dcm	11	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.859985007	0.864317841	0.862540000	0.860468691	0.860521896
4dcm	12	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.852878561	0.853238381	0.857870000	0.859703787	0.861775645
4dcm	13	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.858275862	0.862578711	0.862480000	0.864218223	0.864223155
4dcm	14	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.848680660	0.854062969	0.856590000	0.857956505	0.858488302
4dcm	15	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.867301349	0.864197901	0.859080000	0.857244094	0.857234553
4dcm	16	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.867571214	0.865382309	0.862610000	0.863670791	0.862993401
4dcm	17	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.852878561	0.857871064	0.859750000	0.860123735	0.859190162
4dcm	18	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.857376312	0.857526237	0.858110000	0.856884139	0.857120576
4dcm	19	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.866641679	0.862653673	0.860760000	0.860483690	0.860275945
4dcm	20	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.850749625	0.854842579	0.859640000	0.860528684	0.858272346
4dcm	21	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.863943028	0.860239880	0.860920000	0.859051369	0.859754049
4dcm	22	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.851949025	0.858635682	0.856790000	0.857364079	0.857876425
4dcm	23	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.857406297	0.856146927	0.854550000	0.855804274	0.856928614
4dcm	24	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.858815592	0.858920540	0.861900000	0.859703787	0.860563887
4dcm	25	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.861244378	0.859580210	0.860860000	0.862290964	0.861301740
4dcm	26	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.861784108	0.859550225	0.857650000	0.857146607	0.858632274
4dcm	27	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.864002999	0.863913043	0.863870000	0.863820772	0.864079184
4dcm	28	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.854647676	0.855172414	0.859140000	0.860581177	0.860923815
4dcm	29	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.867841079	0.866521739	0.865980000	0.865845519	0.865416917
4dcm	30	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.856626687	0.856386807	0.858480000	0.858931384	0.858038392
4dcm	31	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.860524738	0.857601199	0.857780000	0.857604049	0.856790642
4dcm	32	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.860644678	0.858500750	0.857160000	0.859748781	0.860689862
4dcm	33	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.857046477	0.859025487	0.861440000	0.860693663	0.861895621
4dcm	34	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.863763118	0.860074963	0.857780000	0.857911511	0.858746251
4dcm	35	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.859295352	0.854392804	0.856560000	0.858173978	0.859436113
4dcm	36	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.865142429	0.860509745	0.861400000	0.859403825	0.858902220
4dcm	37	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.862353823	0.863778111	0.862580000	0.861751031	0.863419316
4dcm	38	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.858185907	0.864062969	0.862250000	0.864540682	0.863185363
4dcm	39	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.864932534	0.864317841	0.861380000	0.862425947	0.862591482
4dcm	40	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.862323838	0.856701649	0.857160000	0.858076490	0.858062388
4dcm	41	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.866821589	0.865427286	0.864260000	0.862763405	0.862327534
4dcm	42	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.862473763	0.862293853	0.861360000	0.860851144	0.860659868
4dcm	43	d2	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.860734633	0.865712144	0.868460000	0.865515561	0.866256749
