# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
4dzd	1	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.919265367	0.918095952	0.916190000	0.912009749	0.911289742
4dzd	2	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010353929	0.917616192	0.915562219	0.915490000	0.915039370	0.913131374
4dzd	3	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010635873	0.909010495	0.908905547	0.911030000	0.912542182	0.914145171
4dzd	4	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010587882	0.915067466	0.915217391	0.914210000	0.914461942	0.915500900
4dzd	5	d1	0.010000000	0.010000000	0.010000000	0.011289839	0.018722256	0.912638681	0.913958021	0.915510000	0.915054368	0.915656869
4dzd	6	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010017996	0.917106447	0.911934033	0.912470000	0.913659543	0.914313137
4dzd	7	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.918215892	0.917301349	0.913840000	0.913232096	0.914295141
4dzd	8	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.912578711	0.913223388	0.914020000	0.914049494	0.914283143
4dzd	9	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.910959520	0.913808096	0.900680000	0.904923135	0.907372525
4dzd	10	d1	0.010000000	0.010000000	0.010000000	0.010982377	0.014787043	0.918095952	0.914017991	0.912850000	0.913179603	0.912675465
4dzd	11	d1	0.010000000	0.010000000	0.010000000	0.012504687	0.014577085	0.907481259	0.908545727	0.911590000	0.911379828	0.911511698
4dzd	12	d1	0.010000000	0.010000000	0.010550000	0.013547057	0.018368326	0.916056972	0.914512744	0.913580000	0.914889389	0.914607079
4dzd	13	d1	0.010000000	0.010000000	0.010130000	0.013667042	0.016934613	0.908410795	0.910599700	0.913170000	0.913389576	0.913695261
4dzd	14	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.011049790	0.912488756	0.916401799	0.912050000	0.911312336	0.912519496
4dzd	15	d1	0.010000000	0.010000000	0.010770000	0.016869141	0.019538092	0.914317841	0.914962519	0.911760000	0.912032246	0.911367726
4dzd	16	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.909280360	0.908860570	0.908570000	0.910674916	0.909712058
4dzd	17	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010509898	0.907691154	0.907661169	0.909730000	0.910104987	0.907786443
4dzd	18	d1	0.010000000	0.010000000	0.010000000	0.010412448	0.012087582	0.913988006	0.914467766	0.915890000	0.917116610	0.919064187
4dzd	19	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.012189562	0.909250375	0.913298351	0.913420000	0.912947132	0.913545291
4dzd	20	d1	0.010000000	0.010000000	0.010000000	0.011087364	0.014685063	0.914107946	0.912593703	0.912630000	0.912999625	0.912021596
4dzd	21	d1	0.010000000	0.010000000	0.010000000	0.011499813	0.015662867	0.915787106	0.914392804	0.913740000	0.914979378	0.915290942
4dzd	22	d1	0.010000000	0.010000000	0.010000000	0.010427447	0.013653269	0.905862069	0.910374813	0.913910000	0.912332208	0.913575285
4dzd	23	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.011031794	0.909310345	0.914212894	0.913490000	0.913314586	0.912549490
4dzd	24	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.913538231	0.914302849	0.914460000	0.913689539	0.913953209
4dzd	25	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010443911	0.916776612	0.920524738	0.920480000	0.917319085	0.916388722
4dzd	26	d1	0.010000000	0.010000000	0.010000000	0.010044994	0.012603479	0.915097451	0.915517241	0.915330000	0.914544432	0.914439112
4dzd	27	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.912218891	0.912758621	0.911840000	0.912159730	0.913077385
4dzd	28	d1	0.010000000	0.010000000	0.010000000	0.011147357	0.016142771	0.910149925	0.914992504	0.913470000	0.912332208	0.911577684
4dzd	29	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010821836	0.915667166	0.919355322	0.916700000	0.917934008	0.917786443
4dzd	30	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.919715142	0.919400300	0.918490000	0.917086614	0.917534493
4dzd	31	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.915697151	0.914722639	0.912020000	0.910629921	0.910959808
4dzd	32	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010827834	0.912758621	0.911214393	0.908410000	0.905028121	0.906910618
