# pdbid	traj	d1	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
4e8b	1	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.023611278	0.916476762	0.916311844	0.918080000	0.917649044	0.917960408
4e8b	2	d1	0.010000000	0.010000000	0.010000000	0.010922385	0.026130774	0.921454273	0.918215892	0.916310000	0.916734158	0.916382723
4e8b	3	d1	0.010000000	0.010000000	0.010000000	0.016119235	0.030413917	0.917916042	0.915367316	0.916030000	0.917461567	0.916700660
4e8b	4	d1	0.010000000	0.010000000	0.010000000	0.021413573	0.035134973	0.918635682	0.918365817	0.915060000	0.916081740	0.916196761
4e8b	5	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.019832034	0.921754123	0.918185907	0.917490000	0.917026622	0.917552490
4e8b	6	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010929814	0.919055472	0.918845577	0.917670000	0.917064117	0.917336533
4e8b	7	d1	0.010000000	0.010000000	0.010000000	0.014034496	0.029232154	0.918695652	0.911394303	0.911820000	0.912872141	0.914607079
4e8b	8	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.020293941	0.915277361	0.916056972	0.915830000	0.917109111	0.918386323
4e8b	9	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.915517241	0.917886057	0.919440000	0.919126359	0.918434313
4e8b	10	d1	0.010000000	0.010000000	0.012120000	0.031574803	0.043263347	0.915937031	0.917841079	0.919390000	0.918196475	0.919058188
4e8b	11	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.918905547	0.917841079	0.908100000	0.904548181	0.907072585
4e8b	12	d1	0.010000000	0.010000000	0.010000000	0.013427072	0.028746251	0.916896552	0.916161919	0.914520000	0.913689539	0.913383323
4e8b	13	d1	0.010000000	0.010000000	0.010000000	0.013119610	0.028500300	0.921004498	0.918785607	0.916170000	0.917169104	0.917228554
4e8b	14	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.923043478	0.921829085	0.920080000	0.919493813	0.919436113
4e8b	15	d1	0.010000000	0.010000000	0.010000000	0.013089614	0.028476305	0.919925037	0.918815592	0.918510000	0.915976753	0.914283143
4e8b	16	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.915367316	0.917271364	0.916970000	0.917266592	0.916268746
4e8b	17	d1	0.010000000	0.010000000	0.010000000	0.015541807	0.030437912	0.917616192	0.918620690	0.919950000	0.919861267	0.920341932
4e8b	18	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.922323838	0.921064468	0.920550000	0.919801275	0.917048590
4e8b	19	d1	0.010000000	0.010000000	0.010000000	0.010127484	0.020971806	0.919145427	0.915112444	0.915550000	0.916629171	0.916712657
4e8b	20	d1	0.010000000	0.010000000	0.014790000	0.033269591	0.044619076	0.914137931	0.916086957	0.915800000	0.917754031	0.917042591
4e8b	21	d1	0.010000000	0.010000000	0.010000000	0.015954256	0.030767846	0.916746627	0.918095952	0.919670000	0.920611174	0.920803839
4e8b	22	d1	0.010000000	0.010000000	0.010000000	0.024683165	0.037750450	0.913808096	0.913838081	0.916030000	0.913944507	0.916034793
4e8b	23	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.021325735	0.919385307	0.916326837	0.915740000	0.916434196	0.916118776
4e8b	24	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.024037193	0.918785607	0.915877061	0.914940000	0.915009374	0.915380924
4e8b	25	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.024469106	0.917076462	0.916041979	0.914740000	0.914176978	0.915158968
4e8b	26	d1	0.010000000	0.010000000	0.010000000	0.014416948	0.026214757	0.917706147	0.919445277	0.918270000	0.916651669	0.917180564
4e8b	27	d1	0.010000000	0.010000000	0.010000000	0.010179978	0.025104979	0.918335832	0.913223388	0.911890000	0.913427072	0.914583083
4e8b	28	d1	0.010000000	0.010000000	0.010000000	0.013682040	0.027588482	0.916746627	0.914512744	0.910470000	0.911289839	0.912945411
4e8b	29	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.917556222	0.918890555	0.918470000	0.916719160	0.914919016
4e8b	30	d1	0.010000000	0.010000000	0.010000000	0.015159355	0.030131974	0.916296852	0.916626687	0.917420000	0.916771654	0.917252549
4e8b	31	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.018926215	0.914167916	0.916401799	0.916650000	0.916861642	0.916850630
4e8b	32	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.021673665	0.918335832	0.918890555	0.919340000	0.919223847	0.917282543
4e8b	33	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.013131374	0.918725637	0.918125937	0.916970000	0.917506562	0.919106179
4e8b	34	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.010000000	0.911859070	0.915967016	0.916540000	0.917821522	0.917486503
4e8b	35	d1	0.010000000	0.010000000	0.010000000	0.010000000	0.021277744	0.910149925	0.915622189	0.916820000	0.916441695	0.917282543
4e8b	36	d1	0.010000000	0.010000000	0.010000000	0.013832021	0.028308338	0.911469265	0.915562219	0.916970000	0.918923885	0.918794241
4e8b	37	d1	0.010000000	0.010000000	0.010000000	0.013239595	0.028596281	0.899025487	0.908155922	0.911790000	0.912984627	0.913077385
