# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1fts	1	0.173875356	0.156537471	0.019473113	-0.046637118	-0.019210357	-0.417134564	-0.302613668	-0.195201104	0.004185682	-0.031369672
1fts	2	0.202408424	0.012708121	-0.046684594	-0.003681761	-0.084606659	-0.321476310	-0.398537888	-0.430886241	-0.402157327	-0.344694368
1fts	3	-0.095659053	0.139298377	0.099925099	0.060841822	0.065006481	0.368611313	0.293372795	0.223194905	0.239143234	0.230364291
1fts	4	1.309674247	0.843054462	0.559542058	0.474540937	0.386132295	0.114878786	-0.006162293	-0.025084348	-0.042146533	0.000859869
1fts	5	3.944944034	1.982391084	1.313721513	0.808005727	0.557856958	-0.451256340	-0.311734885	-0.213251212	-0.272793429	-0.252850310
1fts	6	5.255213842	4.839061100	4.837144797	4.672135725	4.609515925	4.678930053	4.341412585	4.521029868	4.483842951	4.522874194
1fts	7	0.192413463	0.214999124	0.326903599	0.354592189	0.299285842	0.230104366	0.242409568	0.198868344	0.101056383	0.005735363
1fts	8	1.354518024	1.009801655	0.925009735	0.856478241	0.819744906	0.170819839	0.320653013	0.236045624	0.181165320	0.135658329
1fts	9	1.080160805	0.465499915	0.330003376	0.233195043	0.269551316	-0.001426642	0.071932224	0.291413711	0.332175421	0.207617838
1fts	10	4.855684270	4.808644043	4.466138223	4.317320069	4.318417492	4.003688402	3.887098038	3.980317247	3.978985298	3.974069297
1fts	11	0.684657934	0.217001367	0.075395666	0.004754781	0.023679030	-0.251287117	-0.178396367	-0.160118162	-0.114498688	-0.117930142
1fts	12	5.330417860	2.641967395	1.791287636	1.343394651	1.039895266	-0.553507973	-0.316359106	-0.201337687	-0.219968680	-0.216874157
1fts	13	0.519004494	0.239085500	0.174359233	0.073698456	0.045291678	0.302694286	0.275882218	0.256022674	0.164927859	0.129741608
1fts	14	6.121319106	4.999903315	4.857594755	4.704080969	4.546517269	3.767519583	3.814265885	3.927205804	3.973842506	3.967949127
1fts	15	6.527049441	4.692576273	4.322755612	4.149315742	4.028821077	-0.370070567	-0.095003620	-0.156170980	-0.205117618	-0.260905148
1fts	16	0.049910516	0.000061363	0.082126168	0.063387357	0.010002588	-0.197452607	-0.169610069	-0.142200361	-0.114437041	-0.086189269
1fts	17	1.531337043	0.712755142	0.420506754	0.321158826	0.231265453	0.119726846	0.109191881	0.038969675	0.093246945	0.099929024
1fts	18	0.348983102	0.263209888	0.344831298	0.251285371	0.258726772	0.051764481	0.002559896	0.123502368	0.154251689	0.165630140
1fts	19	0.980148897	0.350809965	0.271758124	0.123604183	0.036614355	-0.078084716	-0.051880695	-0.006422120	0.010472015	-0.094445842
1fts	20	1.148056568	0.496229982	0.328456048	0.186601619	0.048340559	-0.272807425	-0.215635069	-0.249775401	-0.200942798	-0.187275869
1fts	21	0.804622948	0.786798826	0.818956832	0.821608751	0.781587934	-0.015650299	-0.101897043	-0.137320060	-0.129445677	-0.175102277
1fts	22	1.433424155	0.683498006	0.525519545	0.351471357	0.205215924	-0.219691144	-0.107021141	-0.105856603	-0.023638100	-0.045080174
1fts	23	4.183439308	3.598107352	2.348483763	1.850339125	1.546951124	0.398897829	0.219054076	0.093998737	0.085333662	0.058008386
1fts	24	-0.033456237	0.064697394	0.108882642	0.175977041	0.142829949	-0.069716790	-0.017906878	-0.030186047	0.002748172	-0.016996541
1fts	25	1.339575125	0.939469935	1.043938838	1.018504206	0.820585066	0.067376454	0.086407274	0.108749163	0.112337259	0.055262441
1fts	26	-0.100872105	0.088873278	0.053071180	-0.027669857	-0.083049950	-0.330240635	-0.265713245	-0.160089463	-0.057939898	-0.044280784
1fts	27	1.847962095	1.196484601	0.838530952	0.608516358	0.478462676	-0.148538458	-0.176160848	-0.110606387	-0.084102855	-0.053362182
1fts	28	0.991363572	0.475548577	0.338293552	0.276680295	0.226537676	0.027217025	0.144219441	0.283225088	0.290615174	0.262836984
1fts	29	0.849487507	0.503006868	0.369433833	0.275891525	0.199037584	-0.055061232	-0.046472135	-0.037328070	0.002984193	-0.030100374
1fts	30	4.124306684	2.310397051	1.671948946	1.316274414	1.120600051	0.437762854	0.401554979	0.402296842	0.374542027	0.342407609
1fts	31	4.593334842	3.773750604	3.375639967	2.486436232	1.948993788	-0.219773612	-0.190494359	-0.125373975	-0.080230550	-0.087034740
1fts	32	0.825625630	0.198154441	0.033702647	-0.096107151	-0.118781516	-0.102100577	-0.114467640	-0.242321216	-0.223041220	-0.277927929
1fts	33	0.424050062	0.346838004	0.330909838	0.256582043	0.317065681	-0.141431929	-0.068530095	-0.045778990	0.039652597	0.066981514
1fts	34	5.502027277	5.016061370	4.718201570	4.613647921	4.539557242	4.136081014	4.272115166	4.243627545	4.174328058	4.139553025
1fts	35	-0.065551849	-0.145990215	-0.189447755	-0.217317706	-0.263890634	-0.170436547	-0.048464887	0.030793258	0.007075172	-0.007106581
1fts	36	1.987004242	0.822961077	0.551286808	0.490545166	0.404985631	-0.094438951	-0.213352443	-0.143651020	-0.119195722	-0.093605619
1fts	37	4.490169765	4.379716335	4.267693519	4.143695876	4.136986121	3.576912085	3.720904081	3.818812896	4.003209304	3.992559811
1fts	38	6.060870746	5.262706235	4.938542225	4.893018817	4.790740395	4.714011623	4.032563838	4.090454663	4.114694336	4.331138366
1fts	39	1.566355437	0.931985430	0.604897155	0.533743151	0.359673049	-0.307654456	-0.397401121	-0.400417901	-0.345672657	-0.265540548
1fts	40	-0.418573017	-0.565736603	-0.698976883	-0.726635800	-0.706149996	-0.176356761	-0.185767490	-0.015243839	0.091175352	0.132026594
1fts	41	1.907970264	0.733162137	0.471971045	0.283492416	0.203573441	0.034222262	-0.060442830	-0.260731129	-0.271861524	-0.226780495
1fts	42	6.090602564	5.117115188	4.827432873	4.627244809	4.482484907	4.588700738	4.678805401	4.679881292	4.539528002	4.523097129
1fts	43	5.076087874	4.772549286	4.674906671	4.657394574	4.685593647	4.494515537	4.406297062	4.519073262	4.590415230	4.655987695
1fts	44	1.717271801	0.789994208	0.417557117	0.232482216	0.114109576	0.100668126	0.035192329	-0.016174184	-0.038043125	-0.113062454
1fts	45	0.274740650	-0.051301374	-0.205385894	-0.200368238	-0.160566151	-0.022808384	-0.142722832	-0.152036206	-0.234658393	-0.191364783
1fts	46	1.635037352	0.750692993	0.492844063	0.380760523	0.367777853	0.258321795	0.263885572	0.320985944	0.272126349	0.182308879
1fts	47	0.767226862	0.483427818	0.315960528	0.309096416	0.272513925	0.133736539	0.150791150	0.176592703	0.298078525	0.350385961
1fts	48	0.887726846	0.490164738	0.213420216	0.137126105	0.064405822	-0.764521966	-0.649391578	-0.464836696	-0.431121779	-0.434393355
1fts	49	0.605630709	0.197624355	0.191616689	0.193971558	0.206918942	0.072374849	0.168448492	0.123260105	0.111765253	0.083789909
1fts	50	2.527923956	1.272680798	0.844829105	0.642841336	0.524247210	-0.179888478	-0.150790069	0.023789497	0.033651376	0.000922941
