# pdbid	traj	last100	last200	last300	last400	last500
1eix	1	1.195746739	0.072369175	0.562013828	0.325414693	0.093041320
1eix	2	-0.819920982	-0.749622310	-0.103529988	-0.304061749	-0.468389294
1eix	3	0.765261229	0.125129726	0.338374863	0.135772248	0.081324630
1eix	4	-0.727405255	0.101707075	0.121565285	0.197127688	0.131351683
1eix	5	0.454650825	0.016816397	-0.656522498	-0.500713757	-0.174645557
1eix	6	-0.317406094	-0.325249565	-0.246424422	-0.321874676	-0.225378994
1eix	7	0.993855675	1.056380124	0.928826223	0.715080129	0.846750402
1eix	8	-0.571282151	0.058899385	-0.476151638	-0.316620579	-0.166319370
1eix	9	-0.548551102	0.062622966	0.450181007	0.305584711	0.474073597
1eix	10	0.760047609	0.750643476	0.435161708	0.434620529	0.405093702
1eix	11	-0.165443928	0.565596048	0.043455383	-0.267607452	-0.107604632
1eix	12	-0.036025960	0.145757300	0.229892833	0.038579918	0.001440136
1eix	13	-0.998001499	-0.596449093	-0.408602055	-0.695261192	-0.796713844
1eix	14	1.757735262	0.673313045	0.533195037	0.550886614	0.110472869
1eix	15	0.584609813	0.529902996	0.368826828	0.398944964	0.298207287
1eix	16	0.138704753	-0.628204188	-0.561841205	-0.435710006	-0.105572821
1eix	17	1.024493388	0.721621057	0.225093673	0.342280523	0.498060121
1eix	18	-0.744208606	-0.894379614	-0.071084093	-0.081677552	-0.321569441
1eix	19	-0.511147309	-0.095160195	-0.310269898	-0.135290401	-0.423872020
1eix	20	0.514833463	0.588794889	0.992731760	0.521035801	0.133799682
1eix	21	-0.380593366	-0.891087390	-0.565405985	-0.089793751	-0.518452493
1eix	22	-2.375752474	-1.282961586	-0.713443802	-0.449210366	-0.194147846
1eix	23	-0.513051694	0.379864818	-0.012792170	0.426957332	0.436943462
1eix	24	-0.459507489	-0.599724409	-0.463139235	-0.338295311	-0.366839091
1eix	25	-0.576510937	-0.278768451	-0.132328298	0.026726670	-0.208249195
1eix	26	-1.162041604	-0.669604304	-0.326441475	-0.166158403	-0.197350486
1eix	27	1.075429235	0.445038579	-0.011148843	0.081125201	0.233147149
1eix	28	-0.270371192	0.293567229	-0.021962030	0.118576335	0.129042511
1eix	29	0.679659115	-0.773233708	-0.672264235	-0.831318483	-0.771224453
1eix	30	1.717279070	0.274455906	0.206948000	0.104150587	-0.265582875
1eix	31	1.559996327	0.929151219	0.519613325	0.580863753	0.419092998
1eix	32	1.465200277	1.346091267	1.163300465	0.852648808	0.448983981
1eix	33	-1.416087826	-1.091793780	-0.683854980	-0.356264814	0.120353225
1eix	34	-0.975401312	-1.161399663	-1.184125415	-1.674968988	-1.488875190
1eix	35	0.519125315	0.842662445	0.454102983	0.394026783	0.324663570
1eix	36	0.370866574	0.309956805	0.121532390	0.042303195	-0.040263324
1eix	37	-0.027005187	0.443925257	0.439400657	0.362726684	0.403288421
1eix	38	0.098376252	0.074201132	0.328637348	0.201706901	0.247042064
1eix	39	0.997644168	0.936839123	0.637813348	0.576222818	0.587130493
1eix	40	-0.281314978	-0.806767345	-0.536443195	-0.493696609	-0.426045464
1eix	41	0.725037819	0.227609029	-0.086930395	-0.064915154	-0.225018064
1eix	42	1.020051844	0.492518905	0.214736288	0.109907758	0.179279187
1eix	43	0.866147961	0.467371657	0.448343618	0.401849038	0.300635824
1eix	44	0.851279618	-0.669777878	0.006477862	-0.257595619	-0.594330967
1eix	45	-0.475312961	-0.080174822	0.114650732	0.318148174	0.327905995
1eix	46	-0.901170022	-0.238419633	-0.144606298	-0.234496190	-0.166422085
1eix	47	0.357999565	0.589857109	0.333267602	-0.192464676	-0.093775565
1eix	48	0.639017841	0.306786082	-0.022910197	-0.136163395	-0.052152844
1eix	49	0.859269865	-0.270360979	-0.476909773	-0.182698881	0.018829309
1eix	50	0.816494348	0.907183075	0.240377183	0.202559951	0.329243457
