# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2oq3	1	89.466613421	59.629086462	49.379506686	44.355578051	38.284621410	0.445285908	0.479306260	0.324800004	0.273412129	0.078653554
2oq3	2	178.237950051	172.847620925	132.017600302	99.019061234	78.968368241	-0.714145308	-0.685799132	-0.652352684	-0.392645637	-0.416315513
2oq3	3	121.833747681	61.408973806	41.125706821	30.808096894	24.556813878	0.250823042	-0.400928655	-0.182056466	-0.037320531	0.078524415
2oq3	4	58.118484944	28.995592797	19.436438986	14.510644451	11.570739030	-0.296342326	0.800681850	0.658805986	0.416046863	0.558516860
2oq3	5	142.705023269	71.258395337	47.708382113	35.730263389	29.142611178	-0.065150235	-0.630702552	-0.291037403	-0.675598371	-0.600275708
2oq3	6	108.463134383	68.974507388	55.399220439	48.595552738	44.512710727	0.043101733	0.146076206	-0.030946097	0.120476443	0.102640051
2oq3	7	153.030150857	90.357964202	69.799239015	59.963453264	53.829436605	-0.546213160	-0.415503949	-0.312530542	-0.244466049	-0.296604096
2oq3	8	54.527730107	27.312227567	18.088143731	13.798181736	11.331701405	0.413227277	-0.081953698	-0.247997831	-0.213055479	-0.188447022
2oq3	9	150.091225989	75.308348991	51.429538584	38.589218320	30.894164104	1.398754837	0.450233327	0.220312439	0.213319643	0.168716587
2oq3	10	55.744785229	42.117301550	37.917234725	35.777149964	34.428361183	0.365968425	0.331644452	0.182167733	-0.015949649	0.026149856
2oq3	11	45.081706729	22.722980025	15.015065487	11.186001340	8.884809962	0.232811600	-0.204821826	-0.150048932	-0.002271344	-0.135400374
2oq3	12	59.451174928	44.233457655	36.564339028	27.293166511	21.770210294	-0.572902790	-0.267900671	-0.077969330	-0.027958167	-0.023952105
2oq3	13	57.992689515	28.886558593	19.265774419	14.542486921	11.680281828	-0.089241792	0.143076338	-0.263267394	-0.165985124	-0.131308767
2oq3	14	180.932727672	117.419997409	80.457452037	60.214238932	48.149679540	-0.628135465	-0.502113974	-0.521810364	-0.329354346	-0.239269215
2oq3	15	57.784090586	43.306533520	38.738333490	31.001902825	25.433736884	-0.726519272	-0.661801587	-0.460048876	-0.475600957	-0.392975427
2oq3	16	45.563600920	36.345179453	28.818614589	21.578680025	17.483511081	-0.200362793	-0.033409655	-0.085170267	-0.285901845	-0.280689830
2oq3	17	106.194273523	67.461918902	53.340826888	40.155302460	32.118128107	0.062130471	0.270414089	0.292605297	0.181093489	0.198159124
2oq3	18	150.529510109	81.956931357	54.426583601	40.623495453	32.520183544	-0.505643839	-0.276505978	-0.199420791	-0.200379402	-0.248399950
2oq3	19	102.242764791	51.195489197	33.806139254	25.332780934	20.298884956	-0.242189903	-0.412214705	-0.167853502	-0.096484639	0.136525970
2oq3	20	36.032468166	18.182841810	11.952840167	8.844955089	7.400962842	0.127265693	-0.216429454	-0.112104485	-0.123501106	-0.093028017
2oq3	21	48.938867007	23.992649015	16.064214851	12.866758153	10.250633887	-0.037166409	-0.004456405	0.367520545	0.084493607	0.031310590
