# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2jrx	1	0.069331749	0.113805597	0.125016547	0.063334200	0.014113256	0.197101266	0.354817370	0.382244033	0.387694864	0.322834628
2jrx	2	0.017235501	-0.247528494	-0.169445253	-0.069616449	-0.001271679	-0.210122016	0.088459870	-0.012008250	0.025397145	-0.046179839
2jrx	3	-0.151470403	0.014591510	0.165004551	0.015765111	0.006016112	-0.220362561	-0.112720272	-0.047703003	-0.089597401	-0.146884386
2jrx	4	-0.392791830	-0.343717493	-0.133622252	-0.130709866	-0.088540949	-0.197287732	-0.004388353	0.035473728	0.104769443	0.122879763
2jrx	5	0.181964219	0.151683186	-0.085577780	-0.131083828	-0.089560351	-0.105591677	-0.079859843	-0.044062543	-0.048585485	-0.002853417
2jrx	6	-0.425713392	-0.010921492	-0.011900093	-0.019251549	-0.046424285	-0.519336037	-0.271911275	-0.166942264	-0.215548283	-0.198989625
2jrx	7	-0.373985402	-0.069135112	-0.053712841	-0.075118240	-0.151413642	-0.067858287	-0.104586184	-0.032705134	0.080595205	0.069028266
2jrx	8	0.148006613	0.133525927	0.174292051	0.170563694	0.114376901	-0.110355188	0.156117420	0.124441547	0.214133181	0.284976945
2jrx	9	0.288475361	0.040235180	-0.085635108	-0.124599296	-0.128845186	-0.047417827	-0.032225935	0.098419250	0.052208572	0.035039710
2jrx	10	0.084447506	0.041625847	0.100561412	0.133907300	0.035447772	0.073274965	0.201777166	0.131119903	0.038310358	-0.039001649
2jrx	11	-0.098843961	-0.237885037	-0.096712342	-0.114251588	-0.134759491	-0.351285566	-0.183613027	-0.319618658	-0.206808083	-0.124081868
2jrx	12	0.457989298	0.259292175	0.077727418	-0.051991015	-0.095210087	0.163423717	-0.057373845	0.014413566	-0.039307082	-0.134091462
2jrx	13	-0.278451069	-0.286177967	-0.164785522	-0.162258209	-0.130097318	0.288895853	-0.157005161	-0.113012620	-0.076146826	-0.051562868
2jrx	14	0.234737323	0.149760459	0.102936322	0.016467403	0.105513581	-0.094957662	-0.165043441	-0.174780734	-0.166889514	-0.136793466
2jrx	15	0.001908491	-0.044255969	-0.037793162	-0.000963033	-0.028700664	0.151919225	-0.151878440	-0.154539822	-0.117772003	-0.098143674
2jrx	16	-0.204417403	-0.032719846	0.043532349	0.101292620	0.098203107	0.211680825	0.203118801	0.077360193	0.128574282	0.047348911
2jrx	17	0.140501330	-0.018568079	-0.044433858	-0.026737815	-0.018956096	0.247881481	0.283000975	0.110928183	-0.060900799	-0.121035628
2jrx	18	0.169266593	0.068009772	-0.081085931	-0.135473461	-0.109679908	-0.049762056	-0.088965838	-0.031577031	0.019145159	0.074213902
2jrx	19	0.163723357	-0.086797959	-0.099012166	-0.158097751	-0.154259797	-0.084593473	0.324248829	0.213254013	0.237045054	0.107785315
2jrx	20	-0.335692954	-0.270294461	-0.128670595	-0.009578722	0.028306391	-0.086921717	0.037996480	0.047704682	0.058769712	0.034827074
2jrx	21	-0.210722061	-0.136199948	-0.103414155	-0.040731167	-0.052180922	0.030879327	-0.105401632	-0.123651329	-0.086066376	-0.016877969
2jrx	22	-0.105220867	0.080082767	0.184863215	0.160058899	0.204485496	0.090524169	-0.077103841	0.007955095	-0.049818568	-0.039509647
2jrx	23	-0.183490503	-0.025348755	0.000226139	0.115204889	0.121217968	-0.260558492	-0.043638961	0.112070972	0.081250772	-0.092276465
2jrx	24	-0.171440923	-0.023097997	-0.058526118	-0.146509072	-0.182222987	-0.023629292	0.020216201	0.164729367	0.061716736	-0.045458147
