# pdbid	traj	last100	last200	last300	last400	last500
1eum	1	-0.231172736	-1.046959775	-0.563172232	-0.318991511	-0.286973594
1eum	2	0.244407781	0.007173262	-0.272813367	-0.190347895	-0.043509745
1eum	3	0.389620165	0.722115321	0.754286817	0.334411050	0.551209247
1eum	4	-0.048100022	-0.174979786	0.038755343	-0.163067561	-0.137381665
1eum	5	-0.260441424	0.062173337	0.179281028	0.082827122	0.054364362
1eum	6	0.726827406	0.013015257	0.184565840	0.023787201	-0.074492407
1eum	7	0.287579535	0.123799963	0.212978547	0.467133195	0.541603130
1eum	8	-1.031067091	-0.421735028	-0.409116335	-0.469292863	-0.478997317
1eum	9	-1.739884265	-1.085947330	-1.011627850	-0.732820229	-0.552148365
1eum	10	0.092801124	0.516787604	0.205817770	0.111105221	0.152692074
1eum	11	-0.262381169	-0.470972145	-0.994244190	-0.960964486	-0.979663273
1eum	12	0.435236184	0.319673495	0.475774805	0.433050157	0.460514837
1eum	13	-1.036415045	-0.125889813	-0.283823172	-0.302990426	-0.193014201
1eum	14	-0.550143823	-0.124601699	-0.280160430	-0.018880501	0.061540859
1eum	15	0.534353313	0.395179944	0.522432885	0.466526918	0.309330025
1eum	16	-0.655687939	-0.809566794	-0.523599475	-0.373156539	-0.376267999
1eum	17	0.544004333	-0.039249978	-0.162822938	-0.337421406	-0.327814777
1eum	18	0.810561297	0.933693367	0.655763790	0.560029038	0.633579817
1eum	19	0.265677339	0.173998980	0.405143615	0.490197351	0.493244284
1eum	20	-1.091535667	-0.198048414	0.057533082	0.113279389	0.113361251
1eum	21	0.330015577	0.276472238	0.547953490	0.274166245	0.369608542
1eum	22	0.339678231	0.527017368	0.217629093	0.220543474	0.403845785
1eum	23	0.506571237	0.787263915	0.509029813	0.198101200	0.056825581
1eum	24	-0.093768396	0.249176033	0.269333042	0.403393193	0.415562064
1eum	25	-0.126847526	0.472087019	0.310127275	0.286368894	0.305794842
1eum	26	-0.401056784	0.042397409	0.216883582	0.252978894	0.165454075
1eum	27	-0.386481589	-0.382656389	-0.532708680	-0.612228382	-0.295533309
1eum	28	-0.315966132	-0.624569505	-0.328971100	-0.055394363	-0.026070163
1eum	29	0.761427339	0.510920142	0.285869272	0.339731699	0.422568617
1eum	30	-0.499963576	-0.272268403	-0.112335025	-0.150081170	-0.293008406
1eum	31	0.607081117	0.176553198	0.178449550	0.088766018	0.127416769
1eum	32	0.983643096	0.156305594	0.257693160	0.031684171	0.205191398
1eum	33	-0.883003381	-0.459708890	-0.222357667	-0.151058808	-0.105281591
1eum	34	0.162914213	0.089178898	0.060027000	-0.066418131	0.070520598
1eum	35	0.142263441	-0.049865872	-0.102343297	-0.040083828	-0.136428565
1eum	36	0.717879235	0.570314612	0.338464988	0.287134933	0.243655166
1eum	37	0.136721807	0.167890019	0.098361745	-0.099838243	-0.196617144
1eum	38	-0.858980817	-0.061169363	-0.020668207	-0.017755769	0.190199538
1eum	39	-0.523894175	-0.350183532	-0.088038075	0.145315952	0.272398262
1eum	40	0.254866709	-0.468160041	0.191652157	0.338194983	0.285267422
1eum	41	-0.577617226	0.208240476	-0.120904195	-0.122918819	-0.095225598
1eum	42	-0.456310292	-0.536412190	-0.632346953	-0.607524683	-0.700043510
1eum	43	-0.188045165	-0.195303592	-0.064219765	-0.125736524	-0.124125959
1eum	44	0.884207091	0.889353401	0.558139565	0.237103502	0.255438886
1eum	45	-1.618162136	-0.726194188	-0.957933912	-0.520942398	-0.297089475
1eum	46	0.348687016	0.155011717	-0.256911897	-0.065069134	-0.165175215
1eum	47	0.273784633	0.536088755	0.288306328	0.092866772	0.004979949
1eum	48	0.560032819	0.592270064	0.505068335	0.600241472	0.530969039
1eum	49	-0.107823043	-0.068259231	0.087042927	0.142953630	0.065756343
1eum	50	0.329273216	0.612863555	0.396549867	0.569254072	0.446694329
