# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1dxe	1	153.088852895	154.266500001	137.244684553	141.933364167	131.908318702	-0.571110633	-0.578111333	-0.862301385	-0.743486323	-0.684175966
1dxe	2	64.254571422	104.998874205	111.100257144	116.267538412	116.403605832	-0.621148502	-0.890425818	-0.808360030	-0.343234976	-0.153847171
1dxe	3	62.439527304	90.155422164	96.231454588	106.823725530	114.986568739	0.010997901	0.249560889	0.063503688	0.571036973	0.452819893
1dxe	4	142.928289262	148.911787540	144.645189753	146.688179318	148.536380315	-0.484738935	-0.258214198	-0.580054456	-0.610304907	-0.437450586
1dxe	5	150.775755984	114.339423044	99.153533069	109.173402151	116.266127708	-0.534254158	-0.593396923	0.226190518	-0.401576237	-0.251933786
1dxe	6	153.842183865	155.234426964	155.096631313	154.968619882	147.407018913	0.990496178	0.103635759	0.326177553	0.455678817	0.488399112
1dxe	7	85.917850965	88.166867237	110.651684757	115.580109144	119.559995886	-1.057441989	-0.760351852	-0.383534779	-0.565847886	-0.706976250
1dxe	8	151.242930869	150.695539969	152.653900141	142.316118005	144.791937278	153.712326091	118.487978923	121.269553880	129.507232714	134.315459012
1dxe	9	102.922774209	130.390577175	139.038755862	142.630047674	145.205583525	118.354618942	138.101450669	144.358866010	145.465008491	136.337952913
1dxe	10	131.684082265	143.313203743	146.541480032	141.926199043	144.688932227	0.125393947	0.270034953	-0.129653313	-0.288364257	-0.386875379
1dxe	11	111.422910027	130.605874440	138.746068857	136.923806335	140.744986651	1.274956897	0.939389449	0.609663556	0.265770551	0.105456292
1dxe	12	139.488096559	147.510448974	150.010905285	150.938079458	151.972537984	0.142618800	0.138588343	0.156997952	0.284986139	0.348165458
1dxe	13	155.319799544	116.823826290	117.653124732	122.000917193	127.910285101	1.200660819	0.900551759	0.129346467	0.167276313	-0.034552099
1dxe	14	155.116927823	155.026368966	154.528163412	154.618966562	155.142319145	0.931222644	0.686247310	-0.402154141	-0.245138835	-0.097912700
1dxe	15	155.106018037	138.922553208	135.190839894	140.009342501	138.818750287	-1.471167758	-0.542007312	-0.256360782	-0.010010737	-0.080410002
1dxe	16	142.128305743	148.972413016	151.464038058	152.064841935	153.194264980	127.035491166	131.624107035	107.817466800	97.669089506	103.522396330
1dxe	17	87.246319990	106.878070331	112.588403854	109.179282356	111.833471100	-1.411745368	-0.023941007	0.075125067	-0.391935120	-0.302686937
1dxe	18	142.731741031	107.549981013	95.880584503	89.230472446	84.547006924	-0.593718374	0.387428854	-0.092505825	-0.349370550	0.083119451
1dxe	19	124.887024431	136.134854408	140.381957951	133.855340524	138.239863080	-0.368190558	0.064145364	0.103072147	0.172204807	0.202225267
1dxe	20	82.978946968	105.308466115	118.121868521	114.955214347	116.915245504	2.064849046	1.118996365	0.392320353	0.365885152	0.429417488
1dxe	21	155.817362270	156.916594318	155.964417510	138.670003861	127.974697285	107.016569265	130.891543124	139.010851999	142.888701297	145.246569555
1dxe	22	154.117993759	155.150085359	154.212376327	154.905856877	155.110367326	-0.481560962	-0.279802800	-0.283496746	0.137873258	0.163039384
1dxe	23	84.398728678	111.199638348	117.515073820	114.826306872	105.338735505	0.159901722	-0.213003464	-0.391237233	-0.137292075	-0.141615430
1dxe	24	110.153845362	133.649754448	135.509814639	119.764637975	117.287154668	79.317929274	117.442412221	126.036849636	117.361626896	117.473282719
1dxe	25	154.680500374	150.970479801	152.022229791	152.633799064	152.534052851	-0.473470267	-0.401325884	-0.246608254	-0.108082897	-0.051497722
1dxe	26	66.654178589	86.185267272	110.126816222	120.071038069	117.677972611	-1.599550265	-1.252388381	-0.841090741	-0.719823243	-0.681156950
1dxe	27	153.867823411	111.081402011	97.993491878	105.325217863	113.452909923	-0.047792124	0.028047256	-0.150787829	0.005988989	-0.014041965
1dxe	28	150.001060837	140.212930260	134.201654569	139.689782276	143.054091415	1.081760165	0.526831584	0.495547042	0.106240736	-0.172578057
1dxe	29	154.178286442	118.869757111	101.838268772	92.403434938	86.524357014	-0.240512419	0.529814088	0.482860316	0.328695164	0.343149972
1dxe	30	154.397209163	136.544411153	127.784539974	112.786687935	111.178031920	-0.502960593	-0.488754809	-0.301730378	-0.090929281	-0.094340423
1dxe	31	71.299316098	76.156313009	102.172836695	114.648963408	104.977377151	0.381987678	0.493675033	0.415660829	0.813217513	0.727670735
1dxe	32	103.459764387	84.767096098	106.740549156	118.517010658	113.302572452	-1.495202771	-1.084949232	-1.164043328	-1.403980985	-0.873938146
1dxe	33	117.586582277	136.747202504	142.465402331	142.742264229	144.756773649	0.349962046	0.778874724	0.262467842	0.431887064	0.768106107
1dxe	34	84.445355398	108.137824436	121.161477985	125.514451698	126.355100806	46.551336344	76.896749250	103.493782175	106.446172835	109.566122876
1dxe	35	154.516977177	155.718301032	154.340892146	154.651665946	142.183249406	0.719551773	0.501489813	0.982056443	0.713322935	0.742273181
1dxe	36	155.516802756	133.095447006	119.149922640	118.589995133	124.712324304	107.800671565	130.912752968	139.176625483	142.927966956	134.943725059
1dxe	37	64.054207217	90.343040262	111.805387818	122.387245393	128.726717645	0.344102166	0.226511016	0.078123072	-0.176624908	-0.145631646
1dxe	38	100.547601582	65.980598693	43.515909175	32.292976418	25.684110161	-0.525028319	-0.749471682	-0.871071117	-0.892660237	-0.901727629
1dxe	39	91.849891626	105.385578795	119.766972829	123.528115070	130.042575304	153.805044407	152.592340783	153.408628563	149.505449033	134.284650668
1dxe	40	155.187613343	155.137019362	155.257616929	153.700915516	153.630025911	-0.279970250	-0.273647430	-0.290575028	0.002518900	0.145823950
1dxe	41	72.300790598	69.847802121	72.938676984	93.068547111	100.597107450	0.730088058	0.926313801	0.815974800	0.264098288	0.315585519
1dxe	42	106.363842700	131.707773850	113.189826914	123.890102749	120.729712460	0.421576635	1.269956187	1.382811662	1.400490068	1.150354776
1dxe	43	110.462353298	132.704786592	134.987978046	132.383144306	137.143882336	0.759072096	0.201748466	0.722346064	0.269452930	0.414919090
1dxe	44	67.860231305	89.916354193	102.596703390	109.588391759	115.739287893	98.435172565	125.330888670	117.030250996	120.338104318	126.395860859
1dxe	45	155.455659547	150.743312779	139.037247294	142.781663685	144.942431314	0.455704622	0.419467310	0.168965182	-0.017426969	0.263434183
1dxe	46	70.787789527	69.136414205	74.034815862	94.996159993	107.162392988	-0.425224743	-0.749355393	-0.899742932	-0.367064726	-0.299953396
1dxe	47	70.521915927	103.896042606	119.059019630	128.665459057	131.125197996	-0.465120589	-0.716758619	-0.324301405	-0.434885012	-0.318392608
1dxe	48	157.169761410	156.120457005	128.291781076	118.403710600	125.266253000	155.253957821	154.813676846	154.536940748	155.131229288	141.428629767
