# pdbid	traj	last100	last200	last300	last400	last500
1dxe	1	0.360345750	1.429936427	0.803446013	0.875783532	0.520938595
1dxe	2	-0.353671192	0.309014173	0.053842278	0.137667758	0.118174359
1dxe	3	0.212670082	0.622591961	0.721339017	0.137883391	-0.044838038
1dxe	4	1.155422699	1.172215981	0.866212545	0.815828446	0.660096529
1dxe	5	-0.459307789	-0.499085159	-0.582810520	-0.110671297	-0.009768155
1dxe	6	-0.036330157	-0.312857822	0.736940825	0.698074983	0.308448871
1dxe	7	1.762725112	1.166500844	0.650304310	0.626959293	0.658026027
1dxe	8	-73.752115495	-70.386623720	-71.454087607	-72.133677465	-72.345878290
1dxe	9	-72.021400315	-73.022273941	-73.369581967	-73.538200077	-72.469895263
1dxe	10	0.484307024	0.329717964	-0.025820335	-0.145609175	-0.338381068
1dxe	11	-1.796580480	-0.294310577	0.215396012	0.032638545	0.007831464
1dxe	12	0.532813456	1.032464458	0.612701755	0.220213688	0.114939021
1dxe	13	-0.885518966	-0.066891177	-0.628249790	-0.395403937	-0.067010145
1dxe	14	1.005591237	1.040552118	0.571792178	0.080678144	0.437124671
1dxe	15	-0.072979925	0.831787585	0.864486950	1.087621029	1.227555388
1dxe	16	-70.668390060	-72.017595456	-69.363307042	-68.526938624	-69.325512766
1dxe	17	0.066288021	0.395388215	0.565537053	0.512171170	0.411113417
1dxe	18	1.145936769	0.100788823	0.945299847	1.376666965	1.135631800
1dxe	19	-2.064767946	-2.329547443	-1.430913845	-0.779504374	-0.803218484
1dxe	20	-1.197254648	-0.156500180	0.301457413	0.229810900	0.293006007
1dxe	21	-73.249802504	-73.826814657	-73.975678268	-73.892377058	-73.778350798
1dxe	22	-0.005286199	-0.033139494	-0.272572595	-0.093094507	0.286276747
1dxe	23	-0.380403636	0.495133592	0.770085545	0.627174910	0.923746025
1dxe	24	-68.967856454	-71.601468373	-72.390696873	-71.468834023	-71.266476780
1dxe	25	1.804979670	0.769460292	0.617375163	0.319635589	0.635120537
1dxe	26	-0.859864453	-0.690704188	-0.538665430	-0.266813256	-0.403085604
1dxe	27	-0.757461672	-0.514074004	-0.780169337	-0.829485022	-0.684464174
1dxe	28	0.432351079	0.129364601	0.368609635	0.464023738	0.619548301
1dxe	29	2.652228111	1.178362370	0.452514065	0.299632632	0.232226832
1dxe	30	-0.362725795	-0.645522148	-0.055154442	-0.047103841	-0.232912586
1dxe	31	0.184428531	-0.821936663	-0.718193605	-0.783602102	-0.601728556
1dxe	32	0.793024633	0.613749756	-0.072194123	0.423910047	0.565757321
1dxe	33	-0.080094033	0.208298241	0.252279472	0.135133661	0.433026694
1dxe	34	-55.746685322	-62.001434574	-66.320962565	-68.170928551	-69.087313795
1dxe	35	0.823853171	0.667019156	0.215108470	0.397868403	0.451187125
1dxe	36	-71.996607736	-72.993482313	-73.683989932	-73.860458571	-73.211711429
1dxe	37	-1.285213298	-0.085869786	-0.488409035	-0.105657068	-0.083315667
1dxe	38	-0.696451109	-0.441286764	0.014586145	-0.008769314	-0.072919834
1dxe	39	-72.448904948	-73.327656427	-73.669250905	-73.530490049	-72.197359700
1dxe	40	0.909655975	0.394417747	0.440147707	0.458955641	0.154279406
1dxe	41	0.026835922	-0.206319066	0.101222685	0.662975349	0.609281830
1dxe	42	0.273033913	-1.105429261	-0.805189690	-0.414005118	-0.522314536
1dxe	43	-1.339325060	-0.694586104	-0.732285515	-0.408451667	-0.320867680
1dxe	44	-73.243335127	-73.152643772	-71.669780223	-71.594728907	-71.864174407
1dxe	45	-0.823646177	-0.757560476	0.240128785	0.035010894	-0.123216783
1dxe	46	1.185173358	1.256109925	0.794243128	0.496697193	0.187667030
1dxe	47	0.208358516	0.440893731	0.015664653	0.103808208	-0.089441032
1dxe	48	-74.232438531	-73.616648485	-73.511651493	-73.649214027	-72.605300378
1dxe	49	0.764782984	0.624425197	0.419009850	0.324649880	0.120762493
1dxe	50	-67.648046139	-68.041367237	-70.183801825	-71.086081504	-71.660743348
