# pdbid	traj	last100	last200	last300	last400	last500
3pco	1	-6.185173876	-6.009400142	-6.179053965	-6.306295202	-6.175946072
3pco	2	-11.340734040	-11.037318316	-10.783582555	-10.604071018	-10.558701702
3pco	3	-30.709857271	-30.942123491	-31.105043440	-31.257044998	-31.314689624
3pco	4	-31.308745180	-31.200485223	-31.144197592	-31.304856350	-31.333850501
3pco	5	-10.716496709	-10.830132460	-10.386492965	-10.356256492	-10.440471257
3pco	6	-3.026392024	-3.289534331	-3.830494930	-3.829728714	-3.844452532
3pco	7	-6.620232256	-7.028795902	-7.299810070	-7.262918759	-7.049783621
3pco	8	-20.683307879	-20.509921132	-20.358438040	-20.379717608	-20.206640208
3pco	9	-30.095969063	-30.200785234	-30.008730702	-30.075135124	-30.215024861
3pco	10	-3.897494273	-3.641500510	-3.449591895	-3.285089893	-3.410087945
3pco	11	-0.113884205	-0.502293948	0.020376142	-0.038305847	-0.224685886
3pco	12	-6.749627421	-15.261519295	-26.840589225	-32.479364897	-35.973876787
3pco	13	-9.593020765	-9.898497267	-9.977556602	-9.902517702	-9.872381905
3pco	14	-4.694641477	-4.328837345	-4.619166455	-4.631167660	-4.738508104
3pco	15	-9.749571537	-10.147064391	-10.063687955	-10.235259246	-10.295296115
3pco	16	-3.878959378	-3.525146888	-3.504740968	-3.479102403	-3.507006306
3pco	17	-3.480966582	-3.577347398	-3.235770887	-3.463166363	-3.731405953
3pco	18	-10.180052736	-10.523373052	-10.256329293	-10.285826228	-10.301909258
3pco	19	-6.861004858	-6.836108695	-6.869309358	-7.080929539	-6.919948181
3pco	20	-15.406234228	-14.976049160	-14.951217000	-14.848684507	-14.982641044
3pco	21	-4.681024610	-4.355789734	-4.328262380	-4.534694784	-4.442216750
3pco	22	-19.805678418	-20.031357210	-20.234836492	-20.142609222	-20.198072997
3pco	23	-3.816531987	-3.231666712	-3.210856483	-3.586570137	-3.598136310
3pco	24	-51.295127001	-50.553401185	-51.037136137	-51.276079507	-51.125307080
3pco	25	-6.002370330	-6.691501114	-6.444786195	-6.445597053	-6.341622610
3pco	26	-7.243763486	-6.950263176	-6.935512525	-6.656052889	-6.325362871
3pco	27	-3.326308163	-3.475437237	-3.382930175	-3.312183956	-3.525713010
3pco	28	-43.945575637	-44.104224556	-44.328382215	-44.416991054	-44.543420774
3pco	29	-31.922218636	-31.730972396	-31.913791180	-31.963486438	-31.928937008
3pco	30	0.344426034	0.472348954	0.524492117	0.481159929	0.307577933
3pco	31	-30.712722759	-31.090827687	-31.150441985	-31.293095808	-31.356022736
3pco	32	-14.885221814	-14.788499678	-14.795889873	-14.756569903	-14.714418749
3pco	33	-38.162456919	-38.186467199	-38.352942465	-38.336060480	-38.394834389
3pco	34	-37.577387316	-36.826452261	-36.976990573	-36.978431530	-37.150940088
3pco	35	-36.638237766	-36.256713240	-35.989954915	-36.006413963	-35.960904423
3pco	36	-3.796359048	-3.515434514	-3.317738837	-3.261168256	-3.452770582
3pco	37	-15.220836447	-15.222770510	-15.337998985	-15.474075862	-15.379232625
3pco	38	-3.105268943	-2.967756753	-3.005390913	-2.961383138	-2.946555247
3pco	39	-41.638737054	-41.593550757	-41.665377738	-41.631912595	-41.594713736
3pco	40	-10.536817234	-10.289612621	-10.453353155	-10.678269199	-10.425736867
3pco	41	-4.931875697	-4.201888586	-4.342927960	-4.394173225	-4.439732817
3pco	42	-9.689340450	-10.403750607	-10.454336130	-10.500530508	-10.509053580
3pco	43	-3.712145555	-4.182726637	-4.328329478	-4.226873849	-4.199027534
3pco	44	-46.976074505	-46.762245219	-46.868017665	-46.588319640	-46.244288920
3pco	45	-6.362394355	-5.640715673	-5.667745015	-5.744926676	-5.779748082
3pco	46	-10.757708561	-10.372863967	-10.323322330	-10.313910000	-10.499952400
3pco	47	-3.361497744	-3.390364597	-3.218126253	-3.293111382	-3.123818560
3pco	48	-38.045804198	-37.684478733	-37.633125945	-37.634921967	-37.543902626
3pco	49	-10.969847871	-10.917219550	-10.741260403	-10.902893249	-11.036683837
3pco	50	-10.497210487	-10.049511357	-9.966143920	-9.883582583	-9.780890469
