# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2hnh	1	23.239559526	22.654126064	24.702161295	24.890262378	25.578194706	51.181549526	52.939788631	49.161700963	48.584351403	49.504324572
2hnh	2	1.491814591	1.611267989	1.698547658	1.619183892	1.713000231	2.211868097	2.000424706	1.880090110	1.998135560	2.007432466
2hnh	3	0.122606826	0.155558023	0.259810997	0.344357759	0.250923709	0.148720036	0.187430456	0.133125205	0.183986698	0.225982994
2hnh	4	1.400088323	1.232118649	1.244773292	1.180992713	1.109835198	0.969544411	0.848075715	0.845152910	0.831013379	0.895202552
2hnh	5	1.483862967	1.708153000	1.911101723	1.944499218	1.968339249	2.422569057	2.597511735	2.661037714	2.703172307	2.574900332
2hnh	6	78.125471977	76.892481358	76.403519631	75.891861345	75.328691689	1.663272657	1.263275423	1.268368044	1.159881439	1.140971719
2hnh	7	41.867501809	45.347332155	46.237751383	45.946040306	46.305124425	0.849358697	1.097918296	1.372800030	0.998295075	1.034246776
2hnh	8	0.575223176	0.913176745	0.853393238	1.108818185	0.999314589	-0.185649312	0.130443603	0.418014220	0.723748147	0.922821557
2hnh	9	2.199780592	2.116378910	2.080451635	2.239287961	2.149759213	1.847535838	2.167364056	1.973075520	2.037080516	2.021914782
2hnh	10	23.486519917	23.377360813	23.009504667	23.857656183	23.295389272	27.223521411	24.813172608	23.748798386	26.647665795	26.504572231
2hnh	11	1.097417879	1.133941364	1.168740513	1.130212195	1.036845725	2.117506987	1.340123378	1.217301853	1.070196204	1.014183326
2hnh	12	0.958026661	0.972123234	1.290410689	1.507302815	1.604945955	1.904373375	1.534423632	1.847180132	2.097154233	2.074325258
2hnh	13	1.608325293	2.768250605	0.990286406	1.474714458	1.874835355	-0.563071182	2.263026456	3.590028491	4.121952529	3.655546811
2hnh	14	1.743865389	2.110403547	1.868776006	1.908853637	1.731318282	2.547730010	1.868543769	1.524208904	1.470144183	1.545671286
2hnh	15	1.601855116	1.590042308	1.443402016	1.389405162	1.259222491	0.738045683	1.144248690	1.115504492	1.058721637	1.090942803
2hnh	16	2.044016269	1.620327780	1.076875468	1.468662936	1.989982953	0.425973209	0.648613787	0.638416543	0.809898711	0.796525338
2hnh	17	72.182961343	69.663301846	68.030684951	62.372757788	56.892310843	5.486342674	5.212584821	4.760779231	4.813216141	4.716034570
2hnh	18	-3.216012767	-2.536604094	-2.560188325	-2.355065605	-2.247780197	-2.523826721	-1.919605520	-1.998966279	-1.897474441	-1.976094301
2hnh	19	79.396132767	76.761508777	75.825714731	75.347511873	75.622111733	1.511435517	1.143660716	1.177892040	1.242016134	1.220900729
2hnh	20	1.868318171	1.526898510	1.597286541	1.607681431	1.528417120	-0.513136971	0.071596946	0.580576865	0.675620792	0.788029607
2hnh	21	14.866773994	15.172618738	15.457722143	16.007230139	16.370453546	8.749456898	8.723873225	8.759489734	8.152328772	7.977410448
2hnh	22	0.403156285	0.312264959	0.202047039	0.178140998	0.246581928	0.602525695	0.753077555	0.565000913	0.511888559	0.483712938
