# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1uuf	1	376.179962597	306.526059423	286.061053570	275.722092684	254.113475673	0.003289076	-0.637848400	-0.165975653	-0.160998794	-0.119286530
1uuf	2	412.631211993	335.163306439	305.321629796	293.225022866	284.687157653	-2.040688199	-0.795309721	-0.711285165	-0.796840761	-0.739247566
1uuf	3	497.275047522	416.051771752	361.820667830	335.826572982	320.455182612	-0.030039807	0.296826386	0.103853861	0.252769212	0.058494649
1uuf	4	452.293355639	351.896345025	317.765263579	300.220557600	291.123379948	260.844407316	256.521088011	251.822786377	252.006196074	246.375064009
1uuf	5	266.987216346	265.923416115	263.598127839	263.649910805	261.807218092	253.430822003	259.644976543	255.267597084	255.952656163	256.352073949
1uuf	6	262.807518187	252.910799282	253.726185880	253.834076492	254.843564985	-1.507850838	-1.037242075	-0.588022221	-0.507202991	-0.326520145
1uuf	7	380.538933829	295.224394803	281.304766978	275.648440821	270.293183524	-0.007897637	0.044256303	0.287408548	0.265916038	0.055907464
1uuf	8	494.212584028	437.015324539	376.630305559	343.613668096	327.432101121	1.004287289	0.699397253	0.630365689	0.199857935	-0.023185085
1uuf	9	494.248123021	383.489155554	342.840114537	320.568464054	309.330526246	-0.103011119	0.653591876	0.869054322	0.673947400	0.267881310
1uuf	10	492.621822905	480.289543197	404.051942600	348.938766795	331.231533028	264.261420640	256.438709055	254.796888664	254.846176452	255.009220195
1uuf	11	469.308089895	388.705301537	338.703310900	315.806158963	301.924459315	1.241291435	2.247307008	1.356481990	0.955599606	0.793024059
1uuf	12	498.930612087	440.068423996	379.643748303	347.763769632	327.889327135	-0.997580334	-1.001123366	-0.363674643	-0.259161385	-0.276826181
1uuf	13	421.791998098	405.376110472	401.717198378	397.533822692	398.209067816	266.136788019	264.533819823	260.825734439	260.664711752	259.947126102
1uuf	14	429.618486003	412.162773035	405.691169372	381.525110729	358.200364384	-0.684623629	0.161434793	-0.034463083	-0.250860511	-0.156682357
1uuf	15	339.364753946	296.485561872	282.213856793	274.296640758	271.454647756	-0.056371259	0.798771819	0.298190102	0.195914535	-0.077285626
1uuf	16	273.214202881	268.364019886	264.008858026	260.285413302	256.813228271	0.171054292	0.474424867	0.280768715	0.029948144	0.230642305
1uuf	17	427.117162687	331.681341449	303.647556617	292.362048913	282.325354065	-0.102807188	-0.158646450	0.278616646	0.332958894	0.029074951
1uuf	18	375.219790801	312.856366123	291.777867396	283.798579881	278.620671270	0.337039306	-0.294444294	-0.221810425	-0.198405970	-0.054771018
1uuf	19	286.871710727	273.181481490	267.031593743	264.565414470	263.245966255	1.166007147	0.969931030	0.153495928	0.114406671	0.011726160
1uuf	20	404.150426728	322.852853302	297.937418726	286.584383140	280.476560912	0.909957979	1.092576800	0.708340314	0.599969509	0.507626516
1uuf	21	492.173481544	492.866475664	494.546269375	494.311112091	493.576146374	-0.109435283	-0.811077959	-0.094150410	-0.004427405	-0.051368613
1uuf	22	495.085028143	481.794720839	402.406022128	340.335800815	282.700866500	-0.253692235	0.065273251	0.312898049	0.356433716	0.343781155
1uuf	23	159.219618844	211.660296768	228.280764290	236.715502724	237.821608142	0.284891271	0.095217087	0.038306736	-0.268933558	-0.160985174
