pdb, traj, TF, DnaK, GroEL, aggregation, degradation, function
2id0,31,True,True,True,False,False,False
2id0,33,True,True,True,False,False,False
2id0,32,True,True,True,True,True,False
1xvi,38,False,True,True,False,True,False
1xvi,39,False,True,True,False,True,False
1xvi,34,False,True,True,False,True,False
1xvi,35,False,True,True,False,True,False
1xvi,36,False,True,True,False,True,False
1xvi,37,False,True,True,False,True,False
1xvi,30,False,True,True,True,True,True
1xvi,31,False,True,True,False,True,False
1xvi,32,False,True,True,False,True,False
1xvi,33,False,True,True,False,True,False
4iwx,30,True,True,True,False,False,True
4iwx,31,True,True,True,False,False,True
4iwx,34,True,True,True,False,False,True
4iwx,35,True,True,True,False,False,True
4iwx,39,True,True,True,False,False,True
1a69,37,True,True,True,True,True,True
1a69,36,False,True,False,False,False,True
1fui,17,False,True,True,False,False,True
1a69,32,True,True,True,False,True,True
1a69,31,True,True,False,False,False,True
1fui,19,False,True,True,True,True,False
1fui,18,False,True,True,False,False,True
1a69,39,True,True,True,False,True,True
2wiu,16,True,True,True,False,False,True
2wiu,15,True,True,True,False,False,True
2wiu,12,True,True,True,True,False,True
2wiu,11,True,True,True,False,False,True
2wiu,10,True,True,True,True,True,True
2wiu,18,True,True,True,False,False,True
1u60,38,True,True,True,True,True,True
1u60,39,True,True,True,False,True,True
1u60,34,True,True,True,True,False,True
1u60,35,True,True,True,True,True,True
1u60,30,True,True,True,True,True,True
1u60,31,True,True,True,True,True,True
1u60,33,True,True,True,True,True,True
4dzd,48,True,True,True,True,True,True
2hnh,47,True,True,True,True,True,False
2hnh,46,True,True,True,True,False,True
2hnh,49,False,True,True,True,True,False
3hwo,19,True,True,True,False,True,True
3hwo,18,True,True,True,True,True,False
3hwo,17,True,True,True,True,True,True
3hwo,14,True,False,False,False,False,True
3hwo,13,True,True,False,True,False,True
1ksf,6,True,True,True,True,True,False
2id0,35,True,True,True,False,False,True
2id0,34,True,True,True,False,False,True
2id0,38,True,True,True,False,False,True
1oro,46,True,True,True,True,True,False
2id0,50,True,True,True,False,False,True
1p91,24,False,True,True,True,True,False
1xvi,16,False,True,True,True,True,True
1xvi,17,False,True,True,False,True,False
1xvi,14,False,True,True,False,True,False
1xvi,15,False,True,True,True,True,True
1xvi,12,False,True,True,True,True,True
1xvi,13,False,True,True,True,True,True
1xvi,10,False,True,True,False,True,False
1xvi,11,False,True,True,False,True,False
1xvi,18,False,True,True,False,True,False
1xvi,19,False,True,True,False,True,False
4iwx,18,True,True,True,False,False,True
4iwx,12,True,True,True,False,False,True
4iwx,11,True,True,True,False,False,True
4iwx,16,True,True,True,False,False,True
4iwx,15,True,True,True,False,False,True
1zyl,10,True,True,True,True,True,True
1zyl,11,True,True,True,True,True,True
3brq,2,True,True,True,True,True,False
1zyl,17,True,True,True,False,False,True
1zyl,18,True,True,True,True,True,True
1xru,49,True,True,True,True,True,True
1xru,44,True,True,True,True,True,False
1p91,22,False,False,True,False,False,True
1p91,23,False,True,True,True,True,False
1fui,39,False,True,True,False,False,True
1fui,38,False,True,True,False,False,True
1a69,17,True,True,False,False,False,True
1fui,37,False,True,True,False,False,True
1fui,36,False,True,True,False,False,True
1fui,31,False,True,True,False,False,True
1fui,30,False,True,True,False,False,True
1fui,33,False,True,True,False,False,True
1fui,32,False,True,True,False,False,True
1ef9,14,True,False,True,False,False,True
2wiu,30,True,True,True,False,False,True
2wiu,33,True,True,True,False,False,True
2wiu,34,True,True,True,False,False,True
2wiu,36,True,True,True,False,False,True
2wiu,38,True,True,True,False,False,True
2ptq,1,True,True,True,True,True,False
2fym,5,True,True,True,True,True,True
3hwo,39,True,True,True,True,True,True
3hwo,31,True,True,True,False,True,True
3hwo,35,True,True,True,True,True,True
4hr7,1,False,True,False,True,False,True
1ng9,42,True,True,True,True,True,True
1ng9,43,True,True,True,True,True,False
1dxe,36,True,True,True,False,False,True
1ng9,49,True,True,True,True,True,True
4hr7,7,False,True,False,True,False,True
4hr7,6,False,True,False,True,False,True
4hr7,9,False,True,True,True,True,False
4hr7,8,False,True,True,True,True,False
1a69,4,True,True,True,False,True,True
1a69,6,True,True,True,False,True,True
1a69,1,True,True,False,False,False,True
2jo6,8,True,True,True,True,True,False
2jo6,2,False,True,True,True,True,False
2jo6,7,True,True,True,True,True,False
2jo6,6,True,True,True,True,True,False
2hg2,47,False,True,True,False,False,True
2hg2,44,False,True,True,True,True,False
2hg2,45,False,True,True,True,False,True
2hg2,42,False,True,True,False,False,True
1oro,22,True,True,True,True,True,False
2jo6,12,True,True,True,True,True,False
2jo6,11,True,True,True,True,True,False
2jo6,10,True,True,True,True,True,False
2jo6,15,True,True,True,True,True,False
2jo6,14,True,True,True,True,True,False
2jo6,18,True,True,True,True,True,False
4a2c,39,True,True,True,True,True,False
1pmo,16,True,True,True,True,True,True
1pmo,15,True,True,True,True,True,True
2kx9,50,True,True,True,True,True,False
2r5n,46,True,False,True,False,False,True
2r5n,47,True,True,True,True,True,True
2r5n,45,True,True,True,True,True,True
2r5n,42,True,False,True,False,False,True
2r5n,43,True,False,True,False,False,True
2r5n,41,True,True,True,True,True,True
2r5n,48,True,True,True,True,True,False
2r5n,49,True,False,True,False,False,True
1zyl,39,True,True,True,False,False,True
1zyl,36,True,True,True,False,False,True
1zyl,37,True,True,True,False,False,True
1fui,13,False,True,True,False,False,True
1fui,12,False,True,True,False,False,True
1fui,11,False,True,True,False,False,True
1k7j,28,True,False,False,False,False,True
1k7j,22,True,True,True,True,True,False
1k7j,20,True,True,True,True,True,True
1k7j,26,True,False,False,False,False,True
1k7j,24,True,True,True,True,True,True
1k7j,25,True,False,False,False,False,True
1fui,15,False,True,True,False,False,True
1u60,48,True,True,True,False,False,True
1u60,45,True,True,True,False,True,True
1u60,44,True,True,True,False,False,True
1u60,46,True,True,True,True,True,True
1u60,41,True,True,True,True,True,True
1u60,43,True,True,True,True,True,True
1gt7,1,True,True,True,True,True,False
1gqt,26,False,False,True,False,False,True
1gqt,27,False,False,True,False,False,True
1gqt,24,False,False,True,False,False,True
1gqt,25,False,False,True,False,False,True
1gqt,22,False,False,True,False,False,True
1gqt,23,False,False,True,False,False,True
1gqt,20,False,False,True,False,False,True
1gqt,21,False,False,True,False,False,True
1gqt,28,False,False,True,False,False,True
1gqt,29,False,False,True,False,False,True
2ww4,13,True,True,True,True,True,False
3m7m,42,True,True,True,True,True,False
3pco,28,True,True,True,False,False,True
3pco,29,True,True,True,False,False,True
3pco,22,True,True,True,False,False,True
3pco,23,True,True,True,True,True,False
3pco,20,True,True,True,False,False,True
3pco,21,True,True,True,False,False,False
3pco,26,True,False,True,True,False,False
3pco,27,True,True,True,True,True,False
3pco,24,True,False,True,True,False,True
3pco,25,True,False,True,True,False,False
1pmo,6,True,True,True,True,True,True
1pmo,3,True,True,True,True,True,True
1glf,28,True,True,True,False,False,True
2hg2,20,False,True,True,True,True,True
2hg2,21,False,True,True,False,False,True
2hg2,23,False,True,True,False,False,True
2hg2,24,False,True,True,False,False,True
2hg2,25,False,True,True,True,False,True
2hg2,26,False,True,True,True,True,True
2hg2,28,False,True,True,True,False,True
2jo6,39,True,True,True,True,True,False
2jo6,38,True,True,True,True,True,False
2jo6,36,True,True,True,True,True,False
2jo6,31,True,True,True,True,True,False
2jo6,33,True,True,True,True,True,False
2jo6,32,True,True,True,True,True,False
4a2c,18,True,True,True,True,True,False
1pmo,31,True,True,True,True,True,True
1xvi,50,False,True,True,False,True,False
2r5n,21,True,False,True,False,False,True
2r5n,22,True,False,True,True,True,True
1ger,30,True,True,True,False,True,False
2r5n,28,True,False,True,True,True,True
2r5n,29,True,False,True,False,False,True
2h1f,45,True,True,True,False,False,True
1a69,50,True,True,True,False,True,True
1yqq,29,True,True,True,False,False,True
1yqq,27,False,True,True,False,False,True
1yqq,24,True,True,True,False,False,True
1yqq,23,False,True,True,False,True,True
1yqq,21,False,True,True,False,False,True
1yqq,20,True,True,True,False,False,True
1dfu,35,True,True,True,True,True,True
1gqt,40,False,False,True,False,False,True
1gqt,41,False,False,True,False,False,True
1gqt,42,False,False,True,False,False,True
1gqt,43,False,False,True,False,False,True
1gqt,44,False,False,True,False,False,True
1gqt,45,False,False,True,False,False,True
1gqt,46,False,False,True,False,False,True
1gqt,47,False,False,True,False,False,True
1gqt,48,False,False,True,False,False,True
1gqt,49,False,False,True,False,False,True
1svt,23,True,True,True,True,True,True
2v81,37,True,True,True,False,False,True
2v81,36,True,True,True,False,False,True
2v81,35,True,True,True,False,False,True
2v81,34,True,True,True,False,False,True
2v81,33,True,True,True,False,False,True
2v81,32,True,True,True,False,False,True
2v81,31,True,True,True,False,False,True
2v81,30,True,True,True,False,False,True
2v81,39,True,True,True,False,False,True
2v81,38,True,True,True,False,False,True
1glf,43,False,True,True,False,False,True
1glf,40,False,True,True,False,False,True
1glf,47,False,True,True,False,False,True
1glf,46,False,True,True,False,False,True
1glf,45,False,True,True,False,False,True
1glf,48,False,True,True,False,False,True
1naq,7,True,True,True,False,False,True
1u0b,4,True,True,True,True,True,False
1u0b,5,True,True,True,True,True,False
1u0b,6,True,True,True,True,True,False
1u0b,7,True,True,True,True,True,True
1u0b,1,True,True,True,True,True,False
1u0b,2,True,True,True,True,True,False
1u0b,3,True,True,True,True,True,True
1u0b,8,True,True,True,True,True,False
1u0b,9,True,True,True,True,True,True
1pf5,38,True,True,True,True,True,False
1ger,13,True,True,True,False,True,False
1fjj,3,True,True,True,True,True,False
2kx9,34,True,True,True,True,True,False
2kx9,37,True,True,True,True,True,False
2kx9,30,True,True,True,True,True,False
2kx9,31,True,True,True,True,True,False
2kx9,38,True,True,True,True,True,False
1svt,40,True,False,True,False,False,True
1svt,45,True,False,True,True,True,True
1svt,48,True,False,True,False,False,True
2v81,11,True,True,True,False,False,True
2v81,10,True,True,True,False,False,True
2v81,13,True,True,True,False,False,True
2v81,12,True,True,True,False,False,True
2v81,15,True,True,True,False,False,True
2v81,16,True,True,True,False,False,True
2v81,19,True,True,True,False,False,True
2v81,18,True,True,True,False,False,True
1pf5,16,True,True,True,True,True,False
1pf5,19,True,True,True,True,True,False
2yva,32,True,True,True,False,False,True
4kn7,18,False,False,False,False,False,True
4kn7,19,False,False,False,False,False,True
4kn7,14,False,False,False,False,False,True
4kn7,15,False,False,False,False,False,True
4kn7,16,False,False,False,False,False,True
4kn7,17,False,False,False,False,False,True
4kn7,10,False,False,False,False,False,True
4kn7,11,False,False,False,False,False,True
4kn7,12,False,False,False,False,False,True
4kn7,13,False,False,False,False,False,True
1duv,5,True,True,True,True,True,False
1duv,1,True,True,True,False,False,True
1uuf,28,True,True,True,False,False,True
2kx9,18,True,True,True,True,True,False
2kx9,19,True,True,True,True,True,False
2kx9,17,True,True,True,False,True,False
2kx9,14,True,True,True,True,True,False
2kx9,12,True,True,True,False,True,False
2kx9,10,True,True,True,True,True,False
2kx9,11,True,True,True,True,True,False
4hr7,48,False,True,True,True,True,False
4hr7,49,False,True,True,True,True,False
4hr7,44,False,True,True,True,True,False
4hr7,45,False,True,True,True,True,False
4hr7,42,False,True,False,True,False,True
4hr7,43,False,True,True,True,True,False
4hr7,40,False,True,True,True,True,False
4hr7,41,False,True,False,True,False,True
3bmb,18,True,True,True,False,False,True
1a6j,19,True,True,True,False,False,True
1h16,29,False,True,True,False,False,True
1h16,28,False,True,True,False,False,True
1h16,21,False,True,True,False,False,True
1h16,20,False,True,True,False,False,True
1h16,23,False,True,True,False,False,True
1h16,22,False,True,True,False,False,True
1h16,25,False,True,True,False,False,True
1h16,24,False,True,True,False,False,True
1h16,27,False,True,True,False,False,True
1h16,26,False,True,True,False,False,True
1sv6,27,True,True,True,True,True,True
1sv6,26,True,True,True,True,True,True
1p91,28,False,True,True,True,True,False
1sv6,22,True,True,True,True,False,True
3brq,23,True,True,True,True,True,False
1sv6,29,True,True,True,False,False,True
1w78,27,True,True,True,True,True,True
1w78,20,True,True,True,True,True,True
1w78,21,True,True,True,True,True,True
4kn7,36,False,False,False,False,False,True
4kn7,37,False,False,False,False,False,True
4kn7,34,False,False,False,False,False,True
4kn7,35,False,False,False,False,False,True
1duv,18,True,True,True,True,True,False
4kn7,30,False,False,False,False,False,True
4kn7,31,False,False,False,False,False,True
1duv,17,True,True,True,True,True,False
2h1f,29,True,True,True,False,False,True
4im7,39,False,True,True,True,True,False
4im7,38,False,True,True,True,True,False
4im7,37,True,True,True,True,True,False
4im7,34,False,True,True,True,True,False
4im7,33,True,True,True,True,True,False
4im7,31,True,True,True,True,True,True
4im7,30,False,True,True,True,True,True
1uuf,45,True,True,True,False,False,True
1h16,8,False,True,True,False,False,True
1h16,9,False,True,True,False,False,True
1h16,6,False,True,True,False,False,True
1h16,7,False,True,True,False,False,True
1h16,4,False,True,True,False,False,True
1h16,5,False,True,True,False,False,True
1h16,2,False,True,True,False,False,True
1h16,3,False,True,True,False,False,True
1h16,1,False,True,True,False,False,True
1yqq,49,True,True,True,False,True,True
1yqq,45,True,True,True,False,True,True
1yqq,47,True,True,True,True,True,True
1yqq,46,True,True,True,False,False,True
1yqq,40,True,True,True,False,False,True
1yqq,42,False,True,True,False,False,True
3bmb,37,True,True,True,False,False,True
1h16,43,False,True,True,False,False,True
1h16,42,False,True,True,False,False,True
1h16,41,False,True,True,False,False,True
1h16,40,False,True,True,False,False,True
1h16,47,False,False,True,False,False,True
1h16,46,False,True,True,False,False,True
1h16,45,False,True,True,False,False,True
1h16,44,False,True,True,False,False,True
1h16,49,False,True,True,False,False,True
1h16,48,False,True,True,False,False,True
1dxe,50,True,True,True,False,False,True
2v81,50,True,True,True,False,False,True
2hnh,5,True,True,True,True,True,False
2hnh,6,False,True,True,True,True,True
2hnh,7,False,True,True,True,True,True
2hnh,1,True,False,True,False,False,True
2hnh,2,True,True,True,True,True,False
2hnh,8,True,True,True,True,True,False
2hnh,9,True,True,True,True,True,False
2hg2,9,False,True,True,True,True,False
1duv,32,True,True,True,True,True,False
1duv,30,True,True,True,True,True,False
1duv,38,True,True,True,True,True,False
4kn7,50,False,False,False,False,False,True
4im7,19,False,True,True,True,True,False
4im7,18,True,True,True,False,False,True
4im7,14,False,True,True,False,False,True
4im7,17,False,True,True,True,True,False
2kfw,36,True,True,True,True,True,False
1q5x,25,True,True,True,True,True,True
1q5x,26,False,True,True,True,True,True
1q5x,22,False,True,True,True,True,True
1naq,25,True,True,True,False,True,True
1naq,20,True,True,True,False,True,True
1u0b,27,True,True,True,True,True,False
1u0b,26,True,True,True,True,True,False
1u0b,25,True,True,True,True,True,False
1u0b,24,True,True,True,True,True,False
1u0b,23,True,True,True,True,True,False
1u0b,22,True,True,True,True,True,False
1u0b,21,True,True,True,False,True,False
1u0b,20,True,True,True,True,True,False
1u0b,29,True,True,True,True,True,False
1u0b,28,True,True,True,True,True,False
2ww4,5,True,True,True,True,True,False
2ww4,7,True,True,True,True,True,False
1p7l,36,True,True,False,True,False,False
1p7l,37,True,True,True,True,True,False
1sv6,24,True,True,True,False,False,True
1sv6,23,True,True,True,False,False,True
1p91,29,False,True,True,True,True,False
1p7l,38,True,True,True,True,True,False
1p91,26,False,False,True,False,False,True
1p91,27,False,False,True,False,False,True
1p91,21,False,False,True,False,False,True
1zyl,14,True,True,True,False,False,True
4im7,7,True,True,True,True,True,True
4im7,6,False,True,True,True,True,False
1qf6,29,True,True,True,True,True,False
1qf6,28,True,True,True,True,True,False
1qf6,23,False,True,True,True,True,False
1qf6,22,True,True,True,True,True,False
1qf6,25,True,True,True,True,True,False
1qf6,24,True,True,True,True,True,False
2pth,9,False,True,True,True,True,True
1t4b,39,True,False,False,False,False,True
1t4b,38,True,False,False,False,False,True
1t4b,37,True,False,False,False,False,True
1t4b,36,True,False,False,False,False,True
1t4b,35,True,False,False,False,False,True
1t4b,34,True,False,False,False,False,True
1t4b,33,True,False,False,False,False,True
1t4b,32,True,False,False,False,False,True
1t4b,31,True,False,False,False,False,True
1t4b,30,True,False,False,False,False,True
1a69,15,True,True,False,False,False,True
1a69,14,True,True,True,False,True,True
2kfw,18,True,True,True,True,True,False
2kfw,19,True,True,True,True,True,False
1fui,35,False,True,True,False,False,True
1fui,34,False,True,True,False,False,True
1naq,18,False,True,True,False,True,True
1naq,41,True,True,True,False,True,True
1naq,44,True,True,True,False,True,True
3gn5,5,False,True,True,True,True,False
3gn5,6,False,True,True,True,True,False
3gn5,1,False,True,True,True,True,False
1dxe,16,True,True,True,False,False,True
1fjj,43,True,True,True,True,True,False
1sv6,45,True,True,True,False,True,True
1p91,48,False,False,True,False,False,True
1sv6,43,True,True,True,False,False,True
1sv6,42,True,True,True,True,False,True
1p91,42,False,False,True,False,False,True
1p91,41,False,True,True,True,True,False
1p91,47,False,False,True,False,False,True
1p91,44,False,True,True,True,True,False
1p91,45,False,False,True,False,False,True
1w78,43,True,True,True,True,True,True
1w78,41,True,True,True,True,True,True
1w78,45,False,True,True,True,True,True
1w78,48,True,True,True,True,True,True
1qf6,40,True,True,True,True,True,False
1t4b,19,True,False,False,False,False,True
1t4b,18,True,False,False,False,False,True
1t4b,11,True,False,False,False,False,True
1t4b,10,True,False,False,False,False,True
1t4b,13,True,False,False,False,False,True
1t4b,12,True,False,False,False,False,True
1t4b,15,True,False,False,False,False,True
1t4b,14,True,False,False,False,False,True
1t4b,17,True,False,False,False,False,True
1t4b,16,True,False,False,False,False,True
4im7,50,True,True,True,True,True,False
4fzw,33,True,True,True,True,True,False
4fzw,36,True,True,True,True,True,True
4kn7,33,False,False,False,False,False,True
4kn7,38,False,False,False,False,False,True
4kn7,39,False,False,False,False,False,True
2hg2,2,False,True,True,True,True,False
2hg2,7,False,True,True,False,False,True
1ah9,17,True,True,True,True,True,False
1fts,43,True,True,True,True,True,True
1fts,42,True,True,True,True,True,True
2qcu,48,True,True,True,False,True,True
2qcu,49,True,True,True,True,True,True
2qcu,44,True,True,True,True,True,True
2qcu,45,True,True,True,True,True,True
2qcu,46,True,True,True,True,True,True
2qcu,47,True,True,True,True,True,False
2qcu,40,True,True,True,True,True,False
2qcu,41,True,True,True,True,True,True
1p7l,18,True,True,True,True,True,False
1p7l,19,True,True,False,False,False,True
1dxe,34,True,True,True,False,False,True
1p7l,14,True,True,True,True,True,False
1p7l,15,True,True,True,True,True,False
1p7l,17,True,True,False,False,False,False
1p7l,10,True,True,False,True,False,False
1p7l,11,True,True,True,True,True,False
1p7l,12,True,True,True,True,True,False
1p7l,13,True,True,True,True,True,False
4hr7,50,False,True,True,True,True,False
1fjj,24,True,True,True,True,True,False
1fjj,25,True,True,True,True,True,False
1gz0,47,False,True,True,True,True,True
1gz0,46,False,True,True,True,True,True
1gz0,45,False,True,True,True,True,True
1gz0,44,False,True,True,True,True,True
1gz0,43,False,True,True,True,True,True
1gz0,42,False,True,True,True,True,True
1gz0,41,False,True,True,True,True,True
1gz0,40,False,True,True,True,True,True
1gz0,49,False,True,True,True,True,True
1gz0,48,False,True,True,True,True,True
2fym,9,True,True,False,False,False,False
2fym,7,True,True,False,False,False,False
4fzw,50,True,True,True,True,True,False
1zyl,8,True,True,True,False,False,True
1zyl,6,True,True,True,False,False,True
1ah9,38,True,True,True,True,True,False
1cli,48,True,False,True,True,True,False
1cli,49,True,False,True,True,True,False
1cli,46,True,False,True,False,True,False
1cli,47,True,False,True,True,True,False
1cli,44,True,False,True,True,True,False
1cli,45,True,False,True,True,True,False
1cli,43,True,False,True,True,True,False
1cli,40,True,False,True,True,True,False
1cli,41,True,False,True,False,True,False
1u0b,45,True,True,True,True,True,False
1u0b,44,True,False,True,True,True,True
1u0b,47,True,True,True,True,True,False
1u0b,46,True,True,True,True,True,False
1u0b,41,True,True,True,True,True,False
1u0b,40,True,True,True,True,True,False
1u0b,43,True,True,True,True,True,False
1u0b,42,True,True,True,True,True,False
1u0b,49,True,True,True,True,True,True
1u0b,48,True,True,True,True,True,False
2r5n,9,True,True,True,True,True,False
2r5n,8,True,True,True,True,True,False
1p7l,34,True,True,True,True,True,False
1p7l,35,True,True,True,True,True,False
