# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1ger	1	54.207280523	28.587818568	18.949977113	14.171218528	11.264986812	-0.248890968	0.200654212	0.269869625	0.216133528	0.276825061
1ger	2	90.004729476	69.989142641	58.825982900	44.180605682	35.254259234	-0.080618476	-0.007969287	0.020096915	-0.193175087	-0.130507251
1ger	3	191.053566875	186.171732838	188.625889564	190.145163875	189.923798806	-0.068045868	0.103643098	0.004798073	-0.150305255	-0.090569124
1ger	4	29.090685161	14.721674516	10.077573553	7.627976141	6.246318551	1.594434315	1.452742833	1.134971407	0.971684697	0.907753451
1ger	5	19.419471532	9.643526783	6.587278408	4.755679164	3.766980420	0.294984567	-0.069350193	0.012753291	0.070123891	0.081076208
1ger	6	181.366432868	187.075083117	188.335343668	180.953512715	174.717121718	0.230826955	0.022084208	-0.109561133	-0.124125579	-0.153652916
1ger	7	184.139793349	165.908312682	159.997602075	156.390263770	160.138526402	-0.222110184	0.179745349	0.337160033	0.287385154	0.207867141
1ger	8	108.914766327	109.301927487	96.492393782	84.663819130	77.388376757	0.628012890	0.368460829	0.134974471	0.185649645	0.166495729
1ger	9	140.182798809	142.943298399	109.626192101	82.595768680	66.520226140	1.139577664	1.314708034	1.165340094	1.340579832	1.522912316
1ger	10	193.555212874	194.757890685	190.388257111	179.793442448	173.367685218	0.088804825	0.017881375	-0.146805794	-0.091628388	-0.025423232
1ger	11	191.464295475	190.549268298	186.760471111	187.454754792	188.968239418	0.263674171	-0.246171220	0.124157380	-0.004922936	-0.019840546
1ger	12	196.138861477	196.535370081	190.170289053	186.825483026	178.710260361	0.095457296	0.068434558	0.165761753	0.074329604	-0.096671705
1ger	13	140.612086268	137.952265551	115.026567598	96.985423565	86.281607088	4.121894136	4.379057168	4.389614181	4.384456431	4.546280233
1ger	14	61.623644922	53.151864267	51.856327443	51.499304797	51.147146763	0.325235217	-0.151131064	-0.106033560	-0.005499448	-0.094541891
1ger	15	180.996264765	179.390502070	180.672532257	180.984917534	183.789735427	0.209421671	0.184189674	0.145401403	0.102496076	0.122479091
1ger	16	175.152548493	179.119287522	183.604591166	178.516508497	172.263181668	-0.539196307	-0.071212259	0.047772723	0.113992333	0.178987127
1ger	17	194.253884975	176.540552483	166.615574674	161.569026925	162.114995474	-0.447949691	-0.285047914	-0.372856384	-0.250845626	-0.178705015
1ger	18	108.892435682	100.965013113	85.130464586	76.442275042	69.876798361	-0.428316918	-0.156889970	-0.420552409	-0.237732597	-0.299837697
1ger	19	194.081419125	180.903600086	184.266314651	179.874519568	182.493382783	-0.146429414	-0.167593893	-0.127937580	0.012026164	0.065988872
1ger	20	38.121106555	38.786034065	25.934245637	19.518060650	15.758854059	-0.565768477	-0.600439979	-0.396611036	-0.222141773	-0.051451686
1ger	21	189.758280655	191.736630454	191.591463993	186.280550050	178.391628731	-0.733621822	-0.542468769	-0.288270393	-0.083185963	-0.078561278
1ger	22	94.729310878	80.059999910	69.978014769	66.203683843	63.318312691	-0.803252255	-0.615144200	-0.430519962	-0.309093611	-0.122926899
1ger	23	26.873993783	31.285788283	34.424513162	35.732054177	36.149436457	-0.733495624	-0.309710875	-0.101975437	-0.053777042	0.035070752
1ger	24	197.397196823	187.729181831	189.599281552	190.352608192	185.569211255	-0.422487401	-0.570154461	-0.463742115	-0.188605171	-0.142669017
1ger	25	192.439864337	169.996777103	161.671923050	158.210523583	155.780645822	0.150319066	0.146395682	-0.049026590	-0.134468983	-0.032340467
1ger	26	169.790850247	173.411462405	179.360126758	183.026473546	184.836418462	-0.082874129	-0.411774893	-0.523299471	-0.411439393	-0.345652371
1ger	27	94.378608690	70.840023692	64.159967299	60.678768393	59.057109226	-0.016387646	0.013982100	0.003269648	0.108586943	0.172530316
1ger	28	192.230995137	177.328091846	181.601130243	181.283932434	183.613782491	-0.000639467	0.075126384	-0.071997776	0.033440835	0.044328401
1ger	29	105.311270025	92.391314831	73.226550165	54.982107519	43.987999198	0.516507775	-0.096999596	-0.103245948	-0.069937526	-0.001323779
1ger	30	180.075784650	165.480765704	157.374101550	154.545494512	152.960044380	5.271652670	3.793372683	3.942199377	3.902375963	3.042177812
1ger	31	196.730806913	189.746074719	174.863269909	167.032519710	162.701016226	-0.011986014	0.179481710	0.196088960	0.195257166	0.291160471
1ger	32	193.437959325	189.769288626	191.463746661	192.139084756	189.055700189	-0.977238067	-0.775809475	-0.286694887	-0.386653684	-0.193292675
1ger	33	108.830804927	89.135201756	76.052563352	68.684710207	65.565916619	0.501765698	0.077475485	-0.182756289	-0.159093909	-0.133914046
1ger	34	65.799404560	55.536961424	49.107796708	36.892513179	29.652888889	-0.041978669	-0.075451927	-0.291122443	-0.417819981	-0.361399053
1ger	35	21.600769787	24.013116489	16.203889408	12.053115030	9.765167183	0.042637063	0.434766678	0.522268629	0.486442997	0.226840445
1ger	36	131.648030541	103.743496454	86.742073985	76.046857851	71.161825739	-0.518411661	-0.480825280	-0.331119408	-0.256534443	-0.378654901
