# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1fjj	1	19.104345923	9.678591943	6.629698135	4.913707760	3.900948351	0.172932587	0.192167816	0.087990893	0.244465596	0.161831815
1fjj	2	38.229428739	18.960610744	12.632544033	9.358444772	7.419014757	0.219924917	0.378358434	0.321694940	0.231216201	0.086362137
1fjj	3	63.561400362	63.499792478	62.258512752	60.352277928	56.710801082	-0.802373683	-0.654111909	-0.654912874	-0.496770032	-0.464284989
1fjj	4	52.294828797	25.935833738	17.241289829	13.067476161	10.585400729	0.521480948	0.399279409	0.061817801	0.131184884	0.081744122
1fjj	5	27.032772228	13.259636792	8.839998549	6.533342615	5.239194587	-0.090588002	0.282738287	0.272918580	0.186656882	0.152525108
1fjj	6	13.885888117	7.034206229	4.613880880	3.449719516	2.776645378	-0.028485804	0.072617358	0.112804592	0.262816986	0.190375393
1fjj	7	8.061715987	3.996762818	2.477455904	2.048334247	1.600522937	-0.432316917	-0.276208336	-0.304546707	-0.288852721	-0.201244642
1fjj	8	15.734196777	7.782451205	5.197277854	3.942330233	3.218118790	-0.391296267	-0.457636164	-0.258387285	-0.167092687	-0.157719698
1fjj	9	7.210771822	3.368009550	2.185312256	1.574120559	1.215685364	-0.334715413	-0.154637098	0.031452687	0.103211225	0.016683682
1fjj	10	9.449864867	4.552200031	3.075182014	2.312837147	1.823784373	-0.239028097	-0.059365227	-0.121608479	-0.070106661	-0.029654681
1fjj	11	6.671852857	3.183319299	2.022896490	1.520950348	1.243200435	0.106648608	0.507157269	0.483406362	0.332268256	0.300638092
1fjj	12	17.273004675	8.685140355	5.715526284	4.299759244	3.455700258	-0.032192637	0.021213970	-0.062723253	-0.113356930	0.053998329
1fjj	13	68.559489897	34.126165008	22.924315154	17.215138199	13.694257578	0.115459869	0.030149602	-0.002513182	0.057442551	0.129093660
1fjj	14	88.048075554	47.994844301	31.907431163	23.868959151	19.086117677	0.009427501	-0.033612074	0.047076088	0.057138586	0.172589741
1fjj	15	30.735247695	15.256143082	10.091820372	7.443578293	5.991108539	-0.079137501	-0.161383372	-0.019666393	-0.122878398	0.002059219
1fjj	16	2.074038690	0.844353989	0.603594061	0.333489165	0.164991689	0.272118810	0.184988250	0.240291054	0.262600382	0.265870138
1fjj	17	11.256337422	5.518493916	3.567332268	2.588248982	2.046681725	0.033038261	0.051322272	-0.038559308	-0.153810453	-0.087299489
1fjj	18	26.447022775	12.963870166	8.761864669	6.646420808	5.330805048	-0.193401881	-0.112777034	0.022180223	-0.098214712	-0.014656107
1fjj	19	13.518123113	6.759610209	4.737321415	3.511306906	2.684174287	-0.026756341	-0.051959658	0.223793851	0.107464742	0.104729011
