# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1a6j	1	171.092073299	170.690807490	171.439279806	171.442989261	171.228011790	-0.639885242	-0.517874424	-0.722018811	-0.811691683	-0.794569913
1a6j	2	174.316083039	173.137798644	171.930695700	172.242518330	172.400474840	-1.324407895	-0.908629330	-0.794366095	-0.798377236	-0.904779654
1a6j	3	175.383466835	174.621821201	174.844109751	175.195109882	174.366021780	-1.156697117	-0.936323654	-0.928630129	-0.897914046	-0.894695004
1a6j	4	172.813992710	174.000380750	173.266820054	173.170933912	173.117330661	-1.264562913	-1.077842620	-0.823346804	-0.840402989	-0.768691523
1a6j	5	174.227607736	173.210985228	172.934601061	173.280181815	173.464877496	-0.275399650	-0.438271595	-0.551310505	-0.553630770	-0.643120934
1a6j	6	175.874182105	175.870130861	175.442424604	176.129567171	175.572235623	0.177783730	-0.455166934	-0.610722680	-0.602874683	1.617635094
1a6j	7	174.210965273	172.516312004	173.093745761	173.350883700	173.425684874	-0.830914373	-0.854075783	-0.967723325	-0.941395281	-0.889258807
1a6j	8	171.874708736	172.099140241	173.474720847	173.666876367	173.690392951	-0.823071480	-0.473276442	-0.684928811	-0.694419344	-0.614004100
1a6j	9	173.022503205	171.328945180	171.956958321	172.894037149	172.938175455	-0.429679893	-0.845444261	-0.867668436	-0.756052507	-0.824871686
1a6j	10	173.063400521	174.004095621	172.847154913	173.133274514	173.356048325	-1.028466019	-0.949924878	-0.695965993	-0.647487226	-0.665240618
1a6j	11	172.739621329	171.920356926	172.114730710	172.248184145	172.659483571	0.837669363	2.225340322	1.273298410	0.705939844	0.502810795
1a6j	12	172.542419986	171.736877298	173.153253985	173.330869629	173.532092116	-1.391681830	-1.109957340	-0.940578279	-0.896131049	-0.835500682
1a6j	13	169.520353500	172.278510069	173.187345463	172.957478978	173.576700179	-1.191672243	-0.921220272	-0.768661983	-0.744551858	-0.787701280
1a6j	14	173.500651048	172.087069219	171.934714592	171.411841777	172.449356340	-0.613362255	-0.678979360	2.813204649	1.969523894	1.411828684
1a6j	15	171.142540258	172.473649577	173.685354238	173.164720651	172.653812524	16.320519093	12.022598757	7.875958211	5.724061537	4.595552949
1a6j	16	174.667242176	173.826373126	173.467600088	173.803099393	172.885844193	-1.174341427	-1.053872399	-0.835981048	-0.766450104	-0.809715879
1a6j	17	168.239765517	170.672004620	171.761261493	171.315692392	171.653649031	-0.660434909	-0.462317130	-0.514780493	-0.562359898	-0.615686388
1a6j	18	171.208513415	170.315896658	169.128343991	169.435016684	170.254270553	-0.651093161	-0.755046557	-0.798587824	-0.762088587	-0.769006377
1a6j	19	171.911502432	173.277697433	173.958534182	174.118167383	173.555739717	13.359965886	7.301035312	4.668992337	3.291327813	2.485834692
1a6j	20	174.258454685	173.245371857	174.428107648	173.433723697	173.612337399	-1.487784639	-1.158683828	-0.991578118	0.317097245	0.033948418
1a6j	21	172.108763452	170.705269691	172.080678746	172.181739422	172.728639790	-1.272444068	8.736423466	5.559411094	6.166791560	4.792190148
1a6j	22	175.016070777	171.084404466	169.638173581	170.508777132	170.969268910	-1.321462746	-1.017302530	-0.891847113	-0.779361967	-0.854730541
1a6j	23	171.538786373	173.681461469	173.822522430	174.817898033	174.916923840	-0.811583698	2.174506670	1.314848467	0.795289575	0.514633103
1a6j	24	172.679886337	169.864743760	171.571586280	171.716063870	171.557555216	-0.446799037	-0.558720398	-0.739741695	-0.807969054	-0.791889675
1a6j	25	178.480921044	176.238745941	173.848201783	174.130936818	174.244981426	3.103344939	3.603295320	2.045377234	1.858477281	1.471981387
1a6j	26	171.135248275	171.339351886	171.871079067	170.135320543	170.695693713	-0.644510455	-0.793599414	-0.685886819	-0.682739134	-0.731681103
1a6j	27	175.430340300	174.019810954	173.735459625	173.665924528	173.170917870	-0.398087381	-0.694155560	-0.729580675	-0.601027216	-0.707578001
1a6j	28	170.829342285	171.091350387	171.559683474	171.618273215	172.101244395	-1.478697778	-1.340387782	-1.136732226	-1.100187999	-1.134231657
1a6j	29	177.715307329	175.642139244	174.889467125	175.269738761	174.612919835	-0.710415513	-0.892188634	-0.812809117	0.918683137	0.476814124
1a6j	30	172.370462196	172.299511247	168.258855082	170.128468611	170.961505204	-0.874705848	-0.851449652	-0.752682816	-0.815739921	-0.892433227
1a6j	31	177.412649741	172.609083419	173.471055273	161.488096416	130.366450837	-0.943093110	-0.833425641	0.749815151	0.299521573	0.014721050
1a6j	32	168.086610249	167.231677726	166.901652518	167.559553559	168.525885557	-0.777454061	-0.784486971	-0.742365895	-0.840185819	-0.831318451
1a6j	33	175.782534702	175.238464456	172.489718297	172.124346543	171.753591264	-0.545627379	-0.648822693	-0.719444878	-0.602118325	-0.679691532
1a6j	34	172.119506763	174.074826645	174.832261671	175.068360345	175.833095384	-0.417713900	-0.731987047	0.975888945	0.532085078	0.221300586
1a6j	35	173.719340704	173.016469227	172.899925412	172.979692855	173.000848534	0.766598406	-0.090146224	-0.206611607	-0.330082929	-0.427996520
1a6j	36	170.577830969	172.288192328	172.645732537	173.168055084	173.356040920	-0.522683285	-0.579566101	-0.576472151	-0.620949640	-0.627615805
1a6j	37	173.906158118	173.921714321	172.605795243	173.467858705	174.697203214	-0.856445151	-0.704212363	0.430589376	0.231581114	0.107709240
1a6j	38	176.729368396	175.559538214	173.525272522	173.440521251	173.807359952	-0.912978054	-1.091830994	-0.948391376	-0.847018511	-0.720722832
1a6j	39	172.093986840	170.783661508	171.735025325	172.401244574	172.270511168	-0.977945787	-0.877674897	-0.773711304	-0.674924147	-0.756941770
1a6j	40	172.074851020	171.187639991	171.699644911	170.502708908	170.575355245	-0.565533125	-0.775616154	-0.798596995	-0.691984828	-0.773792832
1a6j	41	170.278951274	171.363613556	171.797188630	172.633720272	171.655843799	-0.995838848	-0.931834636	-0.800510780	-0.725590279	-0.816109664
1a6j	42	174.880948516	173.970878789	173.731034434	174.064060990	174.646892615	-0.794384468	-0.963923863	-1.029798668	-1.045519148	-0.971931524
1a6j	43	175.971213690	174.938321180	173.760205988	173.009567811	172.932540301	-0.550889885	-0.795151212	-0.846829705	-0.793847990	-0.837617904
1a6j	44	174.830544948	174.136723365	174.014306158	172.982982494	172.747945659	-0.941645126	-0.806479374	-0.820937008	-0.846572242	-0.849207054
1a6j	45	174.514542060	175.188747521	173.138182901	173.092040407	173.630379538	-0.875048141	-0.775742795	-0.881638697	-0.781584367	-0.724076538
1a6j	46	173.374125365	172.668871392	174.241159166	173.633562029	173.293386477	0.217974917	-0.163301660	-0.349489134	-0.529257483	-0.539088896
1a6j	47	177.793693632	175.989626083	175.858468239	174.925701492	174.517153456	-0.837612012	-0.552804125	-0.642965886	-0.644904972	-0.706215698
1a6j	48	173.705676917	173.968200635	172.916007694	173.611437956	173.703732879	12.827952200	6.086621987	3.729201811	2.616094265	1.889357295
1a6j	49	174.210750041	173.157235565	171.418821583	172.474257297	172.185417945	-0.907235470	-0.846918796	3.101219622	2.052177829	1.466347198
1a6j	50	167.177849565	166.727628598	170.272372266	170.072002587	171.100922725	-0.827181767	-0.886990548	-0.730993462	-0.834661952	-0.929788895
