# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2wiu	1	167.563352461	124.030056973	109.928684517	105.847784656	107.124994856	79.990083560	79.955388029	79.720033786	80.190210399	80.162920114
2wiu	2	0.861897559	0.311865559	0.283213866	-0.030725627	-0.030504283	0.016183529	-0.030129314	-0.037303845	-0.023738520	-0.003851604
2wiu	3	75.884729113	41.002715433	27.896855696	21.293386348	17.296017291	0.172509982	0.298838596	0.245754558	0.269817586	0.237094345
2wiu	4	201.396639070	152.725502218	125.766947203	116.005834245	110.163052878	0.742831443	0.938730806	0.837667894	0.891424515	0.971822233
2wiu	5	127.819408699	81.815623175	54.492318433	40.908344989	32.734576401	-0.132826669	0.049824705	-0.059395728	0.010262443	0.004613162
2wiu	6	179.153078901	145.253458879	122.973853149	92.988712069	74.380865050	0.035641979	0.002937970	0.015527450	-0.044152009	-0.041832950
2wiu	7	43.649988583	21.803824001	14.556210988	10.976431787	8.794134456	-0.072865170	0.085122386	0.080148028	0.083223443	0.052166356
2wiu	8	131.383323969	107.846958041	99.263503373	94.901711406	92.339186429	60.561415334	59.160119900	59.176960786	59.054310161	58.895830498
2wiu	9	148.454636657	104.967774773	69.899767826	52.398487621	41.916193098	0.337324329	0.339842782	0.201869265	0.181891467	0.141837318
2wiu	10	134.494054807	68.427413642	45.528313800	34.117884035	27.319340928	-0.098429912	-0.095714226	-0.072814800	-0.023489175	-0.073408472
2wiu	11	186.698182752	146.073587813	124.897136125	114.219647697	107.737050442	59.129225618	58.168342129	58.431865923	58.240514931	58.282325821
2wiu	12	123.952639313	112.053410656	106.730316050	106.284898065	106.447716441	11.514351877	19.582377023	19.922023188	18.090667314	16.907092758
2wiu	13	0.818840311	0.576691719	0.507331493	0.428778773	0.341374412	0.097858371	-0.014029537	-0.056460659	-0.029078715	-0.037601896
2wiu	14	171.183243494	110.963270105	74.037932665	55.593188199	44.548868107	0.247381211	0.029345682	-0.042714636	-0.057767195	-0.072062269
2wiu	15	102.493788156	91.851223514	88.405349623	86.794638324	86.265365482	43.940915276	27.863443088	22.591413126	20.162817140	18.680311904
2wiu	16	113.580041785	99.691824827	93.859618206	91.874219221	90.445374835	59.227886253	58.956198610	59.335753882	59.311761722	59.355522467
2wiu	17	207.399640862	143.343061727	97.534144966	73.163710584	58.538422855	0.341152085	0.261405598	0.282703060	0.201276350	0.174777476
2wiu	18	106.027271418	93.688171579	93.578346241	98.588356116	99.597956757	58.555306470	58.402575965	53.070676143	42.826624774	44.005122949
2wiu	19	57.091457428	28.028943403	18.603794007	13.981489128	11.191564630	0.141140980	0.161682557	0.121138358	0.102603474	0.074297007
2wiu	20	126.732610159	102.971527705	71.812192274	53.821311630	43.092097958	0.119705373	0.087988974	0.084843535	-0.070229671	-0.009557587
2wiu	21	116.965795390	100.100059441	93.003640568	84.477506900	77.518754201	55.172949339	56.560202506	57.102945868	57.419076338	57.671211741
2wiu	22	141.297148721	112.966170703	103.599744501	98.766234904	96.301928913	59.995576728	59.306136499	59.243196578	59.080233941	58.907415656
2wiu	23	88.869856380	92.012746523	101.575361964	98.433036122	95.239058212	37.084325015	47.773298201	51.127627850	52.434761022	53.778234681
2wiu	24	112.755887331	96.271596295	91.430245241	89.100931769	86.880442486	-0.086353112	-0.013338339	-0.018931164	0.029251462	-0.028789072
2wiu	25	136.090502625	101.760296996	67.920064154	50.984318979	40.825566746	-0.097394364	-0.118412585	0.028687993	0.103659793	0.108545583
2wiu	26	142.141080903	116.028967418	104.284904636	98.516861142	94.811726947	81.053610792	81.196007756	81.363824441	81.030144286	80.765895751
2wiu	27	102.767289540	92.400449490	88.827594171	87.041103256	85.857627643	57.903759802	58.036309117	58.560753893	58.375672703	58.363292129
2wiu	28	0.043146344	0.163553403	0.140418369	0.022298836	-0.002625499	0.197496002	0.094227347	0.040318863	0.046504024	0.002938124
2wiu	29	52.521464531	26.263871891	17.506227066	13.187591442	10.542404141	0.008060156	-0.086655494	-0.027454872	0.052131112	0.088708867
2wiu	30	155.959785718	119.169686934	106.295530370	100.293079504	97.087255360	58.272854280	57.965749441	57.255890677	56.652259269	57.059610814
2wiu	31	55.695729447	28.523837726	19.010825930	14.216648180	11.359475591	0.119342305	0.008479514	-0.001323102	-0.052670081	-0.047651095
2wiu	32	82.783821892	80.981342073	80.237792038	77.880796203	64.112603883	-0.096612962	0.133412684	0.047572029	0.096012287	0.116873081
2wiu	33	208.545927892	166.257851421	137.138901430	126.594988734	123.488337804	60.219598080	59.193702610	51.481684555	52.922343013	53.343664972
2wiu	34	114.437527795	97.432942273	91.819539794	89.071455245	87.033056939	79.233730948	80.326034119	80.578428978	80.266585264	80.244303500
2wiu	35	131.382867421	92.794869530	61.918598862	46.406364977	37.099539561	-0.048961401	0.029843416	0.103969726	0.113042714	0.150350390
2wiu	36	105.961773742	94.041582023	90.055576013	89.432075512	87.953862733	81.767913754	82.060235099	81.695257997	81.870089459	81.967648694
2wiu	37	112.391485486	56.918119274	37.870709806	28.299768877	22.518330756	0.005282732	-0.033836891	0.142157490	0.071073321	0.112484615
2wiu	38	176.383193070	140.797098108	121.914601127	112.153454437	106.307520521	58.366557833	57.055317050	57.230689124	57.541636158	57.874050805
2wiu	39	110.559350475	95.753975997	69.991634202	52.442418713	42.025967274	0.475384574	0.371091332	0.277516330	0.255006337	0.207363704
2wiu	40	109.940693481	95.659588985	90.614001545	88.335554627	86.959647424	53.726965785	55.666766225	56.991192284	57.540192285	57.066699750
2wiu	41	150.631957893	115.976210049	83.201482138	62.382111363	49.894086241	-0.015312792	0.071305725	0.102440505	0.082501028	0.117736853
2wiu	42	190.966218718	142.296104437	121.610320734	103.277876823	82.298899345	-1.822264440	-1.885214935	-1.785649857	-1.866270297	-1.916804720
2wiu	43	106.890100912	62.723941259	41.789934208	31.349604879	25.040523425	-0.263223476	-0.126725642	-0.110328916	-0.102063418	-0.105542755
2wiu	44	0.139041039	-0.182219797	-0.067667659	-0.045153972	-0.064159785	-0.113207019	-0.284907782	-0.164766708	-0.200875565	-0.132474467
2wiu	45	58.521505925	29.297629391	19.502624917	14.555390717	11.690940671	-0.031492837	0.116044056	0.205920811	0.140254484	0.137827916
2wiu	46	-0.078096492	-0.017359012	-0.119671780	-0.031601153	-0.027754804	0.111423131	0.049530339	-0.059112644	-0.066014429	-0.208486705
2wiu	47	109.013232502	96.126237400	91.194806534	88.597536795	87.111880042	57.161368423	58.062046247	57.577400539	56.955541260	57.431539324
2wiu	48	109.272741791	78.502671726	52.440727075	39.304319366	31.499983530	-0.203415054	-0.186325487	-0.139027439	-0.151797948	-0.233411219
2wiu	49	119.559238186	98.496283429	90.103937020	67.562894308	54.125558183	0.106977245	-0.040427808	0.129888228	0.036372769	0.003870580
2wiu	50	85.414540743	43.822113994	29.325482260	21.925173231	17.505113811	0.132034617	0.067934696	-0.032349516	-0.055171286	-0.073131739
