# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1u60	1	101.711197732	102.354441613	102.823378293	102.816760278	102.932940195	4.118908320	3.288640976	3.418079822	2.560574665	2.128710090
1u60	2	100.085304018	99.760862763	100.858988572	100.798629448	101.641990895	25.173737423	24.839718692	24.657210398	24.556425909	24.560734682
1u60	3	29.877496228	30.880147206	30.879558029	31.096192477	31.070495837	31.965033323	31.237263826	30.811566279	31.045981978	31.211197528
1u60	4	3.726411328	8.554548694	5.478466819	4.060604603	2.620474191	-3.877550241	-3.434496973	-1.358984991	-0.728166826	-0.567445769
1u60	5	103.764745472	102.336490472	102.399430772	102.377662530	102.697238323	1.904502825	0.223123227	0.279150533	-0.640107970	-0.152712707
1u60	6	35.550899003	34.052437353	30.445149177	31.666327142	30.803372032	9.328607982	7.247217987	10.257876150	10.503341898	11.216355569
1u60	7	103.865221707	102.217220912	101.306084294	102.344205476	101.353956210	-2.505328263	-1.192063491	-0.247601320	0.140198889	0.275919979
1u60	8	28.032925033	16.959363322	10.174048724	6.713633549	6.296938185	-1.387784585	2.047256183	0.646237535	0.334953474	-0.372324980
1u60	9	24.335295947	16.167743513	10.607453167	7.390753471	5.923760733	-2.126870832	-1.265985426	-1.709474812	-1.748948405	-1.828741203
1u60	10	101.325946765	102.523897369	82.498368301	68.913413755	60.835992398	2.824646040	1.641394232	0.763785730	0.260442612	1.053648228
1u60	11	103.281327254	100.700831099	102.200463837	102.555105430	102.418452860	7.600782291	8.762620526	9.468139316	8.750230958	9.823012238
1u60	12	98.838649548	100.530100747	100.588027233	100.248819035	100.092658628	-1.525263078	-2.748616930	0.502724909	1.087227134	0.613157346
1u60	13	31.431017610	33.153547375	33.496163471	33.015487311	31.553478928	7.376041641	8.319751261	9.795403208	10.016145742	9.794825214
1u60	14	103.269969782	68.242031508	54.490725777	47.815787813	42.728142559	15.317430188	13.973598683	13.217044155	11.424144127	10.282905766
1u60	15	101.153692955	100.280840021	101.006270232	100.533569420	100.576244267	0.610572492	2.692561201	5.599322053	7.680126844	8.590345299
1u60	16	101.642365278	102.088692729	101.234067201	101.586651605	100.912387824	11.621514425	10.952846930	8.350641584	7.726644916	8.212009896
1u60	17	105.116497093	104.884849590	104.256040183	103.523812752	103.206157543	10.168505796	10.297218517	11.278370559	11.080001112	12.107278103
1u60	18	24.620041758	24.605805501	25.418080531	25.315741400	25.607418031	7.847945906	3.511282391	3.626277150	3.023840866	2.261610209
1u60	19	27.591276567	27.180618627	28.163777216	27.784258111	28.148902555	12.676243641	12.997107734	14.319446525	13.566830713	10.364604436
1u60	20	63.206908296	45.468453283	39.479464515	36.131686705	33.809614585	1.881072012	1.905142565	4.768241997	3.395048030	2.058127737
1u60	21	99.122855953	100.484758118	101.171029984	100.917964324	101.540601872	24.703154359	24.596827582	24.407866661	24.715075586	24.629901760
1u60	22	25.786378443	25.924299070	25.491803851	25.389622531	25.288758829	24.646589923	24.401096393	24.314195338	24.375013371	24.387213002
1u60	23	102.223120633	102.694454863	102.390823355	102.588742252	102.389085240	9.117364503	6.921212125	8.530503904	9.170398133	9.181924561
1u60	24	103.257135602	103.263773186	103.002556957	103.377248117	102.978284536	24.520468888	24.758057522	24.670270944	24.595574562	24.609566252
1u60	25	24.780331681	25.827632531	25.396896639	25.788870198	25.385926045	-0.416213448	1.309095018	1.420874707	1.756014571	1.690058577
1u60	26	25.910623623	26.104462066	24.434556821	17.353015286	13.145407959	-3.522468682	-1.234150678	1.557315581	-0.014143891	-0.709670187
1u60	27	33.098945579	33.788338193	33.760167324	33.445353830	32.581257423	8.013289855	11.165551368	11.305565972	11.631387881	11.596175836
1u60	28	101.548276331	102.447667301	101.987477725	101.329371120	101.719672502	8.902055941	10.458266267	12.125118322	12.216220621	11.603381964
1u60	29	38.446731426	38.347857740	38.446146711	37.622218538	37.644808913	7.722605365	9.653353384	10.515184852	11.609723618	12.899064369
1u60	30	98.146099300	99.827456210	84.946034174	71.270631697	62.176693434	12.524371696	9.814533065	7.014680387	7.577768877	5.762495869
1u60	31	103.783192202	103.588541231	103.435756624	103.154576938	103.221674552	9.649438054	8.386863790	7.472757063	7.829721643	7.828535972
1u60	32	102.203091940	102.706330296	102.822634077	102.801269818	103.155182595	-1.074745870	-1.110167038	-1.115905641	-1.782556052	-0.366204222
1u60	33	94.170991864	80.915455917	61.703335387	52.105357801	46.680049947	11.274611192	11.268700477	11.056078229	10.068365524	10.634673044
1u60	34	25.984451427	25.183868746	25.059046792	24.959467984	24.877069630	24.573953900	24.189470816	24.313072973	24.289154666	24.336954562
1u60	35	103.866679895	102.837633499	103.068892622	102.019189814	102.115191769	8.156090938	11.323059046	12.210987152	12.641332164	12.362734383
1u60	36	102.166192869	100.981347177	101.326510187	101.641089469	101.672489175	-0.007126592	-0.612678047	0.210129792	1.136263934	1.458971574
1u60	37	24.569345607	24.865449988	25.512368385	25.661902988	23.191139271	-2.834406287	-1.051693516	-0.125510438	-0.393377929	-0.798605857
1u60	38	35.018137681	33.791044132	31.792377869	31.791848479	31.370204569	11.113416468	12.261270723	11.785826612	12.577021669	11.975202008
1u60	39	98.239341852	100.246454017	101.056879918	89.600419115	78.153165148	25.427549698	23.706159219	23.553258146	23.699419287	24.228924404
1u60	40	101.916830006	101.165751658	76.352578146	63.616103279	55.979049610	-0.055516707	0.414439623	1.552066510	0.455111476	1.004146299
1u60	41	29.460858286	29.330585463	28.758617576	28.870963572	28.783514598	9.942553654	11.490097219	10.181091184	10.326702592	10.210874878
1u60	42	24.948903814	25.795539242	25.401459963	25.180369302	20.137405452	-3.264894283	-4.051256673	-2.433250054	-2.473710287	-2.874825743
1u60	43	102.338917424	101.308509222	99.633869364	99.931521780	99.990035363	8.594404219	11.142040096	12.002798282	12.552590340	12.792500403
