# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1dcj	1	205.712354898	102.774720207	68.420787167	51.111628281	40.994011208	0.284940574	-0.610585407	-0.527010362	-0.508868568	-0.250104889
1dcj	2	46.938990338	23.272651467	14.667766657	11.044156218	8.926061928	0.637550637	1.215430313	1.166920901	0.922974505	0.451611438
1dcj	3	159.593530261	131.029898970	87.630568781	65.572756375	52.532842692	-0.521586804	0.031915029	-0.363234712	-0.236818938	-0.558459118
1dcj	4	168.654673505	83.056254779	55.886650800	41.984111501	33.419306918	0.087336517	-0.442682419	-0.177573434	-0.332953524	-0.302182121
1dcj	5	183.870244223	114.006166082	76.173689263	56.967304581	45.626991612	-0.801777781	-0.452693583	-0.606288915	-0.402093440	-0.313170340
1dcj	6	288.265491320	144.144540545	96.263615833	72.536262824	57.712841540	-0.307869806	0.420202549	0.084825816	-0.329822281	-0.355988476
1dcj	7	43.403062873	21.346718801	14.455515152	10.919012273	8.849554797	-0.138815407	-0.796997997	-0.154950265	-0.342804465	-0.419852703
1dcj	8	114.185132106	56.624117502	37.646690826	28.144316082	22.677531032	0.786708017	-0.780269335	-1.138050822	-1.139134160	-1.240921845
1dcj	9	15.908618966	8.337583201	5.320074260	4.328830466	3.462708074	1.446003493	0.961260801	0.416756076	0.568378452	0.339535647
1dcj	10	60.824435142	30.689845803	20.551199407	15.565030131	12.592363548	-0.783933120	-0.547753592	-0.660965834	-0.139034446	-0.138265374
1dcj	11	235.462034992	117.256601948	78.428270366	58.669303318	46.575723840	0.164338832	-0.021220197	0.051804544	-0.059531415	-0.059904022
1dcj	12	357.853183774	197.431838392	132.542189506	99.618012838	79.831595275	1.325483805	1.784142106	0.375476450	0.575048197	0.346792659
1dcj	13	104.057435196	52.324614630	34.871669639	25.944147765	20.579244418	1.273897550	1.025008472	0.145358300	0.188629662	0.082855211
1dcj	14	41.033155384	20.557335459	14.080842634	10.785348518	8.776014529	2.092421686	0.671266790	0.636976950	0.627485567	0.317366902
1dcj	15	177.000660057	88.925705539	58.807762980	44.212368503	35.262643470	-0.671903523	-0.164090382	-0.072943704	-0.152242966	0.108534362
1dcj	16	30.078708693	15.874347525	11.131617798	8.138544260	6.248446398	0.967479485	1.306752139	1.015949338	0.642584298	0.892195279
