# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
3asv	1	63.088060360	44.854570673	29.918731687	22.660292048	18.112638556	0.174131599	-0.017362414	-0.156285242	-0.246642062	-0.213510146
3asv	2	6.545504671	3.804123963	2.503743770	1.962823752	1.667057810	0.601202791	0.338720349	0.246496689	0.265654859	0.206919863
3asv	3	63.886721900	45.275206260	30.112824961	22.527980331	17.820122929	0.288257650	0.046549512	-0.017422816	0.007179107	-0.084111247
3asv	4	20.672901101	10.307802622	6.893815405	5.244396627	4.124611189	-0.026113062	-0.134983856	-0.050252699	0.105020071	0.027947108
3asv	5	73.690081928	69.175208855	52.827968752	39.644960257	31.725877149	-0.213255115	-0.081273845	-0.175921240	-0.147710793	-0.189499393
3asv	6	8.204528383	5.200856361	3.430926707	2.681026351	2.142095683	0.160586252	-0.120951903	-0.080039205	0.057550256	0.146031878
3asv	7	31.235629689	15.306731933	10.271444206	7.810303640	6.249455456	-0.198050328	-0.130134271	-0.241746649	-0.185811739	-0.129882239
3asv	8	79.240295875	39.440865180	26.257410548	19.787251028	15.914074047	-0.210906271	-0.193430325	-0.007664858	0.031104284	-0.151366908
3asv	9	21.756764009	10.988714579	7.489583372	5.591997875	4.452826843	-0.087245866	-0.057423381	-0.266035958	-0.277972360	-0.293799226
3asv	10	64.636696817	35.282638871	23.341281488	17.453151273	13.941702080	0.600533979	0.254936281	0.123157714	0.164616082	0.126156357
3asv	11	5.727720089	2.779992105	1.799228802	1.316214215	1.009976474	-0.102260342	-0.121405882	-0.084291028	0.159193106	0.000579604
3asv	12	9.121693958	4.395096555	2.814884335	2.028942824	1.531315537	-0.607228723	-0.162889077	-0.087933738	0.033735152	0.093903723
3asv	13	40.053122245	20.000064238	13.490015371	10.083150746	8.009953682	0.020742965	0.299858628	0.395191577	0.281580995	0.165460442
3asv	14	63.608197486	40.439362315	27.005878936	20.300009048	16.204918409	0.311419953	0.040068492	0.066779795	0.111231673	0.191851956
3asv	15	27.702340939	14.028225903	9.792884518	7.682381899	6.118657983	0.495439199	-0.065481944	-0.152568630	-0.065462764	-0.041586115
3asv	16	64.846034705	46.281222977	31.006551045	23.370489457	18.620510664	-0.169337823	0.105918610	0.139851269	0.214223496	0.186092626
3asv	17	15.055878675	7.421903373	4.911768998	3.556257516	2.741776699	-0.295754836	-0.014801261	0.002012922	-0.035975476	-0.010147038
3asv	18	52.688074874	26.514699645	17.762007985	13.307764013	10.652465314	0.161908011	0.259536773	0.087688790	0.040875154	-0.033116701
3asv	19	46.175016240	23.164315186	15.535565056	11.612164405	9.303580161	-0.598445096	0.155913785	0.066148427	0.139282673	0.097827707
3asv	20	35.391415476	17.708045209	11.692284288	8.859712355	7.059915169	0.080045532	0.088193135	0.113647862	0.003615503	0.028752318
3asv	21	2.169346635	1.413918071	0.862995052	0.608724923	0.413547136	-0.845614900	-0.342591829	-0.517534771	-0.475207570	-0.316501420
3asv	22	1.558613022	0.513674302	0.239843039	0.155726143	0.205949720	0.190973014	-0.112953896	-0.046665613	-0.134143983	-0.171066315
3asv	23	32.439048317	16.184743182	10.644869915	7.996498035	6.492921420	0.416579396	0.232930652	0.197628652	0.242266401	0.194861635
3asv	24	0.784660235	0.578210210	0.340142595	0.254275501	0.244160425	0.013207772	0.103535839	0.075499721	0.275497516	0.227553860
