# pdbid	traj	last100	last200	last300	last400	last500
4iwx	1	-62.024471169	-61.795399344	-62.002059963	-61.996065099	-61.954626705
4iwx	2	-0.546404378	-0.157714953	-0.308965628	-0.367860495	-0.228767297
4iwx	3	0.938952909	0.885966427	0.373291157	-0.121350332	-0.039569903
4iwx	4	-77.943369340	-76.227861781	-75.574216092	-74.947438421	-75.293186984
4iwx	5	-2.197971259	-0.486292156	-0.554877997	-0.218292913	-0.436352791
4iwx	6	-0.795448636	0.292802850	-0.174896010	-0.045083795	-0.241471246
4iwx	7	-61.382224295	-61.709421725	-61.459756490	-61.477556423	-61.419469229
4iwx	8	-61.603650007	-61.640513675	-61.801189713	-61.761827372	-61.847049951
4iwx	9	-1.096635217	-0.575774154	-0.127900965	0.158813813	0.157349601
4iwx	10	1.083755142	0.422723622	0.404944393	0.163664153	-0.101562245
4iwx	11	-61.221973891	-61.299565381	-61.384781688	-61.427050720	-61.477300616
4iwx	12	-61.620648313	-61.639971594	-61.372008655	-61.291783390	-61.289813163
4iwx	13	-1.471909280	-0.995655561	-1.187235725	-0.866502312	-0.762689946
4iwx	14	1.360282924	0.684037612	0.719497255	0.754901209	0.723333045
4iwx	15	-61.289720720	-61.237139801	-61.321728795	-61.455368849	-61.522889796
4iwx	16	-62.315543478	-62.123680997	-62.168233450	-62.031619190	-62.065945524
4iwx	17	-0.450331499	-0.044329663	0.084418542	-0.145465058	-0.248584854
4iwx	18	-62.136601619	-61.992898740	-62.045450500	-62.024081740	-61.890483387
4iwx	19	-0.211438418	-0.799615478	-0.466485070	-0.559614316	-0.442518941
4iwx	20	-62.337430667	-62.038405748	-61.877258510	-61.842163468	-61.823918605
4iwx	21	-0.255954610	-0.371752422	-0.314783873	-0.357372042	-0.372545068
4iwx	22	0.210405630	0.022930964	-0.304330552	-0.234709061	-0.327909658
4iwx	23	1.203360690	0.554814053	-1.995864125	-11.568106339	-17.148145178
4iwx	24	0.191751244	0.421171714	0.061060700	-0.268094154	-0.053211248
4iwx	25	-74.047033276	-75.611955988	-75.413092940	-75.586185264	-75.104045371
4iwx	26	1.188672984	0.233147372	-0.386368793	-0.033138075	-0.091467878
4iwx	27	-62.103376079	-61.704682133	-61.794067985	-61.857302053	-61.823088896
4iwx	28	-61.106157579	-61.300979576	-61.209369065	-60.898733562	-61.042981129
4iwx	29	-62.432162609	-62.162253600	-62.073335607	-61.998757627	-61.924441734
4iwx	30	-61.962736777	-62.048905576	-62.062825865	-61.944716526	-62.016710274
4iwx	31	-40.888313756	-40.911437983	-40.696056457	-40.255392893	-40.451182992
4iwx	32	0.600547571	-0.115652632	0.443886323	0.292851245	-0.107719969
4iwx	33	0.573644625	-0.420332966	-0.436060985	-0.235090761	-0.196118503
4iwx	34	-61.359205697	-61.385853191	-61.587472315	-61.445305244	-61.560575980
4iwx	35	-76.446885682	-75.464764177	-74.777773885	-75.146349978	-75.187168992
4iwx	36	0.948044228	-0.236805913	0.421067467	0.323808273	0.454348535
4iwx	37	-2.387671319	-1.239391061	-0.696189537	-0.504119873	-0.661598494
4iwx	38	-0.319562421	-0.446052032	0.160208273	-0.378688793	-0.323192545
4iwx	39	-61.657829933	-61.393804132	-61.747300828	-61.773636526	-61.765373133
4iwx	40	-0.125289108	-0.554134556	-0.367394080	-0.358179903	-0.265262635
4iwx	41	-0.583845547	-0.998762280	-1.009995645	-0.931908656	-0.837037335
4iwx	42	-74.874939123	-75.914448275	-75.409735752	-75.482956414	-75.056280775
4iwx	43	-0.088202856	-0.313556194	0.149556950	-0.150187405	-0.317858317
4iwx	44	-0.116399040	0.115995411	0.092796098	-1.274353984	-8.937406670
4iwx	45	-40.132961304	-40.516305381	-40.570496043	-40.774089873	-40.697453033
4iwx	46	-75.887380690	-74.773292996	-74.994784953	-75.456273823	-75.754919577
4iwx	47	0.473096282	-0.057351447	-0.752000343	-0.842657915	-0.765802635
4iwx	48	-0.101038163	0.167627079	0.086949540	-0.031272634	-0.149344324
4iwx	49	-62.125459325	-62.148083896	-61.983572885	-61.991330780	-62.001931017
4iwx	50	-0.146810480	0.217379254	-0.300999105	-0.310841807	0.028051411
