# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
1rqj	1	0.381611897	0.288646086	0.263321881	0.173496401	0.127192978	0.020809100	0.141161558	0.198595650	0.108643680	0.232920052
1rqj	2	1.363518994	1.004285936	0.674983850	0.355491763	0.205928399	0.631356796	0.328667050	0.215370688	0.192926450	0.280127673
1rqj	3	0.232725276	0.360112425	0.547476745	0.344211033	0.115579413	0.185103669	0.345821339	0.301394389	0.000572168	0.086218369
1rqj	4	0.964577314	0.650145100	0.628770239	0.365191014	0.171034400	0.105698402	0.232268303	0.379320517	0.423882050	0.409931635
1rqj	5	-1.411158916	-1.245257916	-1.129200621	-0.872133343	-0.672851105	0.329904244	-0.003018237	0.065348863	-0.018130708	0.098504415
1rqj	6	24.246894424	14.370852011	9.469231341	7.044798394	5.647119565	-1.171535884	-0.794674312	-0.332224753	-0.369365847	-0.233505013
1rqj	7	-0.804172854	-0.252810665	-0.297114066	-0.435659227	-0.300987721	0.187261301	0.188110783	0.270055321	0.187631845	-0.017350958
1rqj	8	23.458796301	23.423522996	17.353936109	13.083619351	10.632382901	1.113756646	0.623697172	0.485202243	0.313892986	0.051962487
1rqj	9	-5.270670243	-2.415984493	-1.676540132	-1.242156576	-0.958879282	-0.640099893	-0.339150714	-0.444016340	-0.298219620	-0.220956395
1rqj	10	24.812593547	24.199034902	16.720102210	12.575838706	10.219838800	0.395495291	0.337274056	0.173772828	0.251956689	0.151989376
1rqj	11	19.008377683	10.029181837	6.590532049	5.123923627	4.111302511	-0.494593594	-0.435645120	-0.194625987	0.025396722	-0.109909439
1rqj	12	-1.182824203	-0.889336900	-0.368539178	-0.274309978	-0.291349568	0.618025778	-0.572441228	-0.259221583	-0.334197155	-0.377170074
1rqj	13	0.532010130	0.158870929	0.170184836	0.259467936	0.245870397	-0.144036956	-0.051250498	-0.111191641	-0.045129037	-0.283553742
1rqj	14	1.471703014	1.202276727	0.871294144	0.794535603	0.647975453	1.280438068	0.705664298	0.368320303	0.392467331	0.121494339
1rqj	15	1.235891695	0.572675953	0.375293600	0.253189878	0.138513125	-1.052677815	-0.454657977	-0.084744618	-0.108397795	-0.019640705
1rqj	16	-4.409875784	-2.570387005	-1.841832752	-1.411093662	-1.139550879	-0.138595829	-0.658781731	-0.540977881	-0.423185253	-0.473507658
1rqj	17	1.330589818	0.690996741	0.436676989	0.069901524	0.060667721	0.145580271	0.310003429	0.503598564	0.144444607	0.236624414
1rqj	18	1.362326952	0.618943986	0.625931974	0.225641011	0.099593088	0.564241142	0.212046417	0.079356746	-0.151986981	-0.064042185
1rqj	19	-0.297342923	-0.411417481	-0.010361334	0.049815197	0.139601102	0.121671780	-0.111365223	0.134723703	-0.014365474	-0.256454086
1rqj	20	0.853444432	0.706411810	0.568195050	0.381652923	0.568757547	0.758950777	0.271718652	0.533972761	0.227960960	0.217109978
1rqj	21	1.099739377	0.589309674	0.580650227	0.500239919	0.288302874	-0.349189351	-0.390111879	-0.214908733	-0.266426774	-0.191497039
