# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
2a6q	1	20.902762233	10.910619495	7.347871937	5.530718173	4.367565520	-0.119085709	0.001176448	0.035303563	0.045175560	-0.105267126
2a6q	2	0.844978369	0.525215015	0.173910286	-0.135959113	-0.211741102	-0.238065919	-0.307015892	0.008721346	0.008084132	0.024360881
2a6q	3	1.119256702	0.384910904	0.352070062	0.368498849	0.369975319	-0.458066047	-0.214746099	-0.035867650	0.077235180	-0.015534077
2a6q	4	4.662516045	2.621013468	1.426693039	1.070677599	0.880816371	-0.077168218	-0.135211273	-0.327324783	-0.133052332	-0.174973513
2a6q	5	5.019130315	2.689731455	1.791542151	1.264962353	1.000185992	-0.108985462	-0.439409738	-0.506192267	-0.349036508	-0.377103149
2a6q	6	4.314719614	2.177613619	1.635873842	1.419025340	1.365791770	-0.124214822	-0.311253112	-0.181735101	-0.140708712	-0.326882966
2a6q	7	2.686532184	0.859304722	0.649494679	0.331261014	0.279067012	0.560065443	0.287689545	0.190504849	0.205723638	0.131749255
2a6q	8	7.859891334	3.708634076	2.389799047	1.507382790	1.316620413	-0.470009809	-0.533560824	-0.242988281	-0.212288824	-0.079564745
2a6q	9	1.791955910	0.932037706	0.608013921	0.504586758	0.320801893	-0.076060821	-0.456425923	-0.230318635	-0.369796506	-0.284561681
2a6q	10	-0.057358784	0.077932416	0.147598320	0.196777817	0.000175286	-1.170242756	-0.422920709	-0.111603126	-0.075982947	0.026820861
2a6q	11	3.636063638	1.708814385	1.384655872	1.057470590	0.890880776	-0.786422690	-0.374421871	0.022268392	-0.244082946	0.002674685
2a6q	12	-5.327453674	-6.859758820	-7.099096258	-7.309887595	-7.398563357	-0.750615330	-0.705864833	-0.494215358	-0.534359274	-0.372073835
2a6q	13	2.362007173	0.861293776	0.576555886	0.136030237	0.114681781	0.331569997	0.051402291	0.195337344	0.162564530	0.258133462
2a6q	14	3.240617730	1.560772749	1.080139365	0.888524761	0.805769985	-0.476555888	-0.427417839	-0.662930578	-0.430409599	-0.503987397
2a6q	15	1.098963483	0.477157920	0.268053190	0.256246620	0.056023633	0.534795709	0.252332411	0.337904481	0.260227609	0.153001040
2a6q	16	2.719618559	1.511610882	0.954000089	0.698026420	0.561698108	0.779069320	0.507340884	0.584478907	0.350301326	0.320418678
2a6q	17	3.499349171	1.836947020	1.332032737	0.917566961	0.513059672	-0.147780567	-0.176812061	-0.012918350	-0.027126138	0.078215174
2a6q	18	3.136402682	1.280841158	0.866258559	0.685302421	0.694413751	-0.522065014	-0.489807579	-0.208605552	-0.318784775	-0.414921763
2a6q	19	-4.770265395	-5.881252079	-6.575328075	-6.967999202	-7.183400912	0.110842753	-0.102731741	0.068404426	0.081806243	0.124454222
2a6q	20	11.183240284	5.758265407	3.818920161	2.656015709	2.132362216	0.220949367	-0.382149623	-0.048248782	-0.112913599	-0.265116395
2a6q	21	7.934519906	3.418548094	2.309102698	1.711991533	1.345113462	-0.329693437	0.059654993	0.206478447	0.217643068	0.158881064
2a6q	22	2.046749322	0.335885437	0.148600713	0.119212986	0.064907235	0.027900010	-0.246985779	-0.509433635	-0.505980285	-0.461411090
2a6q	23	0.896399441	0.648695599	0.463314302	0.344467652	0.305120731	-0.080943770	0.094757332	0.109537905	0.334922860	0.307711617
2a6q	24	5.791812349	2.906437035	2.157015504	1.771541608	1.493033769	0.012277264	0.018012994	0.077750438	-0.051398060	0.045712458
2a6q	25	2.475829258	0.951855513	1.029743783	0.916186949	0.704649973	0.283397652	0.043921707	0.158736963	-0.012201090	-0.002446460
2a6q	26	7.152834000	3.803994412	2.356031319	1.512705908	1.299154772	0.169742237	-0.093535077	0.193892158	0.323024677	0.183897639
2a6q	27	0.831389853	0.210262992	0.189834684	0.056695110	-0.090505479	-0.497417802	0.251943678	-0.084392371	0.161225433	0.111463202
2a6q	28	-0.178804585	0.420738115	0.404585638	0.295891555	0.366921348	0.283766631	-0.177566422	-0.183427490	-0.067027014	-0.011323870
2a6q	29	0.176458745	-0.236190601	-0.091214180	-0.177430315	0.071204347	-0.007359373	0.075810443	0.093386665	-0.139789960	-0.316497150
2a6q	30	7.063972309	3.301959240	2.186283035	1.826836022	1.489927465	-0.254988379	-0.330556758	-0.480801569	-0.295376772	-0.150073781
2a6q	31	5.696492529	2.801135028	1.819761371	1.402463194	1.160104243	-0.454263942	0.251197698	0.348248320	0.365900534	0.342163078
2a6q	32	6.424394637	3.591948098	2.514827929	2.028878102	1.659288659	0.385901882	0.092576601	0.292460154	0.316387115	0.535290254
2a6q	33	2.576975119	1.312716622	0.805430891	0.640348011	0.696425244	-0.394645215	-0.127217421	0.059467651	-0.099069139	-0.067565786
2a6q	34	1.978808855	0.906939892	0.628241966	0.509987452	0.177381835	-0.710133547	-0.427703119	-0.298320093	-0.302208495	-0.283167185
2a6q	35	6.551046718	3.000685882	2.119338776	1.528385035	1.194321737	1.016985057	0.546023606	0.493242468	0.418390085	0.239756227
2a6q	36	9.646363890	4.353155034	2.986155420	2.215138570	1.722629485	0.630685663	0.657417867	0.403655768	0.171114187	-0.104362020
2a6q	37	5.078563517	2.547822236	1.694497504	1.434488001	1.258934702	-0.233215817	0.292730730	0.475538273	0.441535380	0.307582521
2a6q	38	2.110193495	0.909937340	0.515096134	0.531292953	0.444264030	0.315950861	-0.046978823	-0.037642328	0.045751605	0.036061721
2a6q	39	0.952616156	0.370040320	0.411756900	0.324684382	0.241566936	0.836506403	0.572159030	0.552097713	0.401029892	0.402838713
